BookAbbrev	Chapter:Verse	Annotation	Source
Jos	5:14	Iosue knowing that the person which appeared was an Angel, and not God, nor a man, neither adored him with godlie honour, for that had been idolatrie, nor with ciuil, for that perteineth to worldlie and temporal excellence, and is not competent to sacred things, especialy to immortal and glorious spirits; and therfore the honour he did to this Angel, was religious honour infinitly inferiour to diuine, and yet much greater then ciuil. Religious honour due to Angels.	scan-pdf
Jos	5:15	The Angel did not only accept of the honour done vnto him, but also required more, shewing that the verie place was holie for his presence, being otherwise the common field of Iericho. Holie places. See Annot. Exo. 10.	scan-pdf
1Sam	16:7	It is proper to God to see the secret cogitations of mens harts, of himselfe and by his owne power. And glorified Saints know our cogitations by seeing God, in whom al things appeare, that perteine to their state, and for the profit of others. S. Aug. li. de cura pro mortuis, c. 15. S. Greg. li. 12. c. 13. Moral. Prophets being yet mortal, by inspirations doe also see secret cogitations. 1. Reg. 9. 9. Reg. 14. &c.	scan-pdf
2Kings	5:19	Before Christs Gospel was promulgate, neither al Articles of faith were so expresly taught, nor the external profession thereof so strictly commanded, as now they are in time of more grace, which giueth more ayde to mans weaknes; wherein also more perfection is required. And therfore our Sauiour exacteth of al to confesse him, and his Religion, before men: els he wil denie them before his Father. Mat. 10. Likewise in the place where this Nobleman dwelt, his presence in the temple, and seruice to the King, could not be accounted a reuolt from true religion, which was neuer professed there, nor be scandalous to anie man, being al Infidels: but in a christian countrie, where al beare the name of Christians, especially where men are at controuersie about the true Christian religion, al that frequent, or repaire to the same assemblies, for publike seruice of God, are reputed to be of the same religion; or els dissemblers. This example therfore doth in no sort warrant going to the heretical Church: but contrariwise admonisheth al to take resolution in our case (as Naaman did in his) of our Eliseus, or spiritual Superiour.	scan-pdf
Jos	24:1	It is euident by this place, that Thare, and some other progenitours of Israel sometimes serued false Gods, from which they were reduced: but Abraham was euer preserued in true religion; and the whole familie of Thare was therefore persecuted in Chaldea, as S. Augustine sheweth li. 16. c. 13. de ciuit. Likewise Theodoret q. 18. in Iosue, and other both ancient and late writers teach the same.	scan-pdf
Jos	24:30	In that no mention is made of mourning for Iosue, S. Hierome noteth a mysterie, and a special point of Christian doctrine: It seemeth to me (saith he Epist. de 42. Mans. mans. 33.) that in Marie prophecie is dead, in Moyses and Aaron, an end is put to the law and priesthood of the Iewes. For so much as they could neither passe into the land of promise, nor bring the belieuing people out of the wildernes of this world. And (Mans. 34.) Aaron (sayth he) was mourned (and so was Moyses) Iesus is not mourned; that is, in the law was descent into hel (called limbus); in the Ghospel is passage to Paradise.	scan-pdf
Jos	3:8	Becaufe Iosue commanded the Priests to take the arke, and stand with it in Iordan, for that also (chap. 5.) he ministred the Sacrament of Circumcision; likewise (chap. 8.) blessed the people, and (chap. 14.) renewed Gods couenant with them, English Protestants inferre, that he was chief superiour in spiritual causes; and therfore lay Princes are supreme heads and gouerners of the Church immediately vnder God. But none of these actions, nor al put together doe proue their purpose. For notwithstanding he very lawfully did these, and other like things, yet he had a spiritual superiour in earth, which was Eleazar the high-Priest. For Moyses being extraordinarie superiour of al, both in spiritual and temporal causes, the ordinarie priesthood and spiritual supremacie was established in Aaron and his sonnes. And the temporal gouernement after Moyses was giuen to Iosue, succeeding to him (Num. 27.) not in al, but in part of his glorie; his whole honour being distributed between the high-Priest, and the temporal Prince, as learned Theodoret (q. 48. in Num.) noteth. Where it is manifest that Iosue was not set ouer Eleazar, but Eleazar ouer him.	scan-pdf
Jos	8:0	Deceipts and stratagems are lawful in iust warre; but not falsehood, nor breach of promise. S. Aug. q. 10. in Iosue.	scan-pdf
Jos	8:12	These fiue thousand were of the thirtie thousand, which were first sent. v. 3. The other 25000, ioyned with Iosues troup, and entered into the citie.	scan-pdf
Jos	8:33	Al superiours may blesse their subiects, Princes their people, and parents their children.	scan-pdf
Jgs	1:0	The manner of consulting our Lord was by the High-Priest praying in the tabernacle. Exod. 29.	scan-pdf
Jgs	3:9	In manie places we see the word Saviour, and like titles giuen to men, as the seruants and officers of God, who is the proper and principal Sauiour of al. S. Aug. q. 18. in Iudic.	scan-pdf
Jgs	3:11	In these 40. yeares are included the eight yeares of their seruitude, v. 8. and so in the rest of this historie, otherwise the number of yeares agreeth not with the count. 3. Reg. 6. v. 1.	scan-pdf
Jgs	3:15	Aod hauing special inspiration from God to doe this fact (as S. Augustine noteth vpon these words q. 20. in Iudic.) is not to be imitated by priuat men. See Num. 25. v. 1.	scan-pdf
Jgs	5:24	Iahel the figure was blessed amongst women: much more the most Holie Virgin Mother of God is blessed aboue al women.	scan-pdf
