BookAbbrev	Chapter:Verse	Annotation	Source
Hos	1:1	This Ieroboam King of Israel died 26. yeares before Ozias: wherby appeareth that Osee prophesied before Isaie: who began neerer the end of Ozias reigne. Isa.6.	scan-pdf
Hos	1:2	Take a woman that hath been a fornicatrixe: and beget children, which wil also be fornicatours.	scan-pdf
Hos	1:4	The issue of Iehu now reigning, solicited the 10. tribes called Israel to idolatrie, which God here sayth he wil reuenge.	scan-pdf
Hos	1:9	Among manie sinners, some are the elected children of God, whom he wil cal to grace & repentance.	scan-pdf
Hos	1:11	Al the faithfull haue one head, our Sauiour Christ.	scan-pdf
Hos	2:1	Ye people of Iuda disdaine not to cal the ten tribes & the Gentils your brethren and sisters. For God wil make them also his people, as appeareth in the Ghospel, more of the ten tribs then of the other Kingdom belieued in Christ: & afterwards more of the Gentils, then of the Iewes.	scan-pdf
Hos	2:4	God wil not withdraw his punishments til the sinners be penitent.	scan-pdf
Hos	2:14	Gods mercie preuenteth by his grace offered to sinners that they may conuert to him if they wil.	scan-pdf
Hos	2:23	The Apostles S. Paul. Rom.9.v.25. and S.Peter. Ep.1. c.2.v.10. expound this place of the conuersion of Gentils to Christ.	scan-pdf
Hos	3:1	Notwithstanding sinners forsake God, yet he offereth them new grace, neuer hating the persons, but their sinnes.	scan-pdf
Hos	3:2	The Iewes not belieuiug in Christ, but expecting his comming, and in the meane time abstaying from seruing of idols, receiue of God temporal poore meanes to liue, not 30. pieces of siluer, and three cores of wheat, that is, belieuiug in the B. Trinitie, and keeping the ten commandments, they might possesse life euerlasting, but halfe so much: neither wheat but barley, til neere the end of the world: when they shal be conuerted to Christ.	scan-pdf
Hos	4:1	Children of Israel import the whole people of the ten, & two tribes, so he speaketh to al til. v. 11. Knowledge of God includeth the keeping of his commandments, for he that saith, he knoweth God, and keepeth not his commandments, is a lier. 1. Ioan. 2.v.4.	scan-pdf
Hos	4:6	Function of Priefts which is properly sacrifice, being taken away, al spiritual offices decay therwith.	scan-pdf
Hos	4:8	The hosts offered for sinnes.	scan-pdf
Hos	4:12	Certaine sinnes more then others doe obscure mans vnderstanding, but spiritual fornication blindeth the hart aboue al other vices.	scan-pdf
Hos	4:15	It was a greater sinne in the Kingdom of Iuda to commit idolatrie, where they had the publike true seruice of God in the temple, then in Israel, where Ieroboam had set vp calues, and forbid the people from going to Ierusalem.	scan-pdf
Hos	5:1	There were no true priefts in the ten tribes (3. Reg. 12.) but he calleth them by the title which they vsurped, falsly pretending to doe the offices of right Priefts.	scan-pdf
Hos	5:8	The captiuitie is heere described not only in bare words but as in fact it shal happen, with tumults of warre, sounding of trumpets, crying, howling &c.	scan-pdf
Hos	6:1	God who punisheth, is alwayes readie to heale sinners, if they wil repent.	scan-pdf
Hos	6:3	S. Paul (1. Cor.15.v.4.) not only teaching Christs Resurrection, but also expresly saying the third day, according to the Scriptures, seemeth to vnderstand this place, where & in no other place, the day is so cleerely expressed.	scan-pdf
Hos	7:1	God punishing al the Iewes by diuiding their Kingdom into two (3.Reg.12.) would haue cured them: but Ieroboam King of the ten tribes drew al his people into grosser sinnes then before, by making a schisme & setting vp idols to be adored for God.	scan-pdf
Hos	7:5	Al the chiefe men of the ten tribes consented to the schisme & idolatrie of their new King Ieroboam.	scan-pdf
Hos	7:8	Became like to pagane idolaters, and impenitent.	scan-pdf
Hos	8:1	The temple also in Ierusalem (though not so soone) shal be destroyed.	scan-pdf
Hos	8:2	But first the ten tribes of Israel for their general idolatrie shal be caried into captiuitie by the Assyrians.	scan-pdf
Hos	8:11	The two tribes seeing the miseries of the other ten, wil not preuent the like by penance, but think to escape by fortifying their cities.	scan-pdf
Hos	9:3	Manie of the Kingdō of Israel by reasō of famine and other distresses wil fly into Ægypt, as both this place and the same words ch 8. v. 13. doe foreshew. S. Ierom & Theodoret. v.6.	scan-pdf
Hos	9:7	Israel did foolishly prophecie al prosperitie to themselues, not inspired by God, but replenished with furie of madnes.	scan-pdf
Hos	10:1	By how much more & greater benefits Israel receiued of God, so much were they more vngrateful.	scan-pdf
Hos	10:5	The house of one of their calues which Ieroboam set vp for their God, otherwise called Bethel.	scan-pdf
Hos	10:9	From the time that the tribe of Dan adored an idol which they tooke from Micheas (Iud. 18.v.14) which the other Israelites reuenged not, they haue very often either committed or suffered idolatrie, which they ought to haue hindred, & therfore shal at last be punished.	scan-pdf
Hos	11:1	Literally this is spoken of the people of Israel called Gods sonne (Exo.4.v.23.) whom he deliuered out of Ægypt, but mystically is verified of Christ called out of Ægypt Mat.2. and is no lesse certainly the true mysticall sense, the Euangelist induced with the Holie Ghost, so interpreting, then is the literel sense of this or anie other place.	scan-pdf
Hos	11:4	God draweth men by sweet inuitations, by great and manie benefits agreable to mans nature and free wil, by his loue and charitie: not as beasts are drawen by feare & force. Gods propertie is to haue mercie and to pardon. Man is prone to reuenge and punish.	scan-pdf
Hos	12:1	To make shew of turning to God, & to trust more in men, is as vayne as to thinke to feed or to gouerne the winde.	scan-pdf
Hos	12:12	The Historie of Iacob & his children written in Genesis & Exodus, which the Prophet here toucheth, sheweth the singular benefits of God towards this people.	scan-pdf
Hos	13:1	When Ieroboam first set vp the calues to be adored, the people had horrour therof, yet consented therto. and shortly after some added the idol of Baal. 3.Reg 16. & of other idols as this place testifieth.	scan-pdf
Hos	13:9	Euils that happen are al of mans owne procurement by his sinnes: wherof God is no way the autour or cause: who of his part doth al for the help of man: for whether he punish or pardon, al is to saue men: so God is only cause of help and of al good, but not of euil as it is euil.	scan-pdf
Hos	14:1	Such imprecations in holy scriptures are sometimes only predictions, as Psal. 68. v. 23. & so here is prophecied what shal happen to the Israelites in Assyria. S. Ierom. sometimes are the zelous desires of Saints conformable to Gods iustice, as Psal. 149. v. 6. 7. 8. 9.	scan-pdf
Hos	14:5	When the Israelites shal conuert to God, as some did when Christ came, and manie wil neere the end of the world, then Christ wil heale them.	scan-pdf
Hos	14:10	No humane wit is able to vnderstand this (& other Prophets) yet the iust shal know so much as is necessarie. S. Ierom in prœm. S. Aug. l. 18. c. 28. ciuit.	scan-pdf
Joel	1:3	Prophecies perteyne not only to those that then liue, when they are vttered, but also to al posteritie, euen to the end of the world, that it may appeare what is fulfilled, and what yet resteth to come in due time.	scan-pdf
Joel	1:9	When Ierusalem was taken, and the Temple destroyed by the Babylonians, the sacrifice necessarily ceased according to this & other Prophecies.	scan-pdf
Joel	1:14	Fasting, praying and other good workes of manie assembling together, are an especiall meanes to appeaze Gods wrath, prouoked by former sinnes.	scan-pdf
Joel	2:1	Prophets doe often speake in such phrase as if they admonished the people what to doe, when indeed they foreshew what they wil doe in their distresses. In the time when God wil suffer afflictio to fal vpon them for their sinnes.	scan-pdf
Joel	2:12	For better mouing the hart to true repentance, God requireth these external works of penance. And where the same are wanting, at least in wil, it is a manifest signe that the hart is not truly penitent. S. Ierom.	scan-pdf
Joel	2:18	Zele is an indignation rising of loue: when one seeth anie person or thing which he loueth contemned or wronged. So God hath zele for his people, when they are vniustly afflicted, more of the malice of their afflicters then for iustice.	scan-pdf
Joel	2:28	That this is a plaine prophecie of the mission of the Holie Ghost performed on Whitsunday, the fiftith day after Christs Resurrection, & the tenth after his Ascension, S. Peter teacheth Act. 2.	scan-pdf
Joel	3:1	S. Ierom & most other expositers vnderstand this chapter of the general Iudgement, though some expound it of the relaxation of the Iewes from captiuitie, and of the punishment of their enemies.	scan-pdf
Joel	3:2	And so Iosaphat is literally vnderstood the place on the east side of Ierusalem, betweene the Temple and mount Oliuet, whence our Sauiour ascended into heauen. Neither is there anie reason why the Iudgement should rather be in an other place, seeing this is expressed by name, signifying, The Iudgement of our Lord.	scan-pdf
Joel	3:14	This duplication of the word peoples importeth an innumerable multitude in that valley of concision (also repeated) to signifie, that there al Gods enemies shal be vtterly damned to eternal destruction, as it were cut in peeces, as fuel to the fire of hel.	scan-pdf
Am	1:1	As Dauid was called from keeping sheep made a King & a Prophet; so Amos being a shepheard or heards-man was also made a Prophet. Iosephus l. Antiq. 9. c. 1. sayth this earth-quake hapned when King Ozias presumed to offer incense.	scan-pdf
Am	1:3	Three signifie the multitude of their sinnes: for three is the first number that is called many, or may be called al. And foure signifie excesse in multitude, so that, albeit God doth forgiue a multitude of sinnes, yet at last for so great excesse he hastneth their punishment.	scan-pdf
Am	2:1	Besides other sinnes of the Moabites, their crueltie in drawing the bones of the King of Idumea out of the graue, as S. Ierom testifieth by tradition; & their King immolating his owne sonne, 4. Reg. 3. exceeded the rest, & therefore were at last more seuerely punished.	scan-pdf
Am	2:4	The most heynous sinne in Iuda was, that hauing the law to instruct them, they contemned and transgressed it.	scan-pdf
Am	2:6	Israel much more contemned the same law of God, & committed the sinnes of al nations.	scan-pdf
Am	2:7	Sonnes committed incest with their fathers wiues; & the fathers with their daughters in law, which most detestable sinnes must needs be seuerly punished.	scan-pdf
Am	3:1	By Israel is here vnderstood the whole people al the kinred or spring of Iacob, deliuered from Ægypt.	scan-pdf
Am	3:3	As two doe not wel trauel together, except they agree: so man can not walke with God, vnles he agree with God, keeping his commandments.	scan-pdf
Am	3:6	Al euil of paine, that is punishment for sinne, is by Gods permission and ordinance, either to bring sinners to repentance, or (if they dye in mortal sinne) the beginning of eternal punishment.	scan-pdf
Am	3:14	The fayrest and strongest things that wicked men haue shal at last be destroyed.	scan-pdf
Am	4:1	Rich hard-harted people, who being welthie haue no compassion of the poore.	scan-pdf
Am	4:4	After manie admonitions giuen in vaine, God suffereth the idolaters to doe al the wickednes they list.	scan-pdf
Am	4:6	Al these afflictions God sent to the children of Israel for their good, but they murmured and were stil obstinate.	scan-pdf
Am	4:12	After long captiuitie Christ wil offer himself to the Iewes, and such as receiue him, he wil saue.	scan-pdf
Am	5:1	When the people neither feele nor feare euil, God foreseeing their calamities, lamenteth the same in their behalfe, therby admonishing them to know their owne danger, and by repentance to preuent it.	scan-pdf
Am	5:15	If men seeke good & not euil, God wil assist them: but it is here sayd perhaps God wil haue mercie, by reason of the difficultie of mans part, who conuerteth not alwayes perfectly, as he hath freewil to doe by Gods grace assisting him.	scan-pdf
Am	5:25	In the first yeare of the 40. and beginning of the second they offered sacrifices to God. Leuit.8. & 9. Num.7. But not afterwards. Aug. q.47. in Exod.	scan-pdf
Am	6:1	It is a foule & odious fault when rich men neglect the poore, but most detestable when the rich in Sion, welthie Clergie men haue not compassion on them that want either spiritual or temporal helpe.	scan-pdf
Am	6:8	Wheras Iacob by humilitie, patience, & manie other vertues, became great in Gods fauour: now his progenie by pride & delicacie become hatefull to God in respect of these sinnes, & are therfore afflicted, and miserably slaine and caried captiues.	scan-pdf
Am	6:13	To turne the workes of iudgement & iustice, into sinnes, which are bitter & vngrateful, is as contrarie to order, as it is contrarie to the course of nature, that horses should runne vpon craggie rocks, or wild bufles be brought to draw the plough.	scan-pdf
Am	7:1	Locusts swarming in multitude signified the Assyrian soldiers inuading the ten tribes, as is recorded 4. Reg.18.	scan-pdf
Am	7:3	Salmanassar King of Assyrians hauing subdued the ten tribes, inuaded the Kingdō of Iuda, & besieged Ierusalem: but his armie was miraculously destroyed. 4. Reg.19.	scan-pdf
Am	7:4	This second vision of fire signified the captiuitie of the two tribes caried into Babylon. 4. Reg.14. & 25.	scan-pdf
Am	7:7	This third vision signified the calamities which the ten tribes suffered shortly after in the reigne of Manahem. 4. Reg.15.v.20.	scan-pdf
Am	7:10	False Prophets not induring the wholsome preaching of true Pastours falsely accuse them of rebellion, treason, and sedition.	scan-pdf
Am	7:11	In this also the false Prophet lyed; for Amos sayd not: Ieroboam shal dye by the sword: but that God would rise vpon the house of Ieroboam with the sword. v. 9. fulfilled when Zacharias the sonne of Ieroboam was slaine by Sellum. 4. Reg. 15.v.10.	scan-pdf
Am	8:1	By this vision of a hook is signified, that not only the neerer parts of the ten tribes should be brought into captiuitie, but also the rest which were further off: as fruit of trees, which cannot be gathered with the hand, is drawen with a hooke.	scan-pdf
Am	8:9	In their great prosperitie, when they least suspect, calamitie shal fal vpon them.	scan-pdf
Am	8:11	It can not be doubted but in the siege there was want of bread, drink, & of other victuals: but greater want of spiritual foode.	scan-pdf
Am	9:1	Destruction of the Altar, and the Temple, importe the abolishing of sacrifice, when the two tribes were carried into Babylon.	scan-pdf
Am	9:6	God, who defendeth his Church as a strong bundel fast bond together, wil punish the wicked with iust afflictions.	scan-pdf
Am	9:8	Notwithstanding the great ruine of the Iewes, slaine and led captiues, yet God in them conserued the Church that it was not destroyed.	scan-pdf
Am	9:11	S. Iames conformably to S. Peters doctrine, interpreteth this place of the conuersion of Gentils to Christ. Act. 15. v. 15.	scan-pdf
Ob	1:1	God directed the cogitations of diuers other Gentiles, to ioyne their forces against the Idumeans.	scan-pdf
Ob	1:12	God admonisheth them what they ought not to doe, but withal foresheweth that they wil despise the Iewes their brethren: & wil reioyce in their miseries.	scan-pdf
Ob	1:17	Historically al this prosperitie was promised to the Iewes after their deliuerie from Babylon, and so much thereof performed as their new sinnes hindred not. the rest is fulfilled in Christians. S. Ierom. ep. ad Dardian.	scan-pdf
Ob	1:19	The rest of this prophecie is only of Christ possessing al nations. To whom al the Prophets giue testimonie that al receiue remission of sinnes by his name belieuing in him. Act. 10. v. 43. See S. Aug. li. 10. c. 31. de ciuit.	scan-pdf
Jon	1:2	God Creatour & Lord of al the world, hath also care of al, Rom. 3. v. 29. & therfore sent this Prophet to the great citie Niniue.	scan-pdf
Jon	1:3	Ionas sheweth the cause why he fled, ch. 4. v. 1. fearing to be counted a false Prophet.	scan-pdf
Jon	1:7	The mariners seeing no natural cause of so sudaine & great a tempest, ought to know the reason therof by lot. the Prophet agreed, by Gods inspiration, & so was discouered.	scan-pdf
