BookAbbrev	Chapter:Verse	Annotation	Source
Gn	2:3	The seuenth day ] Al creatures being made in their kinds in six dayes, complete & perfect, God not needing (as men often doe in their workes) to perfect, polish, or amend the same, rested the seuenth day: & therfore the natural perfection of Gods workes is attributed to the seuenth day, and the supernatural perfecting of men in eternal life, after the Resurrection, is attributed to the eight day, as S. Augustin and other fathers teach. And for this cause God blessed and sanctified the seuenth day: and after we haue in the Decalogue or ten commandements, that this day al should rest and abstaine from workes, yea and keep it festiual, occupying themselues in spiritual exercifes, seruice, and special worship of God, as the Iewes did euen til Christs and his Apostles time, praying & hearing the word of God read & expounded in the Sabboath day. Wherby we see that distinction of dayes pertaineth to Religion the people of God thus obseruing the Sabboth in memorie of the Creation, and diuers other feasts in memorie of other benefits. And we now keep the Sunday holy in memorie of Christs Resurrection, & other feasts in grateful remembrance of other Mysteries of Christs Natiuitie, the coming of the Holy Ghost, & the like. Yea also feasts of his Blessed Mother, & other Saints, for the benefits receiued from Christ by them, & for more honour to Christ in them. So this Catholike obseruation of feasts is neither Iudaical (which also in the law was good, but now is abrogated) nor heathnish, for we honour not Iupiter, nor Inno, nor anie false God or Goddesse, but our Lord God Creatour & Redeemer, & for his sake his best seruants. Whereof see the Annotations in the English new Testament, chap. to the Galathians. Where we here only adde these words of S. Basil: Honor seruorum redoundat in communem Dominum: the honour of the seruants redoundeth to their Lord and ours. So the honour of Saints is the honour of Christ.	scan-pdf
Gn	2:17	Of the tree of knowledge.] Besides the law of nature, by which Man was bound to direct al his actions according to the rule of reason; & besides the supernatural diuine law, by which he was bound to belieue & trust in God, & to loue him aboue al things, hauing receiued the guifts of faith, hope, and charitie; God gaue him another particular law, that he should not eate of the tree of knowledge of good and euil. And that for two special reasons, which S. Augustin noteth vpon this place. First, that God might declare himselfe to be Lord of man. Which was absolutely necessarie to man, for man, & nothing at al profitable to God, who needeth not our seruice, but we without his dominion should vtterly fal to nothing. Nec enim ipso non creante existere, etc. For he not creating vs, neither could we haue been, nor he not consenting vs could we haue been, nor he not gouerning vs, could we liue rightly. Wherfore he only is our true Lord, not for his, but for our owne profit or saluation we serue. The other reason was, that God might giue man matter wherin to exercise the vertue of obedience, and to shew himselfe a subiect of God. Which could not be so proprely & effectually declared by keeping other lawes, nor the enormitie of disobedience appeare so euidently, as by fulfilling of Gods wil commanding him, or by doing his owne wil, moued to the contrarie, in a thing of it-selfe indifferent, & only made vnlawful, because it was forbid. But let vs heare S. Augustines owne words. Nec potuit melius aut diligentius commendari quantum malum sit sola inobedientia, etc. Neither could it (faith this great Doctour) be better, nor more exactly signified how bad a thing sole disobedience is, when where a man became guiltie of iniquitie because he touched that thing contrarie to prohibition.	scan-pdf
Gn	3:1	Why hath God ] Here we may see how sinne came first among men. For the diuel envying mans happie state tempted Eue the weaker person, beginning with a question, therby to allure her into conference, and by such a question as might bring her into suspicion of Gods affection towards man, saying: Why hath God commanded you, that you should not eate of euerie tree of Paradise? insinuating by these words, and withal internally suggesting, that God dealt hardly with them, abridging their libertie without cause. And when he had got so much of her, that she was displeased with the precept, which she shewed by adding of her owne (to make it seeme more grievous) that they were forbidden to touch the tree, & againe by reporting the punishment as doubtful, saying, Lest perhaps we dye; then the tempter anouched boldly, and falsly, that they should not dye, and charged God to be envious of the benefit they should get by eating of that tree, saying their eyes should be opened, and they should be as Gods, knowing good and euil upon which perswasion and liking also she had to the fruit, she did take and eate, and perswaded Adam also to eate. And forthwith they saw that they would not have seen, knew euil which they had better not to have known, were ashamed, and endcauoured to couer and hide themselves. Even thus the diuel dealeth with men ever since, assaulting the weaker persons, and weaker part, as the flesh and sensualitie, and by them setteth upon the stronger and superiour part, to get consent of free wil, without which there is no sinne; according to that famous saying of Augustin: Peccatum adeo est voluntarium, ut nullo modo sit peccatum, si non voluntarium. Sinne is so voluntary, that in no wise it can be sinne, if it be not voluntarie.	scan-pdf
Gn	3:15	She shal bruise ] Protestants wil not admit this reading, ipsa conteret, she shal bruise, lest our Blessed Ladies should be said anie way to bruise the serpents head. And Kemnisius amongst others faith, that al ancient Fathers read, ipsum, not ipsa. But he is conuinced of lying by Claudius Marius Victor lib. 1. in Gen. Alcimus Auitus lib. 3. carm. c. 6. S. Chrisostom hom. 17. in Genes. S. Ambrose lib. de fuga saeculi cap. 7. S. Augustin l. 2. de Genesi contra Manichaeos, cap. 18. & lib. 11. de Genesi ad literam chap. 16. S. Gregorie lib. 1. Moralium cap. 18. And after them S. Bede, Eucherius, Rabanus, Rupertus, Strabus, and Lyra vpon this place, S Bernard ser. 2. super Missus est, and manie others, who read ipsa, as the Latin text now hath. Both readings yeald the same: But whether we read, She shal bruise, or, her seede, that is her sonne Christ shal bruise the serpents head, we attribute no more nor no lesse to Christ nor to our Ladie by the one reading then by the other: for by the text, I wil put enmities between thee and the woman, between thy seed and her seed; it is cleere, that this enmitie and battle pertained to the woman & her seed on the one partie, and to the duel, that spake by the serpent, & al the wicked, on the other partie, & that the victorie should happen to mankind. Which being captiue by Adams sinne, occasioned by a woman, should be redeemed, both sexes, though in farre different sort, concurring therto. And so it is most true, that Christ by his owne proper power, and his Blessed Mother by her most immediate cooperating to his Incarnation did bruise the serpents head, breake & vanquish his power. As manie ancient Fathers doe excellently discourse: namely S. Bernard, writing vpon these wordes in the Apocalyps c. 12: A great signe appeared in heauen, a woman clothed with the sunne: Albeit (faith he) by one man and one woman we were greatly damaged, yet (God be thanked) by one man & one woman al losses are repaired, and that not without great increase of graces. For the benefit doth farre exceed the losse. Our merciful father giving vs for a terrestrial Adam Christ our Redeemer, & for old Eue Gods owne Mother. Moreover as the same S. Bernard sheweth, this Blessed Virgin in singular sort bruised the serpents head, in that she quite vanquished al manner suggestions of the wicked serpent, never yealding to, nor taking delight in anie euil moued by him.	scan-pdf
Gn	3:19	Dust thou art.] By these wordes Adam was admonished to humble himselfe, considering the matter wherof his bodie was made, & into which he should be resolued againe. Wherupon it came to be a ceremonie amongst penitents to cast ashes on their heads, as appeareth in holy Scriptures. For which cause the Church now also vseth this ceremonie the first day of Lent, putting ashes on her childrens heads: willing them to remember, that dust they are, & to dust they shal returne, to moue vs by this meditation to more serious penance.	scan-pdf
Gn	3:22	Lest perhaps ] Notwithstanding Gods eternal decree in disposing al things, and his omnipotence which nothing can resist, yet he produceth good, and either auoideth or disposeth of euil which he suffereth, by ordinarie meanes, as appeareth Act. 27, v. 31. and that because man hath free wil, with which God concurreth, & destroyeth not nor forceth, as S. Augustin teacheth.	scan-pdf
Gn	3:24	Placed Cherubins.] Man being cast out of Paradise, the same is defended with double guard: with Angels, that are watchful, wise, & potent; and with fire & sword, most terrible armour to man. Wherby againe we see that God vseth ordinarie meanes in his providence, as the ministerie of Angels & humane terrour, & would neither destroy the tree, nor depriue it of the vertue to prolong life, nor because man of free wil, by which he might desire to returne: but conferuing nature in al creatures, preuenteth inconueniences otherwise. These Angels also hinder the diuel, that he can not enter Paradise, lest he should take of the fruit of the tree, and giue it to men to prolong their liues, and thereby draw them to his seruice.	scan-pdf
Gn	5:4	Begat sonnes and daughters.] Moyses in this genealogie reciteth not alwayes the first-begotten, nor the whole progenie by their names for then he should haue repeated Cain and Abel, and haue named many others, but those only by whom the Church of God continued, signifying the rest in general, whose succession was cut off by the floud.	scan-pdf
Gn	5:5	And he died.] By this Gods word is verified faying, that Adam should dye, if he should eate of the forbidden tree. And the diuel is proued a lyer, faying, they should not dye. It is also most true that Adam dyed that day in which he did eate. For he began that very day to decline to death; and so doth al mankind euer since as truly said the woman of Thecua to King Dauid: we doe al die, and as waters that returne not, we fal downe on the earth. And what else (fayth S Gregorie) is this daylie decaying of our corruption, but a lingring death? And none of al these that liued longest reaching to a thousand yeares (which with God is as one day) escaped; man dyed in that day in which he transgressed.	scan-pdf
Gn	5:24	Was seen no more.] That Enoch and Elias are yet aliue is a constant knowne truth in the harts and mouths of the faithful, faith S Augustin in his first booke de pec. cat. meri. & remiss. c. 3. and confirmeth the same in diuers other places. And it is testified by very many both Greeke and Latin Doctours: S Ireneus li. 5. S. Iustinus Martyr, q. 85. ad Orthodoxos, S. Hippolitus li. de Antichrifte, S Damascen. li. 4. de Orthodoxa fide, S. Hierom. epist. 61. ad Pamach. c. 11. S. Ambrofe in Psalm. 45. S. Chrysoftom. ho. 11. in Gen. ho. 58. in Mat. ho. 4. in Epist. 1. ad Thess. ho. 12. in ep. ad Heb. S. Greg. li. 14. Moral c. 11. ho 12. in Ezech. S. Profp. li. vlt. de promis. S. Bede in c. 9. Marc. Theophilact and Oecumenius in cap. 17. Mat. and others innumerable. Touching Elias it is manifest in Scriptures, that he shal come, and preach, & be slaine with another witnes of Christ, before the terrible day of Iudgement. Of Enoch Moyses maketh the matter more then probable, faying of euery one of the rest, he dyed, only of Enoch faith not fo, but that he appeared or was seen no more. For which the seuenty two Interpreters fay, And he was not found, for God translated him. Which can not signifie death, but transporting or remouing to an other place. Whereto agreeth the Authour of Ecclesiasticus, faying: Enoch pleased God, and was translated. But most cleerely S. Paul faith: Enoch was translated, that he should not see death, and he was not found, for God translated him. S. Chrysoftom affirmeth that The holy Scriptures say that God translated him, & that he translated him aliue, that he felt not death. And S. Augustin as expressly faith, Non mortuus, sed vivus translatus est. He (to wit Enoch) is translated, not dead but aliue. Diuers reasons are alleaged why God would reserue these two aliue: First to shew by example that mortal bodies can be conserued from corrupting; Secondly to giue vs an argument of immortalitie; Thirdly, these two (one of the law of nature, the other of the law of Moyses) are preferued aliue, to come amongst men againe towards the end of the world, to teach, testifie, and defend the true faith and doctrine of Christ against Antichrist.	scan-pdf
