book	chapter	verse	latin_incipit	english_translation
1Chr	1	1		Lapide: The genealogy begins with "Adam, Seth, Enos" without repeating "begat" for each generation — a studied brevity. The first ten chapters contain only genealogies, for the Hebrews were exacting in this matter, both for the distinction of the twelve tribes, and on account of Christ, that it might be established that He was born from Abraham, David, and the tribe of Judah.
1Chr	1	1		Lapide on the purpose of Paralipomenon: St. Jerome (Ep. ad Paulinum) writes: "The book of Paralipomenon, that is the Epitome of the Old Testament, is of such scope and quality that without it whoever wishes to arrogate to himself the knowledge of the Scriptures mocks himself." For through the individual names and conjunctions of words histories passed over in the Books of Kings are touched upon, and innumerable questions of the Gospel are explained.
1Chr	1	36		On "Thamna, Amalec" (v. 36): Lapide distinguishes between two persons named Thamna — one the concubine of Esau who bore Amalec (Gen. 36:12), another here who is a daughter (or descendant) of Eliphaz, as shown by the Hebrew and Septuagint which read "et Thamna, et Amalec" — two separate persons.
1Chr	1	43		The kings of Edom reigned before Israel had kings: Lapide observes a parallel — just as Israel had judges from Joshua to Saul, then kings from Saul to Sedecias, then princes again from Zorobabel to the Maccabees, so too Edom had princes, then kings from Bale, then princes again from Thamna. Human governance follows Providence's ordering.
1Chr	1	44		"Jobab the son of Zara of Bosra reigned in his stead": Lapide follows Hebrews, Lyranus, and others who identify this Jobab with Job the mirror of patience — "Job was therefore the second king of Edom; his ancestor Esau had been only a prince of the same." The line: Esau begat Raguel, Raguel begat Zara, Zara begat Jobab, i.e. Job.
1Chr	2	1		Lapide notes the scope of the author (Esdras): "He diligently wove together genealogies so that Jews might more easily recognise from which tribe the Messiah would be born, and likewise teaches who pertained to the restoration of divine worship and more fully narrates the offices and genealogies of priests and Levites."
1Chr	2	9		"Ram" (v. 9) is "Aram" the father of Aminadab in Matthew 1:4 — "qui per aphoeresin vocatur Ram." Lapide thus traces the direct line from Judah through Ram to David and to Christ in the genealogy of Matthew.
1Chr	2	15		"The seventh, David" — How I Kings 16:10 numbers eight sons of Jesse while here seven are numbered, Lapide explains elsewhere.
1Chr	2	52		"Who saw the half of the resting-places" — Lapide gives five interpretations: (1) Sobal was a prophet who saw only half of heavenly things; (2) Sobal was prince (overseer) of half a region called Hammenuchoth; (3) "resting-place" = sepulchre, possessing half the cave of Machpelah; (4) Sobal possessed as his inheritance half the region in which his parents rested; (5) and best: "Who saw the half of the resting-places" is a proper name given to a son of Sobal, who possessed half his father's inheritance, the other half going to Cariathiarim.
1Chr	3	5		"Four of Bethsabee daughter of Ammiel" — Lapide defends against those who say the first three sons were children of Urias: Solomon says he was "the only one before his mother" (Prov. 4:3), meaning not numerically one, but uniquely beloved — as Lapide had shown at Proverbs 4:3.
1Chr	3	17		"The sons of Jechonias: Asir, Salathiel" — Jechonias is called "barren" (Jer. 22:30) because no son of his reigned after him, as Jeremias himself explains. The line continues to Zorobabel.
1Chr	3	19		"Of Phadaia were born Zorobabel and Semei" — Lapide notes this Zorobabel is distinct from Zorobabel the ancestor of Christ in Matthew 1, who was son of Salathiel (by adoption or by actual birth from Phadaia). Some hold them to be the same person, natural son of Phadaia but adopted by Salathiel.
1Chr	4	4		"Ephratha the father of Bethlehem" — "Father" here means "prince" or "lord," as Vatablus notes. Alternatively, "Bethlehem" is the name of a son of Ephratha, not of the city — as in 2:54, "Bethlehem" is called "the son of Salma."
1Chr	4	9		"Jabes was more honourable than his brethren, and his mother called his name Jabes, saying: Because I bore him with sorrow." Jabes means sorrow in Hebrew (Jaabes = Jaaseb, the letters transposed). His prayer to God for blessing and enlarged territory was granted — a model of confident prayer even for one marked from birth by suffering.
1Chr	4	10		"And God granted him what he had requested" — Lapide (brief): God heard the prayer of Jabez who asked for blessing, enlarged borders, a protecting hand, and preservation from evil. The simplicity and trust of his petition is exemplary.
1Chr	5	1		"But because he violated his father's bed, his birthright was given to the sons of Joseph." Lapide explains: the firstborn had a double inheritance-portion, and also the right of priesthood and of primacy in the kingdom. From Reuben the double portion passed to Joseph (through Ephraim and Manasse); the priesthood passed to Levi; the primacy and kingship passed to Judah. Cf. Gen. 49.
1Chr	5	20		"And they were helped against them [the Hagarites], and the Hagarites were delivered into their hands, and all that were with them: because they cried to God in the battle, and He heard them, because they believed in Him." Lapide (brief): Faith was the cause of their victory — they believed in the Lord and cried to Him; therefore they were heard and delivered.
1Chr	6	10		"This is he that executed the priestly office in the house which Solomon built in Jerusalem." Lapide notes the unbroken succession of high priests from Aaron through Eleazar to Sadoc and Achimaas, down to this Azarias who served in Solomon's Temple — a providential continuity.
1Chr	6	31		"These are they whom David set over the singers of the house of the Lord, from the time when the ark was placed." David constituted 24 orders of singers, matched to the 24 orders of priests; each order served by turns, singing day and night the praises of God. Lapide remarks this is prefigured in the Apocalypse (Rev. 4), where the four living creatures "rest not day and night, saying: Holy, holy, holy."
1Chr	6	49		"But Aaron and his sons burnt incense upon the altar of holocausts, and upon the altar of incense, for all the work of the Holy of Holies, and to pray for Israel, according to all that Moses the servant of God had commanded." Lapide: The specific office of the priests was to offer sacrifice and to intercede for the whole people — the priestly intercessory function.
1Chr	7	40		"All these were sons of Aser...most approved and choice captains of the army": Lapide's commentary on chapters 7–8 (Benjamin and other genealogies) is brief, noting only that names vary from Genesis because Hebrews were polyonymous (had multiple names), and not all sons are enumerated, only the celebrated.
1Chr	8	28		"These dwelt in Jerusalem." — Lapide: Jerusalem pertained to the tribe of Benjamin, which ceded it to Judah in order to drive out the Jebusites, as he had explained in Joshua 18 and Judges 1.
1Chr	9	1		"All Israel was numbered: and the sum of them was written in the book of the kings of Israel and Juda: and they were carried away to Babylon for their transgression." Lapide: Up to this point Esdras enumerated those who preceded the Babylonian captivity; now he will enumerate those who returned. He notes that many from the ten northern tribes had migrated to Jerusalem, because they abhorred the schism of Jeroboam and wished to maintain the ancient religion and worship God in the Temple.
1Chr	9	2		"Now the first that dwelt in their possessions and in their cities were: Israel, and the priests, and the Levites, and the Nathineans." Lapide: The Nathineans (given, offered to the Temple) were the Gibeonites, condemned by Josue because of their fraud to carry water and wood for the Temple. See Josh. 9:23.
1Chr	9	22		"All these whom David and Samuel the Seer had chosen for the confidence reposed in them were two hundred and twelve porters at the gates." Lapide: "In their faith" (Heb. be-emunatham) means (1) by their own trustworthy authority; (2) because of the fidelity of those appointed; (3) as a firm and stable and perpetual office. Samuel and David instituted the gatekeepers not as king (for the king has no right over sacred things) but as prophets.
