book	chapter	verse	latin_incipit	english_translation
Am	1	0	Synopsis Capitis	Chapter 1 opens with Amos's oracle formula and delivers woe-oracles against six surrounding nations before turning to Israel. À Lapide notes the rhetorical escalation: Damascus, Gaza, Tyre, Edom, Ammon, Moab—each condemned for specific crimes. The literary device of circling inward to Israel teaches that God's judgment encompasses all nations and Israel is not exempt. The roaring of God from Zion is read as the prophetic voice of Christ.
Am	1	1	Verba Amos qui fuit in pastoribus	Amos describes himself as one of the shepherds (pastoribus) of Tekoa—à Lapide speculates on the humble origins of the prophets as a model for divine sovereignty choosing the weak to confound the strong (1 Cor. 1:27). The earthquake reference dates the oracle to the reign of Uzziah. À Lapide cites Josephus's account of the earthquake as confirmation of prophetic accuracy.
Am	1	2	Dominus de Sion rugiet	The formula 'The Lord shall roar out of Sion' recurs from Joel 3:16, establishing a canonical prophetic voice. À Lapide notes that Amos borrows Joel's language, confirming that later prophets build on earlier ones under the same Spirit. The withering of Carmel—symbol of fertility—signals that even Israel's most productive regions will be stripped.
Am	2	6	Propter tria scelera Israel et propter quattuor	The rhetorical formula 'for three transgressions and for four' is explained by à Lapide as a Hebrew idiom signifying the full measure of accumulated guilt. The selling of the righteous for silver anticipates Judas's betrayal of Christ for thirty pieces; à Lapide cites Jerome and Cyril of Alexandria on this typological connection. Social injustice and cultic fornication are inseparable in the prophetic critique.
Am	3	2	Tantummodo vos cognovi ex omnibus familiis terrae	'You only have I known of all the families of the earth; therefore will I visit upon you all your iniquities.' À Lapide expounds the paradox of election: divine intimacy intensifies rather than diminishes accountability. He draws on Thomas Aquinas's teaching that those who receive more grace bear greater responsibility. This verse becomes a cornerstone of his anti-Pelagian anthropology.
Am	3	7	Non faciet Dominus Deus verbum nisi revelaverit secretum suum	'The Lord God doth nothing without revealing his secret to his servants the prophets.' À Lapide reads this as an affirmation of the continuous prophetic tradition and, by extension, of the Church's Magisterium as the ongoing prophetic voice. He cites Origen: the 'secret' (secretum) is the divine plan of salvation hidden from eternity and disclosed progressively through the prophets and fully in Christ.
Am	4	12	Praeparare in occursum Dei tui Israel	'Prepare to meet thy God, O Israel.' À Lapide calls this the most solemn summons in the prophets. In its historical context it announces the Assyrian invasion as divine judgment; in its anagogical sense it is the summons to every soul to prepare for the particular judgment at death. He cites Chrysostom's homily on the unprepared soul meeting God without contrition.
Am	5	18	Vae desiderantibus diem Domini	'Woe to them that desire the day of the Lord. To what end is it for you? The day of the Lord is darkness and not light.' À Lapide explains the prophetic reversal: the impious who presume on God's favor treat the Day of the Lord as a time of vindication for themselves against their enemies. The prophet inverts their expectation. He cites Augustine's City of God on the self-deception of those who use religion as a cover for violence.
Am	5	24	Et reveletur quasi aqua iudicium	'But judgment shall be revealed as water and justice as a mighty torrent.' À Lapide reads this as the positive counterpart to the condemnation of hollow liturgy: true religion floods outward into social transformation. He makes this the basis of a treatise on almsgiving and just wages, citing Leo the Great and Chrysostom's homilies on Matthew. Justice and liturgy are inseparable in the prophetic vision.
Am	7	14	Non sum propheta ego et non sum filius prophetae	'I am not a prophet nor the son of a prophet, but I am a herdsman plucking wild figs.' À Lapide reads Amos's self-description as a model of prophetic humility and divine vocation: God calls whom He wills, not those who are formally trained. He connects this to Christ's calling of fishermen as apostles, passing by the Scribes and Pharisees. Amaziah the priest who tries to silence Amos figures all those who suppress true prophecy.
Am	8	9	Et erit in die illa dicit Dominus Deus	'And it shall come to pass in that day, saith the Lord God, that I will cause the sun to go down at noon and I will darken the earth in the clear day.' À Lapide identifies this as a direct prophecy of the darkness at the crucifixion (Matt. 27:45; Luke 23:44-45). He catalogues patristic authority—Origen, Jerome, Chrysostom, Cyril—all confirming that the darkness over the whole earth at the ninth hour fulfils Amos 8:9 precisely. The mourning for an only son (v.10) prefigures the Virgin Mary's grief at the Passion.
Am	8	11	Ecce dies veniunt dicit Dominus	'Behold the days come, saith the Lord, and I will send forth a famine into the land—not a famine of bread nor a thirst of water, but of hearing the word of God.' À Lapide applies this first to Israel's period without prophecy between Malachi and John the Baptist; then to the state of heretical communities who have the letter of Scripture but lack the living voice of the Magisterium; finally, to the soul in mortal sin deprived of divine consolation.
Am	9	11	In die illa suscitabo tabernaculum David	'In that day I will raise up the tabernacle of David that is fallen.' À Lapide calls this the messianic apex of Amos. He notes its citation in Acts 15:16 by James at the Council of Jerusalem as justification for the Gentile mission—the tabernacle of David raised is the Church incorporating all nations. He quotes Cyril of Alexandria and Augustine at length. The restoration of Israel's remnant is simultaneously the establishment of the universal Church.
Am	9	13	Ecce dies veniunt dicit Dominus	'Behold the days come, saith the Lord, and the ploughman shall overtake the reaper and the treader of grapes him that soweth the seed.' The eschatological abundance—mountains dripping sweet wine, hills flowing—mirrors Joel 3:18 and figures the inexhaustible spiritual goods of the New Covenant. À Lapide reads this messianic fertility as the grace of the sacraments, which overflow any human capacity to contain them.
