book	chapter	verse	latin_incipit	english_translation
Bar	1	0		Synopsis: The opening chapter is the letter of the Jews in Babylon (read in Jerusalem) acknowledging their just punishment and requesting prayers and sacrifices for themselves and for Nabuchodonosor and Baltassar. They send back the Temple vessels and the book of Baruch. Lapide: this act of prayer for the pagan king (v.11-12) is one of the earliest examples of the command to pray for rulers — fulfilled in the Church's prayer for civil authorities (1 Tim.2:1-2).
Bar	1	1		And these are the words of the book, which Baruch the son of Nerias wrote in Babylon. Lapide's introduction to Baruch: the book is canonical (Council of Trent), though Jerome expressed some reservations. Author = Baruch, Jeremiah's scribe, writing in Babylon after the destruction. The letter was publicly read in Jerusalem and occasioned weeping and fasting. Historical context carefully established from 4 Kgs.24-25 and Jeremiah.
Bar	1	11		And pray for the life of Nabuchodonosor the king of Babylon, and for the life of Baltassar his son, that their days may be as the days of heaven above the earth. Prayer for the pagan king's long life — a remarkable act of submission and charity toward the enemy. Lapide: the Jews pray for their captors because their own welfare depends on the kingdom's stability (Jer.29:7: 'Seek the peace of the city to which I have sent you, and pray to the Lord for it'). Applied to the Christian obligation to pray for civil rulers, even unjust ones.
Bar	1	15		And you shall say: To the Lord our God belongeth justice, but to us confusion of our face: as it is this day to all Juda, and to the inhabitants of Jerusalem. The confession of divine justice and human guilt — the moral center of the book. 'To God belongs justice; to us the shame of face.' This is the proper disposition before God's judgment: acknowledging that all His punishments are deserved.
Bar	2	0		Synopsis: Continuation of confession: God has fulfilled the curses of Deuteronomy 28 upon Israel for her sins. Prayer for mercy: God should act for the sake of His holy Name (that it not be profaned among the nations), and because He has promised to restore those who return to Him with all their heart. God will be incarnate to teach wisdom to mankind.
Bar	2	11		And now, O Lord God of Israel, who hast brought thy people out of the land of Egypt with a strong hand, and with signs, and with wonders, and with thy great power, and with a mighty arm. Baruch's prayer appeals to the great Exodus as the ground of confidence in a new liberation. Lapide: the pattern of prayer in Scripture: appeal to God's past acts of salvation as the basis for petitioning His present mercy.
Bar	2	34		I will bring them back into the land which I promised to their fathers Abraham, Isaac, and Jacob, and they shall be masters thereof: and I will multiply them, and they shall not be diminished. God's promise of restoration — the covenant with the Patriarchs is invoked as the unshakeable ground of hope even in exile. Lapide: the covenant promises are permanent; exile is temporary.
Bar	3	0		Synopsis: Wisdom is the theme: God alone possesses wisdom and teaches it to His elect. No great king, no philosopher, no warrior of history was saved without wisdom. The revelation: wisdom is the Book of the Commandments of God, which was given to Israel; ultimately wisdom is the Word made flesh, the Incarnate Son of God.
Bar	3	14		Learn where is wisdom, where is strength, where is understanding: that thou mayest know also where is length of days and life, where is the light of the eyes, and peace. The invitation to seek wisdom: all the components of the good life (long days, sight, peace) are found only in wisdom = the knowledge and love of God. Lapide: this verse is the positive counterpart to the negative warnings against trusting human wisdom. The list of failed wise men (vv.15-23) = Greek philosophers, Persian sages, Canaanite wise men — all perished because they sought natural wisdom without God.
Bar	3	22		Her way hath not been heard of in Chanaan, neither hath she been seen in Theman. The wisdom of the Chaldeans, Canaanites, and Thamanites (Edom's wise men, mocked by Eliphaz in Job) failed because it was merely human. Lapide: natural reason without revelation cannot reach true wisdom; even Aristotle and Plato, the greatest of pagan philosophers, did not attain full wisdom because they lacked supernatural faith.
Bar	3	29		Who hath gone up into heaven, and taken her, and brought her down from the clouds? The transcendence of wisdom — it cannot be reached by human effort. Paul quotes almost identical language in Rom.10:6-8 ('Who shall go up into heaven?'). The answer: God Himself descended to bring wisdom down in the Incarnation.
Bar	3	35		This is our God, and there shall no other be accounted of in comparison of him. He found out all the way of knowledge, and gave it to Jacob his servant, and to Israel his beloved. The climax of the wisdom section: God alone found all the ways of wisdom. He gave it to Jacob = to the Chosen People through the Law, and ultimately to all humanity through Christ.
Bar	3	38		Afterwards he was seen upon earth, and conversed with men. The great Incarnation verse of Baruch — applied by all Fathers to the Incarnation of the Eternal Word: 'Afterwards he was seen upon earth and conversed with men' = Christ, the Wisdom of God, appeared visibly in human form. Lapide cites this as one of the clearest Old Testament prophecies of the Incarnation, alongside Is.7:14 and Mic.5:2. Tertullian, Jerome, Origen, and Chrysostom all apply this verse directly to Christ.
Bar	4	0		Synopsis: Jerusalem is personified as a mourning mother consoling her captive children with the promise of return; she counsels them to pray, confess, and trust in God. The prophet then consoles Jerusalem herself: her children will return, Babylon will be destroyed, God will conduct His people back with joy.
Bar	4	1		This is the book of the commandments of God, and the law, that is for ever: all they that keep it, shall come to life: but they that have forsaken it, to death. The Law as the Book of Life vs. death: keeping it = life; forsaking it = death. Lapide: in its fullest sense, this 'law' is the New Law given by Christ — 'the book of the commandments of God' is the New Testament perfecting the Old.
Bar	4	5		Be of good comfort, my people, the memorial of Israel. Despite the exile, Israel must take courage: they are God's memorial — His chosen witness in the world. Lapide: the Church, like Israel, is a 'memorial' of God's saving acts, continuously proclaiming His covenant through liturgy and sacrament.
Bar	4	21		Be of good cheer, my children, cry to the Lord, and he will deliver you out of the hand of the princes your enemies. Jerusalem's counsel to her children in exile: pray, and deliverance will come. Lapide: prayer is the first and principal weapon of the afflicted. The 'princes' who enslaved them will themselves be enslaved (v.25: 'he that led you away shall be led away').
Bar	4	30		Be of good cheer, O Jerusalem: for he that gave thee this name, will comfort thee. God who named Jerusalem (= 'city of peace' / 'vision of peace') will fulfill the name He gave it — restoring peace after desolation. Lapide: the name of the city contains the promise of its ultimate destiny; allegorically, the heavenly Jerusalem (named 'vision of peace') will receive all her exiled children.
Bar	5	0		Synopsis: Jerusalem is commanded to put on the vestments of glory and beauty: God will level the mountains and fill the valleys to make a smooth royal road for the return of her children from the east. Allegorically (Lyranus and Hugo): the glory, liberation, and honor obtained by Christ for the Church.
Bar	5	1		Put off, O Jerusalem, the garment of thy mourning and affliction, and put on the beauty of the glory that thou hast from God for ever. The exchange of mourning garments for glory-vestments = the transition from exile to restoration. Lapide: allegorically, this is the soul's exchange of the garment of sin for the garment of baptismal grace; the Church's exchange of her age-long persecution for the glory of the final triumph.
