book	chapter	verse	latin_incipit	english_translation
Dt	1	1		Moses delivers Deuteronomy ("second law") as a great sermon of exhortation to Israel assembled in the plains of Moab, rehearsing God's mighty deeds and renewing the Covenant before his death. The title Deuteronomium signifies not a second Law but a repetition and amplification of the Law already given.
Dt	1	2		The journey from Horeb to Kadesh-barnea was but eleven days; yet Israel wandered forty years, because of their murmuring and infidelity. Moses recounts this to humble them before entering Canaan.
Dt	1	9		Moses recalls the appointment of judges over thousands, hundreds, and fifties (cf. Ex. 18), that he alone could not bear so great a burden. This multiplicity of judges prefigures the governance of the Church through bishops, priests, and rulers under one Head.
Dt	1	17		Moses commands judges to fear no man in judgment, for judgment is God's. Lapide: the magistrate in his bench is as an altar, to which the oppressed flee for refuge.
Dt	2	7		For forty years the Lord thy God hath been with thee, and thou hast wanted nothing. Moses admonishes Israel not to forget forty years of miraculous Providence—food, clothing, and shoe-leather all preserved without wear—as proof that God governs even the smallest particulars of human life.
Dt	3	24		O Lord God, thou hast begun to show thy servant thy greatness and thy most mighty hand. Moses's prayer of wonder at the divine power, used by Lapide as illustration that the saints praise God most fervently when they behold His works.
Dt	4	2		You shall not add to the word that I speak to you, neither shall you take away from it. Lapide: This forbids private interpretation and novel doctrine; the canon of Scripture is closed, and tradition fixes its sense. Heretics add and subtract at will.
Dt	4	24		The Lord thy God is a consuming fire. Lapide notes this text is cited at Heb. 12:29, and signifies that God destroys sin and sinners by the fire of His justice, while the same fire purifies and illuminates His saints as with divine charity.
Dt	4	26		I call heaven and earth to witness against you this day. Moses makes creation itself a witness against Israel's apostasy; Lapide notes the same rhetorical figure is used in the Canticle of Moses (ch. 32) and the prophets: all creatures testify against those who abandon their Creator.
Dt	4	29		But if from thence thou seek the Lord thy God, thou shalt find him: if thou seek him with all thy heart and with all thy soul. God promises that even in exile and captivity, sincere conversion of heart will obtain pardon. No sin is too great, no exile too far, if the will returns to God.
Dt	4	35		That thou mightest know the Lord, he is God, and there is no other beside him.  Lapide: This is the fundamental article of faith—monotheism—against which all idolatry offends. God is not merely one among many, but the only true Being from Whom all creation depends.
Dt	5	1		Hear, O Israel, the ceremonies and judgments that I speak in your ears this day. Moses repeats the Decalogue before his death as the summary of all religion; the repetition shows its perpetual binding force on all peoples.
Dt	5	5		I was the mediator and stood between the Lord and you.  Lapide: Moses was mediator between God and the people, as the Apostle says (Gal. 3:19). Why then should not the Saints be called mediators? The office of mediation belongs by excellence to Christ, but is shared by participation with the saints who intercede for us.
Dt	5	6		I am the Lord thy God, who brought thee out of the land of Egypt, out of the house of bondage. Lapide notes that Jehovah (the Tetragrammaton) signifies the divine essence as the source of all being; Elohim signifies God as judge and governor of all. Together they inculcate both the absolute being and the sovereign majesty of God the Lawgiver.
Dt	5	7		Thou shalt not have strange gods before me. Lapide: The so-called alien gods are not truly gods at all, but things which the nations estranged from God worship as such. God forbids any other to be acknowledged as God, and commands that He alone be adored both inwardly in mind and heart, and outwardly in worship and sacrifice.
Dt	5	8		Thou shalt not make to thyself a graven thing. Lapide refutes Calvin's claim that all images are universally forbidden here. In truth, the prohibition concerns only images of false gods, not images of the true God or of holy persons, as is proved: (1) God Himself appeared visibly to Abraham, Moses, Isaiah, and Ezekiel; (2) He commanded the making of the Cherubim, the brazen serpent, etc.; (3) the prohibition is immediately connected with the previous verse about strange gods. The division of the Decalogue by Catholics (following Clement of Alexandria, Augustine, and the Scholastics) is vindicated against the Jewish and Calvinist division.
Dt	5	8b		Lapide's second note: The prohibition of graven things falls under the first commandment (worship of one God), not as a separate commandment. For Augustine (q. 71 in Exodum): 'Non facies tibi sculptile' pertains to the same precept as 'Non habebis deos alienos,' since both direct us to worship the one true God.
Dt	5	11		Lapide demonstrates that the Decalogue contains precisely ten precepts when rightly divided: the first two (no strange gods; no graven things) form one commandment about the cult of God; the last two (covet not wife; covet not goods) are distinct, since they differ as adultery differs from theft.
Dt	5	16		Honour thy father and thy mother. Lapide notes that Moses in Deuteronomy repeats the Decalogue with additions (here adding 'as the Lord thy God commanded thee' and 'that it may be well with thee'), showing that the love of God is the foundation of all social life, and piety toward parents flows from piety toward God.
Dt	5	22		These words the Lord spoke to all the multitude of you in the mountain from the midst of fire and cloud and darkness. The divine Lawgiver spoke aloud the Decalogue to the whole assembled people; all other precepts He gave only to Moses. Thus the Decalogue is distinguished from ceremonial and judicial law as its permanent moral foundation.
Dt	6	4		Hear, O Israel, the Lord our God is one Lord.  Lapide: The mystery of the Trinity and the Incarnation is intimated in the Hebrew text: 'Shema Israel, Adonai Elohenu, Adonai Echad.' For the threefold divine name signifies three Persons, even as the Seraphim cry thrice 'Holy' (Is. 6:3); while 'our' placed in the second position signifies that the Word assumed our flesh. This is confirmed by the oracle of Serapis cited by Suidas: 'First God, then the Word, and the Spirit with them.' And old Rabbis (cited by Galatinus) explained the triple 'Holy' as Father, Son, and Holy Ghost.
Dt	6	4b		Thomas Aquinas (I p. q. 11 a. 3) teaches that God alone is perfectly and fully one, since in God alone is complete simplicity, without composition of matter and form, act and potency, essence and existence. Six reasons are given by Lapide for the unity of God: (1) in God alone is perfect unity; (2) two gods would have contrary wills; (3) one would limit the other; (4) monarchy is the best government; (5) all things proceed from one; (6) one orderer is needed for the order of creation.
