book	chapter	verse	latin_incipit	english_translation
Ezr	1	1		In the first year of Cyrus king of the Persians — Lapide explains this is the first year not of the Persian kingdom as such, but of Cyrus's monarchy over Babylon, when he overthrew Baltassar and transferred the empire from the Chaldeans to the Persians. It was also the seventieth and last year of the Jews' captivity in Babylon, as prophesied by Jeremias (ch. 25 and 29). Cyrus at once freed them.
Ezr	1	2		The Lord God of heaven hath given me all the kingdoms of the earth — Cyrus's edict confesses that he acknowledges the true God of Israel, and gives back to God the credit for all his realms. Lapide quotes Proverbs 21:1: \"The heart of the king is in the hand of the Lord; whithersoever He will, He shall turn it.\" Daniel, who was a familiar companion and even a table-companion of Cyrus, showed him the prophecy of Isaias (ch. 44–45), spoken two hundred years before Cyrus's birth.
Ezr	1	3		The Lord his God be with him — Cyrus hereby professes to acknowledge the God of the Israelites as the one true God, saying \"He is the God Who is in Jerusalem,\" meaning there is no true God except Him Whom the Israelites worship.
Ezr	1	7		The 5,400 sacred vessels taken by Nabuchodonosor from the Temple of the Lord and dedicated sacrilegiously to his idol Bel — all of these Cyrus restored to God and the Temple. Lapide notes their exact enumeration in verse 11.
Ezr	1	8		Sassabasar prince of Juda is identified by Josephus, Lyranus, Dionysius, Vatablus, Mariana, Torniellus, Salianus and others with Zorobabel, grandson of Jechonias the king. \"Sassabasar\" in Chaldee means \"rejoicing in tribulation\" — because he stood firm through six tribulations, so that Job 5:19 was fulfilled in him: \"In six troubles He shall deliver thee, and in the seventh evil shall not touch thee.\"
Ezr	2	1		Children of the province — i.e., Jews born or long-dwelling in the province of Babylonia, who now returned to the ancient seat of their fathers, Jerusalem. As Scripture calls men \"children of Sion,\" \"children of the East,\" meaning inhabitants, so here \"children of the province\" = its inhabitants. Bede, however, understands \"the province\" to mean Judaea, to which the returning exiles belonged as children of the Church of God.
Ezr	2	65		And among them two hundred singing men and singing women — male cantors were employed for the Psalms in the Temple; the female singers for secular songs at funerals, weddings, and feasts. This signifies that the return from Babylon was most joyful, so that they sang and shouted with joy, according to the oracle of Isaias 66 and Psalm 125: \"When the Lord brought back the captivity of Sion, we became as men comforted; our mouth was filled with gladness and our tongue with exultation.\"
Ezr	3	2		Joshua the high priest and Zorobabel the prince were the two leaders of the returned people in Jerusalem: Jesus (Joshua) over ecclesiastical affairs, Zorobabel over civil affairs. Thus the sacred and civil orders were distinct, each with its own head, working together for the restoration of God's people.
Ezr	3	3		And they set the altar of God upon its bases … and they offered upon it a holocaust to the Lord morning and evening — The altar was erected and sacrifice offered BEFORE the Temple was built or its foundations laid. Lapide notes: worship of God must take precedence over all else; prayer and sacrifice cannot await the completion of outward structures. Even with adversaries threatening on every side, they did not delay the morning and evening sacrifices.
Ezr	3	4		They kept the feast of Tabernacles according to what was written, and offered holocausts day by day in order, according to the commandment, \"the work of each day in its day.\" Lapide cites Numbers 29 on the precise number and kind of victims prescribed for each day of the octave.
Ezr	3	6		From the first day of the seventh month they began to offer holocausts to the Lord, though the foundation of the temple of God was not yet laid. Lapide: the altar came first; the house of God followed. So too in the spiritual life: interior sacrifice of heart must precede exterior building of any earthly work.
Ezr	3	10		They praised God through the hands of David — that is, through David's works, namely the Psalms composed by David, and through the musical instruments he skilfully arranged for the praise of God in the Temple. The Levites with cymbals and the priests with trumpets stood in their vesture.
Ezr	3	12		And many of the priests and Levites and heads of families, and the ancients that had seen the first temple, when the foundation of this temple was laid before their eyes, wept with a loud voice — The elders wept because the foundations of the new Temple bore no comparison in greatness and majesty to the Temple of Solomon which they had seen before the destruction. Yet others rejoiced at the rebuilding and at the return from captivity, and at God's reconciliation with His people. Thus the voices of those weeping and those exulting were mingled together in a harmony of lamentation and jubilation, and the sound was heard afar. Haggai 2 addresses this very sorrow.
Ezr	4	1		The enemies of Juda and Benjamin — the Samaritans, perpetual enemies of the Jews, as Lapide explains from 4 Kings 17:24. These were the mixed peoples settled in Samaria by the Assyrians.
Ezr	4	3		Zorobabel, Joshua, and the heads of families refuse the Samaritans any part in building the Temple: \"It is not for you and us to build a house to our God.\" Lapide gives four reasons: (1) the Samaritans were heretics and idolaters; hence we must avoid the communion of heretics in sacred things; (2) they might commit fraud in the building; (3) lest they claim the Temple as partly their own work; (4) lest they secretly mix sand for lime and earth for stone and so ruin the fabric.
Ezr	5	5		But the eye of their God was upon the ancients of the Jews — The divine providence, grace, and favour watched over the Jews, so that the Persian prefect Thathanai did not impede the work of building the Temple and the city. Lapide: Scripture attributes eyes to God not properly and literally (as the Anthropomorphites erroneously held), but metaphorically, to signify that God sees all things, accommodating Himself to human understanding.
Ezr	6	3		The decree of Cyrus fixed the height and breadth of the new Temple at sixty cubits. Lapide notes that Solomon's Temple was 120 cubits high — twice as tall. Cyrus deliberately restricted the size so the Jews could not use the Temple as a fortress from which to rebel.
Ezr	6	14		The ancients of the Jews built, and they prospered according to the prophecy of Aggeus the prophet and Zacharias the son of Addo. The Temple was built by the command of the God of Israel and by the permission of Cyrus, Darius, and Artaxerxes, kings of Persia. Lapide distinguishes: the inner Temple proper was completed in year six of Darius (v. 15), but the courts, porticoes, and ornaments were completed under Artaxerxes.
Ezr	6	15		The house of God was completed on the third day of the month Adar, which is the sixth year of the reign of king Darius. Lapide notes that by year nine of Darius all the courts, porticoes, and ornaments were also finished, following Josephus.
Ezr	6	19		And the children of Israel of the captivity kept the phase, on the fourteenth day of the first month. The returned exiles celebrate the Passover: priests and Levites purified as one, all clean to slay the Pasch for all the children of the return and for all who had separated themselves from the uncleanness of the nations of the land to seek the Lord God of Israel. Lapide notes the continuity of Israel's worship and its typological significance for the Eucharist.
Ezr	6	22		And they kept the feast of unleavened bread seven days with joy; for the Lord had made them joyful, and had turned the heart of the king of Assur to them, that he should help their hands in the work of the house of the Lord God of Israel. Lapide: \"the king of Assur\" here is Darius, so called because the Assyrians were formerly the world-rulers and monarchs, but now fell under the Persian monarchy of Darius.
Ezr	7	6		This Esdras went up from Babylon, and he was a ready scribe in the law of Moses which the Lord God of Israel had given. Lapide: among the Jews, \"scribes\" (Sopherim) were the learned Doctors of the Law — equivalent to what the Greeks called philosophers, the Chaldeans magi, the Gauls druids, the Indians brahmins. Their office: to keep the sacred Scripture uncorrupted, to oversee its correct copying, to interpret it in writing and by word of mouth, to give authoritative responses, to compose treatises, and to expound it in every manner (citing St. Epiphanius, Heresy 15). Ezra excelled above all scribes. \"Scribe\" = Rabbi, Rab, Rabban: the priestly teacher of Scripture.
Ezr	7	9		For upon the first day of the first month he began to go up from Babylon, and on the first day of the fifth month he came to Jerusalem, according to the good hand of his God upon him. The journey took exactly four months. Lapide: as Ezra made this journey in the year seven of Artaxerxes, from the sixth year of Darius to year seven of Artaxerxes elapsed 57 years — Ezra was therefore a very old man, well over a hundred, yet strong and vigorous, sustained by God for the benefit of the people.
Ezr	7	10		For Esdras had prepared his heart to seek the law of the Lord, and to do it, and to teach in Israel the statutes and judgments. Lapide: learn here from Ezra the proper order of teaching: FIRST, learn fully; SECOND, do yourself what you have learned; THIRD, teach others. So Christ first began to do, then to teach (Acts 1:1). This is the model for every priest as teacher: he must live what he teaches before he teaches it.
Ezr	7	13		The decree of Artaxerxes permitted any Israelite, priest, or Levite who wished to go to Jerusalem with Ezra to do so freely. Lapide: from this year seven of Artaxerxes and from this royal permission many begin to count the seventy weeks until Christ (Daniel 9), as Lapide had argued in his commentary on Daniel.
Ezr	7	20		And whatsoever more shall be necessary for the house of thy God, that thou shalt have occasion to bestow, thou shalt give it out of the king's treasury. Lapide: observe the piety of these pagan kings — Artaxerxes, like Cyrus and Darius before him, paid from his own treasury the expenses of the Temple ministries. Let Christian princes take note.
Ezr	7	24		We also notify you, that touching all the priests and Levites, and the singers, and the porters, and the Nathinites, and the ministers of the house of this God, you have no authority to impose toll, or tribute, or custom upon them. Lapide: this shows that the Jews were servants and tributaries of the Persians; yet the king here exempts the priests, Levites, and all Temple ministers from every tax and public burden. Let Christian princes note this.
Ezr	7	25		But thou, Esdras, according to the wisdom of thy God which is in thy hand, appoint judges and magistrates, that they may judge all the people that is beyond the river. The king grants Ezra quasi-pontifical power of jurisdiction: authority to appoint judges over all the people, with power of death, exile, confiscation, or imprisonment over violators of God's law.
Ezr	8	21		Then I proclaimed a fast there at the river Ahava, that we might afflict ourselves before the Lord our God, and might ask of him a right way for us and for our children. Ezra calls a public fast before the journey from Babylon to Jerusalem, that God might direct their path. Lapide: fasting prepares the soul for God's help on the journey of life.
Ezr	8	22		For I was ashamed to ask the king for footmen and horsemen, and soldiers, to defend us from the enemy in the way; because we had said to the king: The hand of our God is upon all that seek him in goodness. Ezra trusts wholly in God's protection, not in armed escort. His shame arose from consistency with his own profession of faith to the king. Lapide: those who profess reliance on God must truly live by that profession.
Ezr	8	23		So we fasted, and besought our God for this, and it fell out prosperously. Lapide: prayer armed with fasting is most powerful with God, appearing to compel Him to grant what is asked.
Ezr	9	3		And when I had heard this word, I rent my mantle and my coat, and I plucked off the hair of my head and of my beard, and I sat down mourning. Ezra tears his garments and plucks his hair — not for his own sin, but for the sin of the people, whose cause and guilt he takes upon himself. Lapide: as Christ (whose type Ezra is here) confessed and wept for sins not His own, so Ezra instituted a public prayer with groaning and weeping, prostrate on the ground before the Temple, deeming himself unworthy to enter.
Ezr	9	6		O my God, I am confounded and ashamed to lift up my face to thee, for our iniquities are multiplied over our head, and our sins are grown up even unto heaven. Ezra's great prayer of public penance: he confesses not \"my sins\" but \"our sins,\" taking the guilt of all the people upon himself. This is the model of priestly intercession.
Ezr	9	8		And now for a little while grace hath been shown by the Lord our God, that a remnant might be saved, and a nail might be given us in his holy place. Lapide: Ezra feared that because of the mixed marriages, God might revoke the mercy He had shown and bring fresh calamities. The \"nail\" (paxillus) signifies the princes and magistrates God gave to rule the people, on whom the people depend as a vessel or beam hangs upon a nail (citing Isaias 22:23 on Eliacim the priest).
Ezr	9	13		And after all that is come upon us for our most wicked doings, and our great sin, seeing that thou, our God, hast saved us from our iniquity. Lapide marvels at God's immense clemency toward Israel: though they sinned so grievously through idolatry under Solomon, Manasses, Jechonias, and others, God did not abandon them in Babylon, did not utterly destroy them, but spared them; indeed He heaped new and great gifts upon them — liberty, return to their homeland, restoration of the city and Temple. God's mercy seemed to compete with their ingratitude by surpassing it with new benefits. This divine clemency exceeds all human clemency and belongs to God alone.
Ezr	9	15		O Lord God of Israel, thou art just, for we remain yet to escape, as it is this day: behold we are before thee in our sin, for there is no standing before thee in this matter. Ezra's prayer concludes with complete prostration before God's justice. Lapide: the sinner must acknowledge his guilt openly, without excuse or evasion. No one can stand justified before God on account of sin. Such must be the disposition and prayer of every penitent.
Ezr	10	1		Now when Esdras was praying thus, and beseeching, and weeping, and lying before the temple of God, there was gathered to him of Israel an exceeding great assembly of men, and women, and children, and the people wept with much weeping. Lapide: Ezra is explicitly a type of Christ — as Christ confessed and wept for sins not His own, taking the person and the sin of the people upon Himself, so Ezra here prostrates himself before the Temple as unworthy to enter, praying with groaning and tears for the people's transgression, not his own.
Ezr	10	2		Shecaniah son of Jehiel says: \"We have transgressed against our God and have taken strange wives from the people of the land; and now if there be repentance in Israel concerning this, let us make a covenant with the Lord our God.\" Lapide: \"repentance\" presupposes hope of obtaining pardon; he who has no such hope does not repent but despairs, as Judas did. Therefore, true penance includes hope of forgiveness.
Ezr	10	3		Let us make a covenant with our God to put away all the wives and such as are born of them, according to the will of the Lord. Lapide: the children born of these marriages were not to be simply abandoned outright, but were to be sent to colleges and pedagogical institutions specially established, there to be educated in the true fear of God and in good morals, by wise and prudent men (citing Cajetan).
Ezr	10	5		Ezra arose and made the chief priests, Levites, and all Israel swear that they would do according to this word — that is, that they would put away their foreign wives absolutely and entirely. Lapide notes this was a great and serious resolution: to put away wives to whom they had been bound for many years and whom they loved as their own flesh, and to send away their children who were as second selves and their hope of posterity. They preferred to please God rather than wives and children.
Ezr	10	9		The people of Juda and Benjamin gathered at Jerusalem on the twentieth day of the ninth month (Kislev = November–December). Lapide: \"sitting in the street of the house of God, trembling because of the sin and the rain\" — they trembled inwardly from the sting of conscience (having taken foreign wives against God's law) and outwardly from the cold rains of the season.
Ezr	10	11		And now give glory to the Lord God of your fathers, and do his pleasure, and separate yourselves from the people of the land, and from your strange wives. Lapide: \"give glory\" = confess your sin. This confession glorifies God in four ways: (1) it testifies that God is just and they are sinners; (2) it subjects them to God and His law; (3) it removes the danger of idolatry; (4) it separates the faithful and holy from contact with the unfaithful and unclean.
Ezr	10	44		All these had taken strange wives, and there were among them women that had borne children. Lapide notes that the list names even priests among those who had taken foreign wives — a sign of the great corruption of morals of that time, such that the contagion had even penetrated the sacerdotal order. He cites Isaias 24:2: \"As with the people, so with the priest.\"
