book	chapter	verse	latin_incipit	english_translation
Hb	1	0	Synopsis Capitis	Chapter 1 presents Habakkuk's bold complaint to God about unpunished injustice in Judah, and God's even more troubling answer: He is sending the Chaldeans as His instrument of judgment. À Lapide treats this as the great biblical dialogue on theodicy, resolved not by philosophical argument but by prophetic vision and faith. The chapter establishes the dialectical structure of the book: human complaint, divine response, prophetic trust.
Hb	1	1	Onus quod vidit Habacuc propheta	À Lapide discusses the peculiar Hebrew name Habakkuk (wrestling, embracing), which Jerome interprets as one who wrestles with God like Jacob or who embraces God in contemplative prayer. Both meanings illuminate the prophet's character: one who dares to contend with God about injustice while ultimately clinging to him in faith. This is the prophetic theodicy tradition at its most intense.
Hb	1	2	Usquequo Domine clamabo	'How long, O Lord, shall I cry and thou wilt not hear?' À Lapide reads this as the Church's prayer in persecution and every soul's prayer in spiritual darkness. He cites the Psalms' tradition of the lament (qinah) and insists that honest complaint addressed to God is itself a form of faith. Silence before God would be the true apostasy; wrestling speech maintains the relationship.
Hb	1	5	Aspicite in gentes et videte	'Behold among the nations and see, and be astonished and wonder; for a work shall be done in your days which no man will believe, when it shall be told.' Paul cites this in Acts 13:41 as a warning to those who reject the Gospel. À Lapide reads the double fulfilment: historically, the Chaldean invasion no one would believe; spiritually, the Resurrection and Gentile mission that Jews refused to credit.
Hb	2	2	Et respondit mihi Dominus et dixit	'And the Lord answered me and said: Write the vision and make it plain upon tablets that he that readeth it may run through it.' À Lapide treats the divine command to write as the foundation of the inspiration of Scripture: God himself directs the written preservation of prophetic vision for posterity. The tablets (tabulae) recall Sinai; the New Law is also written—on hearts, by the Spirit (2 Cor. 3:3).
Hb	2	3	Quia adhuc visio longe	'For the vision is yet for an appointed time, and it shall appear at the end and shall not lie; if it make any delay, wait for it, for it shall surely come and shall not tarry.' À Lapide reads this as the promise of the Incarnation: the long wait of the Old Testament ends with the 'fullness of time' (Gal. 4:4). Hebrews 10:37 cites this verse about Christ's coming. The theology of divine promise and patient waiting is central to à Lapide's eschatology.
Hb	2	4	Ecce qui incredulus est non erit recta anima eius	'Behold, he that is incredulous, his soul shall not be right in himself; but the just shall live in his faith.' À Lapide's commentary on Hab. 2:4 is the longest in his Habakkuk section. He carefully distinguishes the three Pauline uses: (1) Romans 1:17—the just man justified by faith, not by works of the Law; (2) Galatians 3:11—faith as against the curse of the Law; (3) Hebrews 10:38—persevering faith against apostasy. He steers between Luther's sola fide and Pelagianism, following Trent: faith formed by charity (fides caritate formata) is the proximate principle of justification.
Hb	2	14	Quia replebitur terra scientia gloriae Domini	'For the earth shall be filled with the knowledge of the glory of the Lord as waters cover the sea.' À Lapide reads this as the Messianic promise fulfilled in the universal proclamation of the Gospel. He notes the parallel with Isaiah 11:9. The 'knowledge of the glory of the Lord' is not merely intellectual but the experiential knowledge of God's presence that comes through the sacraments and contemplative prayer.
Hb	2	20	Dominus autem in templo sancto suo	'But the Lord is in his holy temple; let all the earth keep silence before him.' À Lapide treats this as the most solemn verse in the chapter: after the five woes against oppressive power, the prophet falls silent before the divine majesty. He connects it to the practice of sacred silence in the liturgy—the silence before the Canon of the Mass. Zephaniah 1:7 and Zechariah 2:13 use the identical formula, establishing a canonical liturgical imperative.
Hb	3	2	Domine audivi auditionem tuam et timui	'Lord, I have heard thy hearing and was afraid.' The beginning of the prayer is an act of prophetic adoration before the divine majesty. À Lapide reads this as a model of contemplative prayer: the prophet first listens (auditionem tuam) before speaking. The petition 'in the midst of the years revive it' (Vulgate: in medio annorum vivifica illud) is read as a prayer for the Incarnation—God's saving work renewed in the fullness of time.
Hb	3	3	Deus ab austro veniet	'God will come from the south.' À Lapide identifies Teman (south) and mount Pharan with the Sinai theophany of Exodus, and more typologically with the Incarnation: God coming from 'the south' figures the divine light dawning from the rising Sun of Justice. The description of divine majesty—brightness as light, rays from his hand—is applied to the Transfiguration (Matt. 17:2).
Hb	3	17	Ficus non florebit et non erit germen in vineis	'For the fig tree shall not blossom and there shall be no spring in the vines; the labour of the olive shall fail and the fields shall yield no food; the flock shall be cut off from the fold and there shall be no herd in the stalls.' À Lapide calls this the 'Magnificat of the Old Testament' because it follows with absolute joy in God despite total material deprivation. He uses it in a treatise on detachment from created goods, citing John of the Cross's Ascent of Mount Carmel.
Hb	3	18	Ego autem in Domino gaudebo	'But I will rejoice in the Lord and I will joy in God my Jesus.' À Lapide lingers on 'Deus Iesus meus'—the Vulgate reading—noting that Jerome's translation preserves the earliest Christian reading of this verse as a direct reference to Jesus. He treats this as proof that the divine Name 'Jesus' (Saviour) was known to the prophets spiritually even before the Incarnation. The joy despite material deprivation models the martyrs' composure.
