book	chapter	verse	latin_incipit	english_translation
Hos	1	0	Synopsis Capitis	Chapter 1 summarises the prophetic marriage of Hosea to Gomer, which à Lapide reads as a figure of God's covenant with Israel and, typologically, Christ's mystical marriage with the Church. The historical and allegorical senses are carefully distinguished. Patristic authority—especially Origen and Jerome—is invoked throughout. The chapter sets the hermeneutical framework for the entire book.
Hos	1	1	Verbum Domini quod factum est	À Lapide notes that the prophetic word is identified with the divine Logos; the oracle is not merely human speech but participates in eternal Wisdom. Hosea prophesied under four kings of Judah and one of Israel, spanning some sixty years. This dating anchors the prophecy historically while the spiritual sense reaches forward to the New Covenant.
Hos	1	2	Initium loquendi Domino in Osee	God commands Hosea to take a harlot for a wife, which à Lapide, following Origen and Jerome, interprets in a threefold manner: literally as a real historical marriage, morally as a figure of idolatrous Israel, and anagogically as the Incarnation whereby Christ the Holy unites Himself to sinful humanity. The scandal of the command is resolved by its prophetic necessity.
Hos	1	4	Voca nomen eius Iezrahel	The name Jezreel—meaning 'God will sow'—carries a dual burden of judgment and promise. In the immediate literal sense it announces the end of the house of Jehu and the destruction of the kingdom of Israel. Typologically, à Lapide sees the scattering of Israel as a figure of the dispersion of souls in sin, with harvest as ultimate redemption.
Hos	1	6	Voca nomen eius Sine Misericordia	Lo-ruhamah ('not pitied') signifies divine mercy withdrawn from the northern kingdom on account of its apostasy. À Lapide distinguishes between the mercy of predilection shown to Judah and the justice permitted toward Israel, citing St. Paul's use of this text in Romans 9 to explain God's sovereign election. The name prophesies the Assyrian captivity.
Hos	1	9	Voca nomen eius Non Populus Meus	Lo-ammi ('not my people') is the gravest name, reversing the covenant formula of Sinai. À Lapide reads this as the Church Fathers' proof-text that the Synagogue would be rejected and the Gentiles called. The reversal in verse 10—'sons of the living God'—is applied to Christian baptism, making the Gentiles God's people where they were once not.
Hos	2	2	Iudicate matrem vestram iudicate	God summons the children to contend with their mother, i.e., the individual faithful are urged to resist the corporate apostasy of the nation. À Lapide applies this morally to the conscience of each soul called to resist communal sin. The stripping of ornaments figures the removal of God's gifts when souls forsake Him.
Hos	2	14	Ducam eam in solitudinem	'I will lead her into the wilderness' is the great pastoral reversal: judgment becomes courtship. À Lapide, following Theodoret and Jerome, reads the wilderness as the contemplative life and the valley of Achor as hope purified through tribulation. The Babylonian exile is the historical referent; the anagogical sense is purgation of the soul.
Hos	2	19	Sponsabo te mihi in sempiternum	'I will espouse thee to me for ever'—à Lapide calls this the golden verse of Hosea. The triple repetition of 'sponsabo' signifies the three theological virtues and the indissoluble bond of the New Covenant. He cites St. Bernard extensively: this is the sponsalia of the Incarnation, when the divine Word took human flesh as His bride. Justice, judgment, and mercy are the dowry Christ brings.
Hos	3	1	Vade adhuc et dilige mulierem	God commands Hosea to love the adulterous woman even as God loves Israel despite her idolatry. À Lapide sees here the gratuitous nature of divine love—not caused by the creature's merit but by God's own nature. The fifteen pieces of silver and the homer of barley paid for her redemption are computed allegorically: fifteen is the number of ascents, barley represents the Old Law.
