book	chapter	verse	latin_incipit	english_translation
Jgs	1	1		Before undertaking any enterprise, Israel is commanded to consult God first: "Who shall go up?" This is the rule of all action — prayer precedes deed. So ought every Christian begin every work with prayer, seeking God's counsel as the Israelites sought it before battle.
Jgs	1	7		Adonibezec confesses the law of talion: "As I have done, so hath God requited me." Lapide: the justice of God is inescapable; men are punished by the very instruments they have used to harm others. "Measure for measure" is the divine law of retribution, both in this life and the next.
Jgs	2	1		The Angel of the Lord who speaks at Bochim is understood by some as the Word of God Himself, by others as the Archangel Michael. He rebukes Israel for making league with the Canaanites. The "Bochim" (weepers) are named from the tears shed there — true repentance is the gateway to mercy.
Jgs	2	16		"The Lord raised up judges to deliver them." Lapide: every Judge was a type (typus) of Christ the Saviour, raised up to free God's people from servitude — as Christ was raised up to free us from sin, death, and the devil. The pattern of apostasy, chastisement, repentance, and salvation recurs throughout the book, foreshadowing the whole economy of Redemption.
Jgs	2	19		No sooner was each judge dead than Israel relapsed into worse idolatry. Lapide cites S. Augustine: corruptio optimi pessima — the fall of one who has known grace is worse than the fall of those who never had it. The remnant Canaanites serve as tests of fidelity.
Jgs	3	9		"The Lord raised up a deliverer for Israel, even Othniel." He is the first Judge and first type of Christ the Redeemer. "Othniel" (lion of God) is expounded as a type of Christ who is the Lion of Judah, liberating His people by His own strength, not theirs.
Jgs	3	10		"The Spirit of the Lord came upon him." Lapide: this is the spirit of fortitude and holy zeal, infused supernaturally to raise up a deliverer. So the Holy Ghost descends on those whom God destines to great work in His Church.
Jgs	3	15a		Ehud, the left-handed judge who slays Eglon the fat king: allegorically the left hand signifies the humility and apparent weakness by which Christ conquered the devil, who is spiritually the obese king enslaving God's people.
Jgs	3	15b		Ehud brings tribute and then slays the oppressor. Lapide notes that tributes paid under unjust servitude are not perpetual, and that God can raise up a deliverer to end any tyranny — the liberation of Israel is always a work of grace, not merely of politics.
Jgs	4	4		"Deborah, a prophetess, judged Israel at that time." The name Deborah means "bee" — she is sharp to sting sinners with rebuke, and sweet in the honey of divine wisdom. That a woman judged Israel was extraordinary; God can raise up any instrument He chooses. Lapide: Deborah is a type of the Church teaching and ruling.
Jgs	4	9		Deborah prophesies: "The Lord shall sell Sisara into the hand of a woman." This was fulfilled literally in Jael; but allegorically foretells the Blessed Virgin Mary, in whose womb and by whose fiat the great enemy of mankind was overcome. Lapide: the victory over the enemy is always granted through a woman.
Jgs	4	21		Jael drives the nail into Sisara's temples. Allegorically: Jael is a type (typus) of the Church militant, and especially of the Blessed Virgin Mary, who crushed the head of the diabolical Sisara by her humility, virginity, and fiat. Lapide cites the Fathers at length on Jael as figura Mariae.
Jgs	5	2		The Canticle of Deborah opens: "Praise ye the Lord, because the leading men of Israel undertook the enterprise." Lapide: the first duty after victory is thanksgiving to God; those who lead the people deserve honour only insofar as they acknowledge that God acts through them.
Jgs	5	20		"The stars from their courses fought against Sisara." The angelic powers that move the heavenly bodies act in defence of God's people. Lapide: divine Providence governs all of nature in service of the plan of Redemption. S. Jerome is cited: even the heavens are enlisted in the spiritual war.
Jgs	5	24		"Blessed among women be Jael." Lapide: this greeting pre-echoes the salutation of the Angel to Mary (Luke 1:28) and Elizabeth's greeting (Luke 1:42), "Blessed art thou among women." Jael is thus a type of Mary, who crushed the serpent's head. The Fathers explicitly apply "Blessed among women" to the Virgin, citing this verse.
