book	chapter	verse	latin_incipit	english_translation
Jos	1	1		Lapide: After Moses' death God speaks to Joshua. "Josue" (Yehoshua) = YHWH saves; he succeeded Moses by obedience and faithfulness, not merely by hereditary right. Origen: Joshua as type of Jesus Christ throughout — his name, his mission, his people.
Jos	1	2		Lapide: "Moses My servant is dead" — God announces the old Law yields to the new; Joshua (Jesus) leads where Moses (Law) could not, into the Promised Land. Origen on the mystical sense: the land = celestial homeland obtained by Jesus Christ.
Jos	1	3		Lapide: "Every place that the sole of your foot shall tread upon" — not merely Canaan literally, but every soul that submits to the feet of Jesus Christ. Origen: anagogically, the place is heaven and celestial glory.
Jos	1	5		Lapide: "As I was with Moses, so will I be with thee" — the Fathers teach it was always the Son, not the Father, who appeared in Old Testament theophanies. The Chaldean paraphrase: "The Word of God was with Moses, and so shall He be with thee."
Jos	1	6		Lapide: "Thou shalt divide this land by lot to this people" — type of Christ who opens heaven for the elect; Joshua divides Canaan as Christ distributes eternal inheritance.
Jos	1	7		Lapide: "Be thou very strong" (meod meod meod) — the triple repetition in the Hebrew signifies the Holy Trinity, according to several Fathers and expositors.
Jos	1	8		Lapide: "Meditate upon it day and night" — Hebrew hagah signifies so fervent a meditation that the words overflow from the heart; not silent reading but vocal and affective rumination.
Jos	1	11		Lapide: S. Augustinus (Serm. 106 De Temp.): "Prepare yourselves victuals" — receive the sacrament of Faith, Hope, and Charity; for it was with these spiritual provisions that one arrives at the sacrament of Baptism and the mystery of the Trinity.
Jos	2	1		Lapide: The two spies sent from Setim — S. Augustinus: Jesus sends two explorers because the true Jesus was to give the two precepts of charity; what else does He send but to love God and love neighbour?
Jos	2	1b		Lapide: Rahab — Hebrew "dilatatio" (she who was enlarged); meretrix converted by faith; ancestress of Christ through Salmon (Matt. 1:5). S. Hieronymus notes that only women of ill repute or foreign blood are named in Christ's genealogy, to show He came to redeem sinners.
Jos	2	5		Lapide: Rahab's lie was an officiosum mendacium (officious or white lie), venial sin in a pagan woman who believed it lawful to save guests. S. Augustinus: she was rewarded not for her falsehood but for her benevolence; the falsehood was not remunerated, only the mercy.
