book	chapter	verse	latin_incipit	english_translation
Mi	1	0	Synopsis Capitis	Chapter 1 opens Micah's prophetic ministry with a theophany of divine judgment descending on the high places of Israel and Judah. À Lapide situates Micah as contemporary with Isaiah, contrasting the courtly Isaiah with the rural Micah of Moresheth. The lamentation over the cities of the Shephelah is handled with careful attention to the Hebrew puns (which Jerome preserves), demonstrating à Lapide's philological care.
Mi	1	1	Verbum Domini quod factum est ad Michaem	Micah's superscription places him under three kings of Judah, making his ministry approximately 740–700 BC. À Lapide notes that Micah is cited by the elders in Jeremiah 26:18 (Mic. 3:12), demonstrating the authority the scroll carried within the prophetic tradition. The divine word 'that came' (quod factum est) uses the same formula as Hosea, underscoring the common source of all prophecy.
Mi	1	3	Quia ecce Dominus egredietur de loco suo	'For behold the Lord will come forth out of his place and will come down and will tread upon the high places of the earth.' À Lapide reads the divine descent as both historical (the Assyrian invasion as God's instrument) and eschatological (the final judgment). The melting mountains and splitting valleys figure the moral collapse of structures built without God's foundations.
Mi	3	12	Propter vos Sion quasi ager arabitur	'Therefore shall Sion for your sake be ploughed as a field, and Jerusalem shall be as a heap of stones.' À Lapide notes this is the verse quoted in Jeremiah 26:18 that saved Jeremiah's life: the elders cited Micah as precedent for prophetic judgment against Jerusalem. He treats this as evidence of the canonical authority of written prophecy within the community of Israel.
Mi	4	1	Et erit in novissimo dierum praeparatus mons	'And it shall come to pass in the last days that the mountain of the house of the Lord shall be prepared on the top of mountains.' À Lapide identifies the mountain of the Lord as the Church, elevated above all earthly kingdoms by divine authority. The flowing of all nations to it figures the conversion of the Gentiles. He cites Augustine: 'The mountain of the Lord is Christ; the house upon it is the Church.'
Mi	4	3	Et iudicabit inter populos multos	The great peace oracle: swords into ploughshares, spears into pruning-hooks, nation not lifting sword against nation. À Lapide reads this as fulfilled historically in the Pax Romana that facilitated the spread of the Gospel, and eschatologically in the final peace of the Kingdom of God. He is careful not to project a utopia within history, following Augustine's caution about the earthly city.
Mi	5	2	Et tu Bethlehem Ephrata parvulus es	'And thou, Bethlehem Ephrata, art a little one among the thousands of Juda: out of thee shall he come forth unto me that is to be the ruler in Israel, and his going forth is from the beginning, from the days of eternity.' À Lapide's commentary on this verse is among the richest in the entire work. He establishes the twofold birth: eternal generation from the Father ('from the days of eternity') and temporal birth from the Virgin at Bethlehem. He surveys all the Fathers—Justin, Origen, Eusebius, Jerome, Augustine, Chrysostom—and replies to Jewish objections. The Magi's consultation (Matt. 2:6) is treated as apostolic confirmation of the Messianic reading.
Mi	5	4	Stabit et pascet in fortitudine Domini	'He shall stand and feed in the strength of the Lord.' The Good Shepherd who feeds his flock in divine strength is identified with Christ governing His Church. The security of the sheep ('they shall be converted, for then shall he be great even to the ends of the earth') is the pastoral care of the apostolic ministry continued in the episcopate. À Lapide cites John 10 as the New Testament fulfilment.
Mi	6	6	Quid dignum offeram Domino	'Wherewith shall I come to meet the Lord?' The interrogator asks whether rams, oil, or even firstborn children would suffice. À Lapide reads this as a catechetical dialogue on the nature of acceptable worship. The escalating offers (rams, oil, firstborn) model the logic of cultic substitution taken to its limit; verse 8's answer overturns the entire framework by demanding interior virtue rather than exterior sacrifice.
Mi	6	8	Indicabo tibi o homo quid sit bonum	'I will show thee, O man, what is good and what the Lord requireth of thee: verily to do judgment and to love mercy and to walk solicitous with thy God.' À Lapide calls this the Old Testament's perfect summary of the moral law. He aligns the three elements with the three theological virtues: doing judgment (faith operative in justice), loving mercy (charity), walking humbly (hope in dependence on God). He cites Origen, Chrysostom, and Jerome on the verse's comprehensive scope.
Mi	7	6	Inimici hominis domestici eius	'A man's enemies shall be they of his own household.' À Lapide notes that Christ quotes this verse verbatim in Matthew 10:35-36 to describe the social divisions that follow the Gospel. The prophetic anticipation and the apostolic application are treated as demonstrating the unity of the two Testaments under a single authorial intention. The family divisions that follow conversion are a providential purification.
Mi	7	18	Quis Deus similis tui qui aufers iniquitatem	'Who is a God like thee, who takest away iniquity and passest by the sin of the remnant of thy heritage?' À Lapide reads this as the Old Testament's most explicit declaration of God's nature as merciful forgiver. He connects it to the Kyrie eleison of the Mass and to John 1:29 ('Behold the Lamb of God who taketh away the sin of the world'). The divine name 'Micah' (who is like God?) is answered: none, precisely because only God forgives in this way.
