book	chapter	verse	latin_incipit	english_translation
Na	1	0	Synopsis Capitis	Chapter 1 opens Nahum's oracle against Nineveh with a magnificent theophany: God is jealous, takes vengeance, and is great in power. À Lapide notes the alphabetic structure of verses 2-10 (an acrostic on the Hebrew alphabet, partially preserved), showing the crafted literary artistry of the prophets. The divine attributes—jealousy, patience, power—are carefully distinguished in Thomistic categories.
Na	1	1	Onus Ninive liber visionis Naum Elcosei	'The burden of Nineveh. The book of the vision of Nahum the Elkoshite.' À Lapide discusses the meaning of 'burden' (onus): prophetic oracles of doom are burdens laid upon nations. Elkosh is identified variously as a village in Galilee, giving Nahum a Galilean background similar to Jonah. The contrast between Jonah (mercy to Nineveh) and Nahum (doom to Nineveh) illustrates that God's mercy is not indulgent but conditional.
Na	1	2	Deus aemulator et ulciscens Dominus	'God is jealous and the Lord is avenging; the Lord is avenging and hath wrath.' À Lapide carefully distinguishes divine jealousy (zelus) from human passion: God's jealousy is His infinite love that cannot permit the objects of His love to be destroyed by sin. Divine vengeance is not revenge but vindicatory justice restoring moral order. He cites Thomas's Summa on the relation between God's justice and mercy.
Na	1	7	Bonus Dominus et confortans in die tribulationis	'The Lord is good, a stronghold in the day of trouble, and knoweth them that trust in him.' À Lapide reads this central verse as the book's theological fulcrum: judgment on the wicked is inseparable from salvation for the faithful. He develops this into a meditation on the divine knowledge that encompasses the elect—the intimacy of God's knowing those who trust Him (cognovit confidentes in eum).
Na	1	15	Ecce super montes pedes evangelizantis	'Behold upon the mountains the feet of him that bringeth good tidings and that preacheth peace.' À Lapide connects this directly to Isaiah 52:7 and to Romans 10:15, where Paul applies it to the apostolic preachers of the Gospel. The immediate historical reference is the messenger announcing Nineveh's fall and Judah's liberation; the spiritual sense is the apostolic mission liberating humanity from sin. This is one of à Lapide's most exuberant treatments of typological fulfilment.
Na	2	1	Ascendit qui dispergit coram te	'He is come up who scattereth before thy face.' À Lapide identifies the scatterer as the Babylonian-Median coalition that sacked Nineveh. He draws on classical sources (Diodorus Siculus, Ctesias) alongside the biblical text. The prophecy's detailed accuracy—the flooding of the river, the palace's dissolution—is used as an apologetic demonstration of the supernatural character of biblical prophecy.
Na	2	11	Ubi est habitaculum leonum	'Where is now the dwelling place of the lions and the feeding place of the young lions?' The lion imagery inverts Amos 3:4 and Genesis 49:9: Nineveh, once the lion devouring nations, lies empty and silent. À Lapide notes the irony: the lion that roared is now the hunted. The typological application is to the devil, who was like a roaring lion (1 Pet. 5:8) but was defeated by the Lion of Judah.
Na	3	1	Vae civitati sanguinum	'Woe to the bloody city, all full of lies, full of rapine.' À Lapide's commentary on the three charges—blood, lies, rapine—is essentially a treatise on the three structural sins of imperial power. He draws parallels with Rome's treatment of Christians in the persecutions and warns that any state that builds itself on these foundations faces the same judgment as Nineveh.
Na	3	4	Propter multitudinem fornicationum meretricis	'Because of the multitude of the fornications of the harlot—fair and agreeable—a mistress of sorceries.' À Lapide reads the harlot-image of Nineveh as the figure of Babylon in the Apocalypse (Rev. 17-18), following Victorinus of Pettau and Tyconius. The city that seduces nations with wealth and pleasure is the type of every anti-Christian civilisation in history.
Na	3	18	Dormierunt pastores tui rex Assur	'Thy shepherds have slumbered, O king of Assyria; thy princes shall be buried.' The sleeping shepherds of Assyria figure rulers who fail their peoples through negligence or complicity in injustice. À Lapide applies this directly to bad bishops and negligent pastors—a characteristic application of prophetic imagery to the clergy of his own time. The scattered flock without shepherd is both the literal Assyrian population and, typologically, souls abandoned by their spiritual fathers.
