book	chapter	verse	latin_incipit	english_translation
Nm	1	1		God commands Moses to number all the sons of Israel from twenty years old and upward, all who are able to go out to war; the census reflects God's providential ordering of His people into a holy army.
Nm	1	2		The total of those numbered was 603,550 fighting men, not counting the Levites; the Levites are set apart for service of the Tabernacle and are not enrolled in the military census.
Nm	1	47		The tribe of Levi is exempted from the census and given charge of the Tabernacle; "among the children of Israel they shall have no possession," for the Lord is their inheritance.
Nm	2	2		The twelve tribes are arranged around the Tabernacle in four great companies — Judah to the east, Reuben to the south, Ephraim to the west, Dan to the north — with God in the midst; the whole camp is ordered around divine worship.
Nm	3	6		The Levites are applied to Aaron and the priests for service in the Tabernacle; Lapide notes that the Levites are like soldiers who stand guard between God and the people, mediating by their sacred ministry.
Nm	3	7a		The names of the Levite clans contain moral teaching: Gershon = "stranger" (Ecclesiastics must live as pilgrims on earth); Caath = "sorrowful" (clerics must mourn the sins of the people); Merari = "bitterness" (they must meditate on death and novissima); Levi = "brightness of purity."
Nm	3	12		God takes the Levites in place of the firstborn of Israel; all firstborn belong to God from the night of the Exodus, and the Levites serve as their substitutes in perpetual sacred ministry.
Nm	4	3		The Levites serve from age thirty to fifty; Lapide notes that among the Hebrews no one could teach before age thirty — hence both Christ and John the Baptist began their public preaching at thirty, "the age of mature judgment and rightful authority."
Nm	4	4		The office of the Kohathites is to carry the most sacred vessels — the Ark, the altar, the candlestick — on their shoulders; no cart is allowed for these, signifying that sacred things must be borne by those specially consecrated.
Nm	5	2		The unclean — lepers, those with a flux, those defiled by the dead — are expelled from the camp; God dwells in the midst of the camp and demands ritual purity; not merely external but interior purity of soul.
Nm	5	7		The guilty party must confess the sin and make restitution, adding a fifth part; this foreshadows the requirement of confession and satisfaction in the Sacrament of Penance.
Nm	5	12-13		The law of the bitter waters for wives suspected of adultery; God alone can reveal hidden sins; the wife's innocence or guilt is manifested by a miraculous divine judgment.
Nm	5	28		If the woman is not defiled, she shall be free and shall conceive children; the ordeal vindicates the innocent. God is the supreme judge of secret sins.
Nm	6	2a		The Nazirites were devout Jews who separated themselves from common life to dedicate themselves wholly to God — either perpetually (like Samson, Samuel) or for a set time (like St. Paul, Acts 21:23); they abstained from wine and all intoxicants.
Nm	6	2b		Allegorically, the Nazirites foreshadow the Religious life in the New Law; Lapide cites St. Gregory Nazianzen, St. Thomas (2.2 q.186 a.6), and others: "Nazirites prefigure the life of our Religious" — those separated from the common life of men and consecrated to God by three vows.
Nm	6	5		The uncut hair of the Nazirite is the sign of his consecration — like a crown upon his head; "let his hair grow, for the consecration of God is upon his head." Tropologically, uncut hair signifies holy thoughts and knowledge adorning the mind.
Nm	6	5a		Lapide quotes Isidore: the use of the clerical tonsure derives from the example of the Nazirites; Bede adds that the corona tonsure commemorates the crown of thorns of Christ, signifying that clerics bear the sign of His Passion.
Nm	6	6		The Nazirite must not go near a dead body, not even for father or mother; he exceeds even ordinary priests in this; Religious must cut off all carnal affections for parents and kin, hearing Christ's "Follow me; let the dead bury their dead."
Nm	6	9		If someone dies before a Nazirite unexpectedly, the days of his vow are nullified and he must begin anew; this signifies that God desires unbroken holiness, and Religious who fall into negligence must begin anew with fresh resolve.
Nm	6	18		At the completion of the vow the Nazirite shaves his head at the door of the Tabernacle and burns his hair in the fire of the peace-offering; the hair is burned because it was consecrated to God — the whole person is offered to Him.
Nm	6	21		The vow of Naziriteship is called the "law of his consecration" and a status of perfection in the Old Law; as Lapide explains, it corresponds to Religious life in the New Law, which D. Thomas calls "the state of perfection to be acquired."
Nm	6	23-24		Aaron and his sons are commanded to bless Israel with the Priestly Blessing: "The Lord bless thee and keep thee"; the triple repetition of the divine name in the three clauses signifies the Holy Trinity, from whom all blessings come.
Nm	6	25		"The Lord show His face to thee and have mercy on thee" — Lapide: God's face illumining means God directing all one's acts as a lamp; cited Ps 4:7 "The light of thy face is signed upon us, O Lord."
Nm	6	26		"The Lord turn His countenance toward thee and give thee peace"; Lapide notes the efficacy of the sacerdotal blessing even in the Old Law: God promises to hear and fulfill it (v.27), as He fulfilled the blessings of dying fathers.
Nm	6	27		"They shall invoke my name upon the children of Israel, and I will bless them"; the priestly blessing in both Testaments is efficacious; Catholics rightly seek and receive it devoutly.
Nm	7	1		On the day Moses completed and anointed the Tabernacle, the princes of the twelve tribes brought offerings — six wagons and twelve oxen — and over twelve days each prince offered his individual gifts for the dedication of the altar.
Nm	7	89		When Moses entered the Tabernacle to speak with God, he heard the divine voice speaking to him from above the mercy-seat between the two Cherubim; God condescends to speak with Moses face to face "as a man speaks with his friend."
Nm	8	2		The seven lamps of the golden candlestick are set so they illuminate the table of showbread; the seven lamps signify the sevenfold gifts of the Holy Spirit illumining the bread of God's word.
Nm	8	24-26		Levites serve from age 25 to 50; after 50 they assist their brethren but no longer bear the heavy burdens; a principle of graduated service and honourable retirement for those grown old in sacred ministry.
Nm	9	1-5		God commands the celebration of Passover in the desert of Sinai in the second year; this shows that the Passover is not a one-time event but a perpetual feast — it was to be kept in Canaan for all generations.
Nm	9	10-11		Those defiled by a corpse or away on a journey may observe the Passover on the fourteenth of the second month; God provides for those unable to fulfil a sacred duty through no fault of their own.
Nm	9	15-16		The cloud of the Lord covered the Tabernacle by day and the appearance of fire by night; the cloud and fire are signs of God's continual presence guiding Israel — "continually," day and night.
Nm	9	18-23		Israel moved or remained encamped entirely at the Lord's command, signified by the lifting or resting of the cloud; perfect obedience to divine providence — "by the word of the Lord they pitched their tents, and by the word of the Lord they marched."
Nm	10	2		Two silver trumpets are made for assembling the people and moving the camp; silver signifies the brightness of preaching, which calls souls to penance and to battle for God.
Nm	10	9		When Israel goes out to war, the trumpets sound before the Lord; "and you shall be remembered before the Lord your God, and shall be saved from your enemies." Prayer and liturgical invocation precede every holy warfare.
Nm	10	33-35		The Ark of the covenant preceded the camp by three days' journey to seek out a resting place; Moses prays: "Arise, O Lord, and let thine enemies be scattered." The Ark typifies Christ going before His people to prepare their way.
