book	chapter	verse	latin_incipit	english_translation
Ru	1	1		In the days of one judge, when the judges ruled, famine came upon the land. Lapide examines which judge presided: Josephus, Zonara, and the Master of the Histories hold it was Heli the Pontiff, but Lapide rejects this on chronological grounds (David could not have descended from Boaz within the 80 years of Heli, Saul, and Samuel). Salianus most aptly holds the famine fell under Abimelech son of Gedeon; the marriage of Boaz and Ruth under his successor Thola. The famine was likely sent by God to punish the parricides and idolatry of Abimelech and the Sichemites.
Ru	1	2		Elimelech in Hebrew means "my God is king," or "the king of my God," or "my strong one is king." He was a prominent and wealthy man, from the family of Salmon, prince of the tribe of Juda. Naomi means "beautiful, pleasant, agreeable." Mahlon means "infirmity" or "choir"; Chelion means "deficiency" — both names fittingly prophetic, since both sons died prematurely in Moab. Ephratei = born of Bethlehem, which was also called Ephrata.
Ru	1	4		The sons took Moabite wives. Lapide notes some Rabbis hold they sinned gravely; but they may be excused by necessity — there were no Israelite women in Moab, and celibacy was difficult and dangerous for young men in the heat of youth. Moreover, Naomi their pious mother seems to have directed them to this marriage by God's instinct, who destined through Ruth the birth of David and thence Christ.
Ru	1	8		"Go into the house of your mother" — since Noemi says "house of your mother" (not a common mother), it is clear Orpah and Ruth were not sisters nor had the same mother. Noemi tacitly urged the two daughters-in-law to embrace the faith of Israel if they wished to accompany her; implying: if you will not live as Israelites in the worship of the one true God, return to your Moabite people.
Ru	1	11		Noemi's speech about having no more sons in her womb reflects the levirate custom in use among the Gentiles as well as in the law of Moses (Deut. 20): when a woman married into a family, at her husband's death she adhered to that family and expected another husband from it, not transferring to another family, for the sake of honour and the affinity already contracted.
Ru	1	15		"She is returned to her people and to her gods" — Lapide: Noemi did not counsel Ruth to follow Orpah back to the gods of the Gentiles; rather, she permitted it so as to test the sincerity and constancy of Ruth's will to change both country and religion freely. Orpah's return reveals she had never truly converted; Ruth's cleaving to Noemi shows the contrary.
Ru	1	16		"Where thou shalt go, I will go; and where thou shalt lodge, I will lodge. Thy people shall be my people, and thy God my God." Lapide: great was this Ruth's love, observance, and fidelity toward her mother-in-law Noemi, resolutely exchanging her native land for a foreign country and the domestic religion for the Jewish faith of pilgrims, because she saw Noemi so wise and upright, adorned with so many virtues, that she was firmly persuaded her faith and religion were true and her God the true God. Origen: "Blessed Ruth showed such reverence to her aged mother-in-law that she suffered her not to be left even until death; wherefore she is perpetually magnified in Scripture, and before God is blessed for infinite ages." Jerome: "O virtue to be preferred even to men! A woman of an uncircumcised nation imitates the faith of Abraham, whom male circumcision abandoned... She is therefore chosen by the Lord; she becomes an Israelite in mind, not by birth; by faith, not by blood; by virtue, not by tribe; whence she is so blessed as to be called the mother of prophets and kings."
Ru	1	17		"The Lord do so and so to me, and more also, if aught but death part thee and me." The Hebrews by euphemism omit the evil they invoke upon themselves in oaths, lest the thing imprecated actually befall them. Allegorically Ruth here bears the type of the Church passing from the Gentiles to Christ. Chrysostom: "Consider what was done in Ruth — it fits our own situation. She was a foreigner, fallen into extreme poverty; but Boaz, seeing her, neither despised her poverty nor abominated the baseness of her birth: just as Christ, receiving the Church as both a foreigner and afflicted with great want of good things, took her as a sharer." Ambrose: "How did she enter the Church if not because she was made holy and immaculate in morals above the law? ... In her the figure of our entering the Church of the Lord from the nations went before."
Ru	1	20		Noemi: "Call me not Noemi (that is, beautiful), but call me Mara (that is, bitter), for the Almighty hath filled me with bitterness." She had been honoured with a noble husband and two sons; now she is widowed and bereaved. Lapide notes Gregory the Great used this very text twice in letters when praised by others, replying: "Call me not Noemi, that is beautiful, but call me Mara, for I am full of bitterness." For "Omnipotens" the Hebrew is Shaddai, which signifies both "Giver of all abundance" and "One who chastises and lays waste" — both meanings fitting this verse.
Ru	1	22		Noemi returned with Ruth the Moabitess to Bethlehem when first the barley was reaped — that is, at Passover. For on the second day of Pasch the Hebrews offered God the firstfruits of the ears, and on the third day began to reap them. The Chaldean paraphrase: "They ascended to Bethlehem at the very coming of Pasch, when the children of Israel began to reap the omer of barley that was wont to be elevated before the Lord."
Ru	2	1		Boaz is described as "a mighty man of great wealth" — Hebrew gibbor chail, that is, strong both in body and soul, or powerful in riches (which chail also signifies, and which is more apt here, since Boaz was being prepared as a husband, in whom wealth is chiefly regarded). His name in Hebrew means "in strength" or "in him is strength," and he was strong as is evident in verse 1. The two columns of Solomon's Temple were called Jachin and Boaz (3 Kgs. 7:21), that is, "direction and fortitude."
Ru	2	3		Ruth gleaned behind the reapers after the harvest — as the poor and hungry do, gathering fallen and remaining ears into a gleaning. This practice was not only licit under the Old Law but commended by God; yea, reapers were commanded to leave some ears deliberately for the poor to gather (Lev. 19:9; 23:22).
Ru	2	4		"The Lord be with you" — and the reapers answered: "The Lord bless thee." Lapide: this is the first occurrence of the liturgical salutation "Dominus vobiscum," first spoken by Boaz, later used by the Prophet sent to King Asa (2 Chr. 15:2), then by Gabriel greeting the Blessed Virgin ("The Lord is with thee"), and finally introduced by the Church into the Sacrifice of the Mass and the Divine Office. The Council of Braca, canon 21, decreed: "It is pleasing that bishops and priests salute the people not in different ways but in one manner, saying 'The Lord be with you,' as is read in the book of Ruth."
Ru	2	7		Ruth asked permission to glean, though by law the ears were the property of the poor and she could have gathered them without asking. She preferred to ask so as to bind the reapers more to herself and make them more generous in leaving her more ears.
Ru	2	10		Ruth "fell on her face and bowed herself to the ground" before Boaz — showing reverence by prostration or inclination of the head, the ancient form of deep respect.
Ru	2	12		"The Lord reward thy work, and a full reward be given thee of the Lord God of Israel, under whose wings thou art come to trust." Lapide: "Wings" signifies God's care, protection, and providence; as chicks flee under the hen's wings to be protected from injury and from the ravening hawk, so we must flee to God's wings, that we may be defended by Him from all evils of body and soul and from devils, according to David: "Protect me under the shadow of thy wings" (Ps. 16:8), and "He shall overshadow thee with his shoulders, and under his wings thou shalt trust" (Ps. 90:4). Hence also Christ cries over Jerusalem: "How often would I have gathered together thy children, as the hen doth gather her chickens under her wings, and thou wouldst not?" (Matt. 23:37). The Chaldean renders: "Because thou art come to be a proselyte and to hide thyself under the shadow of the majesty of his glory."
Ru	2	13		"I have found grace in thy sight, my lord, who hast comforted me and hast spoken to the heart of thine handmaid, though I be not like to one of thy handmaids." Lapide: behold the admirable humility of Ruth, who makes herself inferior to all Boaz's handmaids, and the servant of servants — and therefore merited to become his wife. So the Blessed Virgin, saying "Behold the handmaid of the Lord; be it done to me according to thy word," merited to become the Mother of God.
Ru	2	14		"Dip thy morsel in the vinegar." Lapide notes the frugality of that age: labourers had no other relish or seasoning but vinegar, dipping bread in it to make a mouthful. Vinegar cools those labouring in heat, strengthens the sinews, fortifies the powers, removes corruption. Seneca writes: "Learn to be content with little... habeamus aquam, habeamus polentam — let us have water, let us have polenta; let us dispute with Jupiter himself about happiness."
