book	chapter	verse	latin_incipit	english_translation
Zec	1	0	Synopsis Capitis	Chapter 1 opens with Zechariah's call to repentance and then presents the first of eight night visions: the man among the myrtle trees, the four horns and four smiths, and the man with the measuring line. À Lapide identifies the man among the myrtles as the Angel of the Lord, i.e., the pre-incarnate Logos, interceding for Jerusalem. The eight visions are structured as a coherent symbolic programme of post-exilic hope.
Zec	1	1	In mense octavo in anno secundo Darii	The precise date situates Zechariah as contemporary with Haggai and active in the same community. À Lapide notes that the divine word to Zechariah comes two months after Haggai's first oracle—God speaks through multiple prophets simultaneously to reinforce the message. He treats Zechariah as the most visionary and Christologically rich of the minor prophets.
Zec	1	8	Vidi per noctem et ecce vir ascendens	'I saw by night and behold a man riding upon a red horse.' À Lapide identifies the rider as the Angel of the Lord (Angelus Domini), who is distinct from the Lord yet prays to Him—a distinction he uses to support Trinitarian theology. The horses of different colours are identified with divine providences operating in the world at different speeds and with different intensities.
Zec	2	10	Lauda et laetare filia Sion	'Sing and rejoice, O daughter of Sion; for behold I come and I will dwell in the midst of thee.' À Lapide reads this as one of the great Advent and Incarnation texts of the minor prophets, parallel to Zeph. 3:14-15. The divine dwelling in the midst is the shekinah glory fulfilled in the Incarnation. He cites the Prologue of John (1:14: 'the Word was made flesh and dwelt among us') as the New Testament commentary.
Zec	3	8	Audi Iesu sacerdos magne	'Hear, O Jesus thou high priest, thou and thy friends that dwell before thee.' À Lapide notes that Joshua's Hebrew name is identical to 'Jesus'—this is not coincidence but prophetic design. The Branch (Germen) who is to come is the Messiah of David's line (cf. Jer. 23:5; Is. 11:1). He cites Origen: the entire priestly apparatus of the Old Testament is a shadow of Christ's eternal priesthood after the order of Melchisedek.
Zec	4	6	Non in exercitu nec in robore sed in spiritu meo	'Not by an army, nor by strength, but by my spirit, saith the Lord of hosts.' This oracle to Zerubbabel becomes one of à Lapide's key proof-texts for the principle that the Church's victory is supernatural. He cites Augustine's De Gratia and the doctrine of prevenient grace: no human power or organizational strength can build the Church; only the Holy Spirit does it.
Zec	6	12	Ecce vir Oriens nomen eius	'Behold a man, the Orient is his name; and under him shall he spring up and shall build a temple to the Lord.' À Lapide gives a celebrated commentary on 'Oriens' as a Messianic title: Christ is the Rising Sun (Sol Oriens), the Sun of Justice (Mal. 4:2), the Dayspring from on high (Luke 1:78). The building of the temple is the founding of the Church—Christ builds it through His death and resurrection. He cites Origen, Jerome, and Ephrem Syrus on this verse.
Zec	8	19	Haec dicit Dominus exercituum ieiunium quarti	The four fasts (of the fourth, fifth, seventh, and tenth months) shall be 'joy and gladness and cheerful solemnities to the house of Juda.' À Lapide applies this to the Church's transformation of mourning into celebration: the fasts commemorating Jerusalem's fall are replaced by the feasts celebrating Christ's resurrection. Sorrow becomes joy when the cause of sorrow (sin) is removed.
Zec	9	9	Exsulta satis filia Sion	'Rejoice greatly, O daughter of Sion; shout for joy, O daughter of Jerusalem: behold thy king will come to thee, the just and saviour; he is poor, and riding upon an ass, and upon a colt the foal of an ass.' À Lapide's commentary is exhaustive: he notes the four characteristics of the Messianic King—just (iustus), saving (salvator), poor (pauper), riding on an ass. Matthew 21:5 and John 12:15 cite this verse at the Triumphal Entry. He argues against Jewish interpreters who apply it to the Maccabees: the humility, peace (v.10), and universal dominion (from sea to sea) can only apply to Christ. The foal of an ass figures the Gentile nations newly tamed by the Gospel.
Zec	9	10	Et dissipabo quadrigam de Ephraim	'And I will destroy the chariot out of Ephraim and the horse out of Jerusalem, and the bow for war shall be broken; and he shall speak peace to the Gentiles, and his power shall be from sea to sea.' À Lapide reads the destruction of war-chariots as the peace of the Gospel superseding the age of conquest. The dominion from sea to sea is the Church's universal mission. He quotes Psalm 72:8 as the parallel Davidic text and notes Origen's reading: peace is the specific gift of Christ (John 14:27) that no earthly king can give.
Zec	11	12	Et appenderunt mercedem meam triginta argenteos	'And they weighed for my wages thirty pieces of silver.' Matthew 27:9-10 cites this in connection with Judas's betrayal, attributing the fulfilment to Jeremiah—a famous textual problem that à Lapide resolves by noting Matthew follows the Septuagint tradition, which circulated certain Jeremianic texts under Zechariah's name, and that Matthew's argument depends on the substance of the prophecy rather than its precise attribution. The potter's field purchased with blood-money fulfils both Jeremiah's symbolic purchase (Jer. 32) and Zechariah's oracle.
Zec	12	10	Et effundam super domum David et super habitatores Ierusalem spiritum gratiae	'And I will pour upon the house of David and upon the inhabitants of Jerusalem the spirit of grace and of prayers; and they shall look upon me whom they have pierced; and they shall mourn for him as one mourneth for an only son.' John 19:37 cites this at the piercing of Christ's side on the Cross, identifying Jesus as the one pierced. À Lapide gives a Trinitarian exegesis: 'They shall look upon ME' (the Father speaks) 'whom they have pierced'—but the Father was not pierced; therefore the text teaches the consubstantiality of Father and Son. He also reads the mourning as the Church's Good Friday liturgy and the future conversion of Israel at the Parousia.
Zec	13	1	In die illa erit fons patens domui David	'In that day there shall be a fountain open to the house of David and to the inhabitants of Jerusalem for the washing of the sinner and of the unclean woman.' À Lapide identifies the fountain with the blood and water flowing from Christ's side (John 19:34) and with the sacrament of Baptism. He cites the long patristic tradition (Origen, Cyril, Ambrose) and notes that the Council of Trent uses John 19:34 to prove the institution of the sacraments from the side of Christ.
Zec	13	7	Percute pastorem et dispergentur oves	'Strike the shepherd and the sheep shall be scattered.' Christ quotes this in Matthew 26:31 at the Last Supper, identifying himself as the shepherd to be struck at the Passion. À Lapide gives a full treatment of the divine permission of the Passion: God 'strikes' the shepherd in the sense that He permits the crucifixion within the economy of redemption. The scattering of the disciples is both prophesied and reversed by the Resurrection commission.
Zec	14	8	Et in die illa exibunt aquae vivae de Ierusalem	'And it shall come to pass in that day that living waters shall go out from Jerusalem.' À Lapide identifies the living waters with the Holy Spirit and the Sacraments, following John 7:38-39. The two-directional flow (toward the eastern sea and toward the western sea) figures the universal mission of the Church flowing East and West. He cites Ezekiel 47 for the parallel vision of the Temple stream growing deeper as it flows.
Zec	14	9	Et erit Dominus rex super omnem terram	'And the Lord shall be king over all the earth; in that day there shall be one Lord, and his name shall be one.' À Lapide reads the eschatological monotheism as the fulfilment of all history: the Shema (Deut. 6:4) becomes a universal reality rather than the confession of one nation alone. Christ's Kingship—established in the Incarnation, proclaimed in the Resurrection, to be manifested at the Parousia—is the theological content of this verse.
