1Mc	12:1	Ptolemy Philometor, in the 18th year of his reign, granted to Onias, who was the son of Onias the holy High Priest, permission to build a temple at Heliopolis in Egypt, similar to that of Jerusalem, which was called by him the Onion temple; it stood for 233 years, and was finally destroyed together with the Jerusalem temple by Titus and Vespasian. So Josephus, Eusebius, and others.
1Mc	12:2	Philometor, craftily wishing to deprive his son-in-law Alexander of the kingdom of Asia, died suddenly in the year of the Greeks 167 [1 Macc. 11:1 and 18].
1Mc	12:3	Ptolemy Physcon, also called Euergetes, brother of Philometor, reigned after his brother for 29 years. By a strange prodigy he was at once brother, husband, and son-in-law of Cleopatra, for he took her daughter to wife. Moreover, when Cleopatra ruled alone after her husband Physcon had been expelled, Physcon had both his own son and hers cut into pieces, placed in a chest, and served up to her during a banquet on her birthday, as Justin attests in books 38 and 39.
1Mc	12:4	Ptolemy Lathurus, son of Ptolemy Euergetes, surnamed by others Soter, reigned 16 years.
1Mc	12:5	Ptolemy Alexander, brother of Lathurus, reigned 10 years together with his mother, who had expelled Lathurus.
1Mc	12:6	Ptolemy Lathurus, restored to the kingdom on account of his mother's cruelty, reigned again for another 8 years.
1Mc	12:7	Ptolemy called Auletes, because he had practised playing the flute, son of Lathurus according to Salianus. He begot Cleopatra, who was the last queen of Egypt. He reigned together with his daughter Berenice for 30 years in all.
1Mc	12:8	Ptolemy Dionysius, son of Auletes, since he was a minor, ruled Egypt through his sister Cleopatra for 5 years.
1Mc	12:9	Cleopatra, having overthrown her brother Ptolemy Dionysius, reigned alone for 17 years. This is the famous concubine of Mark Antony the triumvir, who fell in battle defeated by Augustus Caesar. Cleopatra, lest she should fall into the hands of Augustus, killed herself by the bite of an asp. Augustus forthwith subjected all Egypt to himself and the Romans, and then became monarch in the year of the city 724, which was the third year of Olympiad 187. All these things are treated by Eusebius, Justin, St. Epiphanius, Bede, Salianus, Torniellus, and others.
1Mc	12:10	These matters will shed great light on both books of Maccabees. For the kings of Asia, Antiochus and Demetrius, long contended with the Ptolemaic kings of Egypt over Judaea and indeed over empire itself; for Judaea lay between the two, and was therefore an apple of discord between them, each striving to claim it for himself.
1Mc	12:11	Chronotaxis of the Maccabees, or Assamonaeans, who ruled the people not only as High Priests but also as Princes: 1. Mattathias, rising against Antiochus Epiphanes in the ninth year of Epiphanes, which was the year of the Greeks 145, held the Pontificate and Principate of Israel for a few months [1 Macc. 2:1].
1Mc	12:12	2. Judas Maccabaeus, after the death of Mattathias, succeeded his father as if firstborn son in the Pontificate and Principate; he defended his country and the true worship of God most bravely and successfully; he purified the Temple after casting out the idol of Antiochus in the year of the Greeks 146; he was finally slain fighting most fiercely against Bacchides in the year of the Greeks 152 [1 Macc. 9:5 and 18]. He ruled and defended Israel for 6 years.
1Mc	12:13	3. Jonathan was appointed successor to his brother Judas by the people, approved afterwards by Alexander Balas, son of Antiochus Epiphanes [1 Macc. 10:5 and 20]. He was finally slain by treachery by Tryphon in the year of the Greeks 170 [1 Macc. 16:23 and 24], having governed for 19 years.
1Mc	12:14	4. Simon was substituted for his brother Jonathan in the Dukedom and Pontificate [1 Macc. 13:8 and 25]. He was slain by treachery by his son-in-law Ptolemy in the year of the Greeks 177 [1 Macc. 16, last verse], having governed for 7 years.
1Mc	12:15	5. John Hyrcanus, son of Simon, presided as duke and High Priest for 31 years. He is mentioned in the last verse of 1 Maccabees, at which point the sacred history of the Maccabees, and indeed of the entire Old Testament and Holy Scripture, comes to an end.
1Mc	12:16	6. Aristobulus, son of John Hyrcanus. He was the first to assume the name and crown of king, which example his later descendants followed. He killed his brother Antigonus, and in that same year died by divine vengeance, vomiting blood. He reigned 1 year.
1Mc	12:17	7. Jannaeus, younger brother of Aristobulus, who, to please the Greeks, assumed a Greek name and was called Alexander. He left two sons, Hyrcanus and Aristobulus, who contended with each other for the kingdom all the way to the time of Herod, and were his instruments of ruin. He reigned 27 years.
1Mc	12:18	8. Alexandra, wife of Jannaeus, on his death usurped the kingdom and reigned for 9 years.
1Mc	12:19	9. Aristobulus the younger, son of Jannaeus, having excluded his elder brother Hyrcanus, seized the Pontificate and kingdom; but he was captured by Pompey and sent to Rome with his two sons Antigonus and Alexander, having reigned for 3 years. Then Pompey took Jerusalem and subjected all Judaea to the Romans, making it tributary, in the consulship of Cicero and Antony.
1Mc	12:20	10. Hyrcanus the elder, son of Jannaeus, was restored to the Pontificate by Pompey, and held it amid various vicissitudes for 22 years.
1Mc	12:21	11. Alexander, son of Aristobulus, having escaped from Rome, attempted to seize Judaea; but after three years was captured by Gabinius and beheaded by Pompey; his father Aristobulus himself also, fleeing from Rome with his other son Antigonus, seized Judaea and the Pontificate with Parthian help for three and a half years. But Julius Caesar adjudicated the Pontificate to Hyrcanus, as Pompey had already done before, and committed to Antipater the guardianship of Idumaea, Judaea, and Hyrcanus, as if making him procurator; then Mark Antony appointed Herod and Phasael, sons of Antipater, as tetrarchs. Finally Antigonus, the last of the Maccabees, was beheaded at Herod's petition after some years.
