2Kgs	1:1	That is, as the Chaldean renders it, the Moabites rebelled against Israel, namely against Ochozias the son of Achab, who reigned in Israel. For when they saw that Achab had been slain in battle, his army scattered, and Ochozias a young man, they took courage and rebelled against him to whom they had hitherto been subject, refusing tribute and establishing their own king — just as at around the same time the Idumeans, subdued by David, rebelled against Joram king of Judah, as we shall hear in chapter 8. So says the Abulensis.
2Kgs	1:2	That is, through latticed and netted windows of a floor, as Pagninus, Vatablus, and others say. Or he calls the upper room a solarium or flat roof, which in Palestine was level, so that one might walk, dine, and sleep upon it. Now this roof was surrounded on all sides by a parapet or wall, lest anyone should carelessly fall from it, according to the law of Deuteronomy 22:8. This wall was latticed and grilled, and from it, when the railings gave way or broke, Ochozias fell. So says Sanchez. Tropologically, Eucherius says: Ochozias, king of Samaria, who separated himself from the house of David and fell through the lattices, seems to signify this: that heretics or schismatics, even if they appear to climb to some height of good action, yet because they lack the cohesion of the unity of the Church, as if supported by open and unsolid walls on their sides, will always relapse into the weakness of vices, and perish in the arrogance of their obstinacy, destitute of divine aid. CONSULT BEELZEBUB THE GOD OF ACCARON.] The Septuagint: Consult Baalmuia, the god of Accaron. Josephus: Consult the oracle of Myodes (for that was the name of the god): myia means fly, hence Myodes is the god of flies, who was invoked to drive away flies, which abounded at Accaron on account of the damp and warm soil near the sea. The same was called Jupiter Apomyios, as Pausanias attests in book 5, and Pliny in book 29, chapter 6, where he calls Myodes "Achares," perhaps because he was worshipped at Accaron, as is said here. In similar fashion the god Sminthus was worshipped to drive away mice, for the Cretans call mice sminthas; and Parnopius was worshipped to drive away parnopas, that is gnats, or, as others will have it, locusts, as Pausanias attests in his Attica. For the Gentiles placed gods over all things, and so they worshipped Fever, Cloacina, Panic, and Pallor as divine powers, as St. Augustine attests in book 4 of The City of God, chapters 16 and 23. Thus Beelzebub in Hebrew is the same as Baal or Beel and Bel combined with Zebub, that is, fly — or Baal of the Fly, as the Septuagint translates; for this idol was fashioned in the shape of a fly, says Nazianzen in book 2 against Julian, and Theodoret in question 3. Hence also Philastrius numbers among the heresies the Myolatrae, that is, the adorers of the fly, or the Muscaccaronites, at heresy 13. See what was said on Matthew 10:25. To which add that some, following Serarius, hold that Beelzebub or Myodes, that is, the God of the Fly, was a god or goddess of lust, on account of the wantonness and licentiousness observed in flies; whence Lucian in his Encomium of the Fly relates that there were once prostitutes who were called flies. Moreover, all gods (that is, demons) can be called flies on account of their multitude, insolence, impudence, restlessness, filth, and stench. Hence in this age a demon, flying in the form of a great fly or hornet upon one who had abandoned the orthodox faith and professed Anabaptism, immediately seemed to possess him and made him learned in Holy Scripture, and likewise deprived him of this knowledge if he returned from Anabaptism to the faith, as eyewitnesses report. Again, demons are called flies because, as Lucian says in his book On Sacrifices, they swarm over the blood of victims after the manner of flies. Add to this that demons sometimes flew into the prophets of the Gentiles in the manner of flies to deliver oracles, just as the Roman Ritual records that a demon sometimes approaches to obsess the energumens. Hence therefore among the Jews, one who was contemptible and detestable was called Beelzebub (Matthew 10). The prince of demons himself (Matthew 12) is so called as being the most wanton, most shameless, and most contemptible of all, says Serarius; or because Myodes was Jupiter Apomyios, as was said.
2Kgs	1:8	For Elias went about unshorn, with long beard and hair, clothed in rough and shaggy garment — that is, wrapped in a melote, or unshorn sheepskin or goatskin — girt with a leather belt, that is, with hide not dressed but still hairy and shaggy, like a hermit who despises the world and is a lover of poverty and ancient simplicity. See Gaspar Schatzgeyer, book 1 of the Institutes, chapter 1. Rabbi Eliezer fabulously relates in chapter 31 that this belt of Elias was made from the hide of that ram which Abraham sacrificed in place of Isaac, Genesis 22.
2Kgs	1:9	From the summit of Mount Carmel come down to us, that we may lead you as a captive to King Ochozias, to whom you foretold death, so that you may give account of this dire oracle and suffer your punishment. Therefore this captain of fifty sinned, first, by impiety, because he consented to the impiety of Ochozias who wished to punish Elias, and was his minister in this. Second, by arrogance, because he commanded him imperiously and proudly, as though the executor of a royal command, ordering him to come down; and therefore, struck down by Elias — or rather by God — by heavenly fire, he perished.
2Kgs	1:10	Elijah makes serious the ironic title given to him, and turns it back upon the head of the one who spoke it through solemn retribution. Hence note: for "God" in the Hebrew is *Elohim*, a word signifying God as judge and avenger — as if to say: "If I am a minister of *Elohim*, that is, of the supreme judge and avenger, as you have mockingly declared, then let *Elohim* himself defend me as His minister, and punish your insolence and violence, by which you seek to seize me, His minister, and drag me against my will before the king." For this violence redounds upon God Himself, who is my hero and Lord. Wherefore Elijah avenged this injury to himself — or rather, to God — calling down fire from heaven with vehement spirit. He will do the same at the end of the world together with Enoch, contending against Antichrist and his followers; whence it is said of both in Apocalypse 11:5: *And if any man will hurt them, fire shall come out of their mouth and shall devour their enemies*; and in Sirach 48:1: *Then Elijah the prophet arose like a fire, and his word burned like a torch*; and at verse 3: *He brought down fire from heaven three times*. See what is said there. Symbolically, Saint Ambrose, in his book *On Those Who Are Initiated into the Mysteries*, chapter 9, compares the priest consecrating the Eucharist with Elijah. For just as Elijah consumed the captain of fifty and his men with heavenly fire, so the priest by the divine power of Christ's words consumes the substance of bread and wine, and converts it into the Body of Christ. For, as Lanfranc says against Berengarius: "If the word of Elijah had such power as to bring down fire from heaven, shall not the word of Christ avail to change the species of the elements?"
2Kgs	1:11	This second captain of fifty was more impudent than the first: first, because having heard of the punishment of his predecessor he did not come to his senses; and further, because he increased his impudence by adding the word *hasten* — and therefore was struck with the same penalty and consumed by heavenly fire. *I beseech thee, have mercy on my soul.* This third captain, terrified by the punishment of the two preceding him and thus made wiser, prostrates himself before Elijah as a suppliant. Hence he does not dare to demand or say that he should descend, but entreats mercy — that Elijah might spare him, namely, and tell him what must be done: that is, what he ought to report back to the king. Wherefore Elijah not only spared him, but, at the admonition of the Angel, willingly joined the man as a companion on his way to the king.
2Kgs	1:17	— who, that is, while his father Jehoshaphat was still living but had gone with Ahab to battle against the Syrians and was therefore absent, reigned in Jerusalem — concerning whom see chapter 3, verse 1. For when Ahab was slain in battle, his son Ochozias immediately succeeded him in the kingdom; and when Ochozias died of his illness in the first year of his reign, his brother Joram succeeded him. COMMENTARY ON THE FOURTH BOOK OF KINGS. Chapter II. ON THE SECOND CHAPTER.
2Kgs	2:9	**Double** — that is, twice as great — so say some, with Theodoret (q. 7) and the Greek commentators. Blessed Peter Damian agrees (Serm. 2, on the Nativity of St. John the Baptist): "In Elisha," he says, "there was a double spirit of Elijah, not by a doubling of merits, but by a display of miracles; for he performed 24 miracles, whereas Elijah performed only 12, though others count fewer." Hence Anastasius of Antioch (q. 55) reckons the signs of Elijah as seven, and those of Elisha as fourteen. St. Ambrose also agrees (Serm. 2, on Elisha), who exclaims: *O precious inheritance, in which more is left to the heir than was possessed; he who receives acquires more than he who bestows could claim as his own! Truly precious is that inheritance which, while being transferred from father to son, is doubled by a certain interest upon its merits! Therefore Elijah, though he himself possessed the simple spirit of holiness, left to Elisha a double portion thereof. Wondrous indeed, then, that Elijah left behind more grace upon the earth than he carried with him to heaven: and though he himself was wholly taken up bodily to higher things, he yet remains in his son with a greater sanctity.* Others interpret **double** as referring to two-thirds of the remaining portion — that is, as if the spirit of Elijah were divided into three parts, Elisha would request two of them for himself. This seems to be suggested by the Hebrew word for "two," whence Pagninus translates: *Let a measure of two parts of thy spirit be upon me.* But the better interpretation attributes the **double** to Elijah himself — as if to say: I pray, O Elijah, that thy spirit, which is double, that is, manifold, powerful, and excellent, may flow down upon me; so that, with thy departure, I as thy son may succeed thee in thine excellent spirit as in a spiritual inheritance, and with the same zeal as thine, may defend the worship of the true God against the worshippers of Baal. Hence Angelomus says: "A double spirit is the spirit of prophecy and of miracles." This is confirmed, first, from the Hebrew, which has: *Let the mouth of two be in thy spirit for me* — for the firstborn had a double portion of the paternal inheritance, whereas the other sons had only a single and one portion; as if to say: I ask that I, as thy firstborn, O Elijah, may succeed thee in both thy spirits. Second, because in Ecclesiasticus 48:4 it is said of Elijah: *Who can glory as thou canst, Elijah?* Therefore he was of greater spirit than Elisha. Third, because in the same place at verse 13 it is said: *And in Elisha the spirit of Elijah rested.* See what is said there.
2Kgs	2:10	The reason for this condition proposed to Elisha by God and Elijah was to kindle more deeply Elisha's desire and earnestness, and thereby to prepare him for so great a gift as the double spirit of Elijah, and likewise that the prayers of Elijah himself on behalf of Elisha might increase, in order to obtain for him this spirit for the benefit of Elisha himself and of all Israel. For both were uncertain whether Elijah would be caught up while Elisha was present, so that he might become the heir and successor of that same spirit. So St. Chrysostom (Hom. 1 on Acts), who also adds that Elijah here prefigured Christ, who did not send the Spirit upon the Apostles immediately after the Resurrection, but willed first that they should see His Ascension into heaven, and then on the tenth day thereafter — namely, at the feast of Pentecost — sent the Holy Spirit upon them, so that through many days they might prepare themselves for Him. # GEM
2Kgs	2:11	This chariot was not truly fiery in its material substance — for had it been so, it would have burned Elijah — but it had the form and appearance of fire, as meteors formed in the air possess. For in truth these were Angels who, assuming the form of fire, were bearing Elijah upward, according to that text: *Who makest thy angels spirits, and thy ministers a flame of fire* (Ps. 103:4). This fire was therefore dense air, gleaming and red as fire, says Abulensis (q. 17), as do Serarius and others. This fiery chariot was formed by Angels out of the clouds, by which Elijah, as a triumphant conqueror and citizen of heaven, was caught up on high. For a fiery chariot befitted the fiery soul of Elijah, to carry him into heaven, says St. Chrysostom (Hom. 1 on Elijah). Likewise it befitted the office for which Elijah is being reserved — namely, to go before the second coming of Christ in judgment. I have reviewed many other literal, allegorical, tropological, and anagogical reasons for this chariot and rapture in my commentary on Ecclesiasticus 48:9, at the words: *Who wast taken up in a whirlwind of fire, in a chariot of fiery horses.* Moreover, Elijah by this fiery chariot triumphed not only over Ahab, Jezebel, and the idolaters, but also over death itself and over fire: for this was a chariot of triumph, as was the chariot of the Cherubim in Ezekiel 1. Our colleague Prado says there: It is fitting that thou, O Elijah, who in life didst command the fire from heaven, shouldst now be carried to heaven by fire as its commander and conqueror. Hence it is evident how ineptly Rabbi Kimchi claims that Elijah was consumed by fire in the sphere of fire. Hear St. Ambrose (Serm. 2, on Elisha): *Was not Elijah, the master of Elisha, caught up to heaven under the guidance of Angels, and set upon a fiery chariot, and did he not ascend as a victor in a kind of triumph? For he had been a conqueror not of barbarous nations, but of worldly pleasures. Since wicked habits are more grievous enemies than hostile foes, so that we may more easily understand that in this age the malice of enemies can be overcome more readily than the malice of morals.* **And Elijah went up by a whirlwind into heaven.** The Septuagint: *And Elijah was taken up in a commotion even unto heaven.* The Chaldean: *To the summit of the heavens.* In Ecclesiasticus 48:9 it is written: *Who wast received in a whirlwind of fire* — in Greek, *ἐν λαίλαπι*, that is, in a fiery tempest. It seems therefore that God sent forth lightning, flashes, and thunderbolts, and similar fiery storms, which caught up Elijah and conveyed him to heaven. Hence Vatablus at that same place translates: *Who wast lifted up in a fiery storm in a chariot of burning horses.* Thus Elijah, with a whirlwind or wind driving, a fiery chariot carrying, and an Angel as charioteer governing both, was conveyed into heaven — so say Abulensis, Vatablus, Serarius, Salianus, and others. Hear St. Ambrose (On the Apostles' Creed, near the end): *Enoch was translated that he should not see death; and likewise Elijah, while yet in this body, was taken up in a fiery chariot — that is, by the conveyance of Angels who are spirits and a flame of fire, who do the will of God — and was assumed in that commotion even unto heaven.* The author of the *Marvels of Scripture* (Bk. 2, ch. 22): *Now at last Elijah, received into the fiery chariot, is seen flying toward heaven, while Elisha watches, and is caught away.* Ambrose again (On Naboth, ch. 17): *When Elijah was being taken up, and was being borne in the chariot as toward heaven, Elisha cried out to him: Father, father, the chariot of Israel and the horseman thereof — that is, thou who didst govern the people of the Lord with good guidance; by the merit of thy constancy thou hast received these chariots, these horses running to divine things, because the Lord approved thee as a guide of human minds. Therefore, as a good charioteer of the contest, thou art crowned as victor with the eternal reward.* **Into heaven.** The Septuagint (v. 1) translates: *as it were into heaven.* From this, first, some consider that Elijah was truly caught up —
