Tb	14:1	According to the Greek text, Tobias came into captivity at age 37, lived in it 125 years, and died at age 158. He was blinded at age 58, lived blind for eight years, recovered his sight at age 66, and then lived another 92 years.
Tb	14:1	Tobias the younger, says Serarius, near the end of the book: when he was two years old, he was led into Assyria with his father. He went to Media, and there took Sara as wife, at age 23 or 24; he lived with his father still alive for 65 or 66 years; he lived after his father's death for 99 years; that is, in total 164 or 165 years. These last three figures are true according to the Greek text, which St. Ambrose follows, not the Latin Vulgate, which we must follow, as I shall presently say.
Tb	14:1	Furthermore, both Tobiases were led into Assyria in the sixth year of Hezekiah king of Judah; for in that year Shalmaneser, having conquered Samaria, carried the ten tribes away into Assyria, where on account of his virtue and uprightness Tobias was dear to king Shalmaneser; but sought out for death by his son Sennacherib after the defeat suffered in Judea while he was persecuting the Jews, he fled and hid himself, until after 45 days Sennacherib was slain by his sons, as is clear from ch. 1:24.
Tb	14:1	Since therefore Tobias the elder, in the sixth year of Hezekiah when he was led into Assyria, was 59 years old as stated, it necessarily follows that he was born in the 51st year of Uzziah king of Judah, when in the following year Isaiah ch. 6 saw that august vision of the Holy Trinity and of the Seraphim acclaiming him: Holy, Holy, Holy, Lord God of Sabaoth. Around the same time the Olympiads began, and Romulus and Remus, the founders of Rome, were born.
Tb	14:1	Tobias the elder died in the 40th year of Manasseh; for if from the 51st year of Uzziah you count 102 years (how long Tobias lived), you arrive at the 40th year of Manasseh. So say Salianus, Serarius, and Sanchez.
Tb	14:1	Tobias the younger was born in the 4th year of Hezekiah king of Judah, near the beginning of the city of Rome; and he died in the 16th year of Josiah king of Judah, when he was 99 years old, for that is the number of years the Vulgate edition assigns to him.
TOBIT	1:1	Tobias's genealogy is given in the Greek as follows: *The book of the words of Tobias, son of Tobiel, son of Ananiel, son of Adiel, son of Gabael, of the seed of Asiel* — the Hebrew adds *son of Nephthali*. Thus Tobias's father was Tobiel, his grandfather Ananiel, his great-grandfather Adiel (or perhaps Adiel), his great-great-grandfather Gabael, his great-great-great-grandfather Asiel, his great-great-great-great-grandfather Nephthali. His paternal grandmother was Debbora, for so it is read in the Hebrew and Greek at v.8: *As Debbora the mother of my father's brother commanded me, because I was left an orphan by my father.* This grandmother therefore reared Tobias well and piously, so that he owes his own uprightness to her. So Macrina, disciple of St. Gregory Thaumaturgus and grandmother of St. Basil, raising him together with his brothers and his sister Macrina in every virtue, formed him into a distinguished man and made him great. In like manner Ludmilla, nursing St. Wenceslas duke of Bohemia, rendered him both a saint and a martyr. # GEM
TOBIT	1:1	Furthermore, Tobias had a brother Anael, whose two sons are named in the Greek at v.8 as Achiacharus and Nasbas, or Nabac. Finally, from the phrase *the book of the words of Tobias* it is clear that Tobias is the author of this book, and accordingly in the Greek and Hebrew Tobias hereafter always speaks in the first person, saying: *I, Tobias, walked in the ways of truth*, etc. Again, it is evident from this that this book was written by the same author twice: first in Chaldean, but briefly, from which St. Jerome translated our Latin Vulgate; secondly also in Chaldean (though Serarius prefers Hebrew, and indeed twice — once by the father Tobias and a second time by his son), but more fully, from which the Greek version was translated — unless one prefers to hold that it was first written more fully, then somewhat abridged by the author himself or by someone else.
TOBIT	1:1	*From the tribe and city* [of Nephthali]: which city received the same name from the tribe, and therefore is called *properly* — as the Greek Complutensian has it (though the Roman edition has a word whose meaning is unknown) — that is, properly, Nephthali. From this tribe came many of Christ's disciples and Apostles, as is clear from Isaiah 9:1, of whom our Tobias was the type and perhaps ancestor.
TOBIT	1:1	*In the upper regions of Galilee*: from which, that is, the Jordan rising as from a higher place flows down to a lower, and therefore one Galilee is called upper and the other lower — just as Upper Germany is called that which lies alongside the Rhine at its source, flowing thence as from a higher to a lower place (which is accordingly called Lower Germany), as Serarius says. Upper Galilee is also called Galilee of the Gentiles, because part of it was given by Solomon to Hiram, the gentile king of Tyre, and was thereafter inhabited by Tyrians and other gentiles. The same region is also called Samaria, because the kings of Israel ruling from Samaria as their capital had Galilee subject to them; otherwise Samaria properly was not Galilee but lay between Galilee and Judaea.
TOBIT	1:1	Furthermore, this city of Nephthali, in which Tobias was born, is called Thesbe in the Greek — the same in which Elijah was born, whence he was called the Tishbite. So say Salianus, Serarius and others, though Adrichomius places Thesbe in the tribe of Gad, not Nephthali.
TOBIT	1:2	*When he was taken captive in the days of Salmanasar*: in Greek corruptly called Enemassar. Tobias was therefore taken captive in the sixth year of Hezekiah king of Judah, which was the ninth and last year of Hosea king of Israel, in which Salmanasar carried off the ten tribes, and among them Tobias, into Assyria (4 Kings 17–18). For although the father of Salmanasar, namely Tiglath-Pileser, had already carried off many from the ten tribes beforehand, he nonetheless likewise left many in Samaria and Nephthali, all of whom Salmanasar finally carried away.
