BookAbbrev	Chapter:Verse	Annotation	Source
Tb	3:7	In a prouince of the Medes, wherof Rages was the head citie: for whẽ they came where Raguel dwelt, Tobias stayed there, and the Angel went to the citie of Rages where Gabelus dwelt. c. 9.	scan-pdf
Tb	3:8	As one may say: such a one dwelleth in Rome, that dwelleth in anie part of Roman ia: in York, Lincolne, or Munmoth, that dwelleth in one of those shires.	scan-pdf
Tb	3:8	Asmodeus, signifying Destroyer is a captaine or King of those diuels which specially destroy foules by the sinnes of the flesh, & afterward tormenteth both foules and bodies for the same sinnes.	scan-pdf
Tb	4:1	As Moyses to the people Deut.13. and David to Salomon 3. Reg.2. so Tobias gave holie admonitions to his sonne: in al fourteen, noted in the inner margin.	scan-pdf
Tb	4:1	The same doctrine of good workes, and reward, is taught David. v.24.	scan-pdf
Tb	4:21	It perteyneth to good men among other things, to give notice and to dispose of their temporal goods by their last wil.	scan-pdf
Tb	5:5	The Angel Raphael appearing in forme of a man prefigured our Saviour, who indeed became a verie man. S. Beda.	scan-pdf
Tb	5:17	Raphael signifying medicine of God (S Gre. ho.34.) calleth himselfe Azarias, whose shape & visage he tooke upon him, which name also signifieth the helpe of God.	scan-pdf
Tb	5:27	Angel Guardian.	scan-pdf
Tb	6:6	S. Paul also calleth flesh of flesh therof, and Plinie lib. 9. c. 19.	scan-pdf
Tb	6:8	Diuels who exalted themselves as equal with God, are iustly made subiect to corporal creatures. God concurring with natural causes, whose good pleasure is to instruments naturally ript, as when Christ gave sight to the blinde by putting clay on his eyes. Joan. 9. Sometimes more apt, as when he fed manie with few loaues, Joan 6. So the Angel by Gods appointment vsed this meanes to expel the diuel.	scan-pdf
Tb	6:18	Into the place where good soules rested, none then hauing accesse into heauen. See Annot. Gen. 37.	scan-pdf
Tb	6:20	The second night he asked and obtayned this grace; for he knew not his wife vntil the fourth night. v. 22.	scan-pdf
Tb	7:4	A iustman afrayd, knowing what had chanced to those seuen husbands, which went in vnto her: and he began to feare left perhaps it might chance to him also in like manner: and when he doubted, and gaue no answer to him demanding, the Angel sayd to him: Feare not to giue her to this man, for to him fearing God is thy daughter due to be his wife: therfore an other could not haue her.	scan-pdf
Tb	8:2	See c.6, v.8. Mystically it signified Christs passion whereby the diuel was expelled out of mens harts.	scan-pdf
Tb	8:19	In the one familie there were no more children but one sonne, in the other one only daughter.	scan-pdf
Tb	9:2	The Angel went to the citie it selfe called Rages, Tobias remaining in the territorie or prouince therof with Raguel, which place is also called Rages. c. 3. v.7.	scan-pdf
Tb	10:1	Such of the Iewes as belieue in Christ hartily lament that he tarieth so long from their nation: Some more assuredly with old Tobias, others more doubtfully with his wife, expect his returne. S. Beda in Tobiam. Euen so the remnant of Catholikes in countries fallen to heresie haue greate sadnes and continuall sorow in their harts (Rom. 9.) wishing (with what temporall losse soeuer) the saluation of their brethren, kinsmen, and countriemen: some hoping more confidently & comforting others that Christ wil againe illuminate our whole nation, as light was restored to old Tobias.	scan-pdf
Tb	11:7	It nothing disgraceth the sacred historie that a smal matter being also true is recorded with the rest, As no one letter nor any tisle of the law may be omitted. Mat. 5. Beda also expoundeth it mystically of Gods Preachers. S. Ierome dath the like. Isai 56, and S. Augustin also. 12. c. 16.	scan-pdf
Tb	12:12	I offered thy prayer to our Lord. Here the Angel Raphael reporteth certaine good offices, which he had done for Tobias. He did other like for his sonne, and for Raguel, and his daughter, which are likewise recorded in this Book. And the whole world, especially Gods seruants, receiue continual great benefits by holie Angels. For first the office of Angels is, to assist, or be alwayes readie to, as most diligent seruitours of God, expecting what his diuine goodnes wil appoint them. Secondly, Angels offer the prayers of the faithful to God: so Raphael testifieth here himself, that he offered Tobias prayers to our Lord. Thirdly, Angels ayde and assist those that loue puritie of life, sincere seruice of God, hate vice, embrace vertue, and doe works of mercie. Fourthly, Angels exhort to good works, as in this chapter v. 6. 8. 9. 10. 18. Fiftly, they suggest and instruct what to doe. Sixthly, they expel diuels from persons and places. Seuently, they deliuer men from dangers and euils. Eighthly, when it redoundeth to the honour and more seruice of God, and good of the soule, Angels procure riches and wordly commodities. Ninthly, Good Angels also proue men for their mercement. Tenthly, after proofe of patience, fortitude, and other vertues, holie Angels comfort good men. Raphael encouraged old Tobias, shewed him how grateful his prayers with teares and works of mercie were in Gods sight.	scan-pdf
Tb	13:1	Temporal affliction for the spiritual good of others.	scan-pdf
Tb	13:1	His bodie being in captiuitie, yet his spirit was free to praise and thank God. S. Cyprian lib. de mortalitate.	scan-pdf
Tb	13:10	He prophecieth the reedifying of the temple and citie of Ierusalem.	scan-pdf
Tb	13:15	Onlie celestial Ierusalem shal be free from al tribulations.	scan-pdf
Tb	13:15	No Christian is ignorant (sayth S. Augustin Epist. 6) that Alleluia is a voice of praise. In English it is: Praise ye the Lord with joy.	scan-pdf
Tb	14:7	This can not be understood of the citie of Jerusalem but of the Church of Christ.	scan-pdf
Tb	14:10	Gods servants must not only expect children that they doe iustice and almes-deeds, that they be mindful of what shal be commanded, but also seeke to know what they ought to doe.	scan-pdf
Tb	14:13	A notable commendation of Tobias family & posteritie. And a plaine testimonie that true Religion never failed wholy in the tenne tribes, much lesse in the Kingdome of Iuda, least of al in the Church of Christ and new Testament.	scan-pdf
Jdt	3:13	An expresse figure of Antichrist 2.Thes.2. for whom al heretikes make way as precursors, for the singular man of sinne wil confesse no God but himselfe.	scan-pdf
Jdt	4:5	The high Priest managed also the temporal fayres of the common welth, at this time, by consent & commission of King Manasses, as is most probable these things happening shortly after his re-entrance. 2. Paral. 33.	scan-pdf
Jdt	4:13	The second part. Gods people are in great feare and distresse.	scan-pdf
