BookAbbrev	Chapter:Verse	Annotation	Source
Jb	1:5	Diuels appeare not in Gods sight, but sometime in presence of Angels which represent God. S. Athan. q 2. ad Antiochum.	scan-pdf
Jb	1:6	Satan also was present amongst them.	scan-pdf
Jb	1:9	God doth not directly fend euils, but permitteth the hand to happen to his seruants.	scan-pdf
Jb	1:1	Simple, right, and fearing God.) Moyfes, Samuel, Esdras, and other Prophets writ there owne actes among others, also their owne prayses, speaking of themselues in the third person, and so did holie Iob, humbly, truly, and simply, without vayne glorie, or arrogancie, as S. Gregorie noteth, faying: Blessed Iob, inspired with the Holie Ghost, might wel write his owne actes, which were the guifts of God being the principal cause efficient of al good mens workes, and men the secondarie cause of the same.	scan-pdf
Jb	1:5	Offered holocausts for euerie one.] Albeit the vertue of Sacrifice as wel of Holocaust in the old Testament, as especially of Christs Sacrifice in the New, is of infinit value in it-selfe, yet the application thereof to particular persons and purposes is limited, and therefore holie Iob offered not only once for al his children, but manie times, feuerally for euerie one. Wherof see Cardinal Athan. li. 2. de Eucharist. Sacrific. c. 35.	scan-pdf
Jb	2:1	A man of plaine & true dealing mixed with meeknes without al guile is called a simple right man. S. Greg. li. c. Moral. c. 2. &c.	scan-pdf
Jb	2:9	His wife perswading him to desperation & blasphemie, signified carnal cogitations, which corrupt the soule inwardly, as afflictions doe assault the flesh outwardly. S. Greg. li. 3. c. 4.	scan-pdf
Jb	2:13	Seuen dayes together euerie day & night some good part.	scan-pdf
Jb	2:11	Iobs three freinds.] For better intelligence of these conflicts betweene holie Iob and his freinds, it may here be obserued, that they were indeed his freinds, as the text simply calleth them: that they belieued rightly in God almightie, and were not idolaters: that they came of freinuly good affection to comfort him, though they fell into words of reprouing him (as S. Gregorie teacheth:) li. 3. 6. they alleadged also many excellent diuine sentences very truly, which therfore 24. Iobreproued not. But they erred in rations against Iob: and that of ignorance rather then of set malice, concluding that Iob was guiltie of some enormous sinnes, because they saw him so grieuously punished, and heard him complaine thereof; his owne conscience knowen to him and hid to them (wherot they raihly iudged, testifying that he was innocent, in respect of so great crimes. And prefigured Heretikes, in this their particular errour, though they were not heretikes, being not obstinate after that the truth was sufficiently reueiled vnto them, yet they prefigured heretikes, endeauouring by one truth to destroy an other, and by arrogating knowledge which they had not: promising also new things and vnheard of; rathers to draw others to admire them, then to edification. Li. 5. c. 18.	scan-pdf
Jb	3:1	After fo long silence, at last Iob expresseth his grief before his freinds, to be so great, that in respect thereof he mildly curseth al euil things, as not made by God, but turned to mans life, being the effects of sinne, euen from his conception and birth: wishing that whatsoever concurred to his longer afflictions in this life & hindred his more speedy deliuerie from dangers & c. a famiries had nor been: for so he had been sooner arred. as Gods goodnes should dispose of him. Al which was a lawful desire & no sinne at al. See S. Vincentda in c. 2. Iob.	scan-pdf
