1Kgs	1:1	He was seventy years of age, which was even then the common period and appointed limit of human life, as he himself declares in Psalm 89:10, saying: "The days of our years in themselves are seventy years." This remains to this day the boundary of man's life; wherefore from the age of David until our own time (a span of some 2,600 years) the age and life of men has scarcely diminished.
1Kgs	1:2	The Rabbis fable that this affliction was visited upon David by God as a punishment, because in the cave he had secretly cut off the hem of the garment of King Saul his lord, who was pursuing him, as related in 1 Kings 24. Others assign the cause of his coldness to the fact that he was born last of parents who were themselves old and of cold constitution. But Scripture here gives the cause as advanced old age: "He had," it says, "many days of years," and had spent them in continual hardships, wars, and labors, exhausting his strength. Abulensis adds that he was also afflicted by disease.
1Kgs	1:3	Galen and Francisco Vallesius, physician to Philip I, King of Spain, give the natural and medical cause of this account. Saint Jerome assigns the moral cause, and Saint Prosper the tropological. Hear Vallesius in his Sacred Philosophy, chapter 29. "They advised," he says, "that David receive a young girl rather than wine or fur garments, because that human warmth is in its substance most similar to man's natural heat, and does not exceed its proper degree." Hence Galen, in book 7 of his Method, where he treats the weakness of a cold and dry stomach, says: "Among those things which are applied externally, let a girl of good constitution, one who never grows old, lie beside him, so that she may constantly touch his abdomen." This, as Vallesius notes, was brought about in David's case at an age when he could no longer know a virgin carnally; otherwise conjugal union and consummation would have warmed him far more than the mere proximity of a young girl. Thus Rudolf of Habsburg, the first Emperor of the Austrian house, was accustomed, as Serarius reports from Cuspinian, to kiss chastely the little daughters of noblemen and princes, and even their wives, in their presence, saying that in his old age, worn out with age, he drew sweet-scented breath from their lips. This, then, is the literal and common exposition of Abulensis, Dionysius, Lyra, Serarius, Salian, Sanchez, and others. The moral cause is given by Saint Jerome, in his letter 2 to Nepotianus: "Does it not seem to you," he says, "if you follow the literal sense, that this is either a fiction from a mime or a farce from a comedy? A cold old man is wrapped in garments, and grows warm only in the embrace of a young girl. Bathsheba was still living; Abigail survived, and his other wives and concubines, whom Scripture records; all are as it were rejected as cold, and only in the arms of a young girl does the aged man find warmth. Abraham was much older than David, and yet while Sara lived he sought no other wife; Isaac was twice David's age, and with Rebecca, already grown old, he never grew cold." Here observe that Saint Jerome, like Angelomus and others, elevates and as it were overturns the literal sense, which must absolutely be established as the foundation; wherefore by these words they signify only that the literal sense, as being less profitable here, is to be passed over briefly, and one must adhere to the moral sense, which is the principal one. This Saint Jerome assigns in the same place: "Who then is this Shunammite wife and virgin, so fervent that she warmed the cold, so holy that she did not provoke the warm to lust? Let Solomon, the wisest of men, expound his father's delight, and let the man of peace tell of the warrior's embraces. Possess wisdom, possess understanding. Forget not, nor turn away from the words of my mouth; forsake her not and she shall preserve thee; love her and she shall keep thee. The beginning of wisdom — possess wisdom, and in all thy possessions acquire understanding; embrace her and she shall exalt thee; honor her and she shall embrace thee, that she may give to thy head a crown of grace. A crown of delights shall she protect thee." All the bodily virtues change in old age; all other things diminish, but wisdom grows greater. He confirms this from the etymology of the names Abisag and Shunammite, adding after much else: "But even the mystery of the name Abisag itself points to the ampler wisdom of old men; for it is interpreted as 'my father is superabundant,' or 'the groaning of my father.' The word 'superabundant' is ambiguous, but in the present passage it denotes virtue, because wisdom is more abundant, overflowing, and generous in the aged. In another place, however, 'superfluous' is taken as meaning not necessary..."
1Kgs	1:5	Although he was the fourth son of David, yet since the three elder sons of David were already dead, he was in effect his firstborn; hence it seemed by right of primogeniture that the kingdom should belong to him. But because he sought it with arrogance and approached it with unseemly haste, he was thereby excluded from it, and Solomon obtained it through the modesty of his spirit, the dignity and honor of primogeniture being transferred to him. Hence Saint Ambrose, in his Apology for David, book 1, chapter 5, says: "David took such great precaution that when he had learned that his son Adonijah was usurping the kingdom for himself, being pressed, he chose not the one who was eager to seize it, but the one who waited." For he knew that the kingdom was owed to Solomon by God's ordination and decree; for God had revealed this to him in 2 Kings, chapter 7, verse 12; and therefore David had sworn to Bathsheba that he would raise her son Solomon to the throne.
1Kgs	1:10	...as his rival in the kingdom. For he knew that the kingdom had been promised to him by David and by God, and therefore he was striving to seize it from him by anticipation.
1Kgs	1:21	As if to say: I and Solomon will be reckoned, and will be punished by Adonijah as sinners and rebels, because we did not consent to his invasion of the kingdom. Again, as sinners on account of the adultery which I once committed with you; for the infamy of this sin was being renewed and magnified by Adonijah in order to deprive Solomon of the kingdom, by saying to the people: "Beware lest you make Solomon king over you, seeing that he is the son of an adulteress, and therefore a man of ill repute." So Cajetan. Hence St. Jerome in his Traditions reads: *Erimus manzeres*, that is, we shall be held as bastards and persons of infamy.
1Kgs	1:36	As if to say: May God approve and confirm that which you have spoken, namely, that Solomon may succeed you in the kingdom. # GEM
1Kgs	1:39	*And he anointed Solomon.* Note. The anointing of the kings of Judah was ordinarily performed by the High Priest with holy oil. This is proved because it is said of David: "I have anointed him with my holy oil," Psalm 88, verse 21. The same is to be understood of Solomon, whom Sadoc here anointed with the oil of the tabernacle, which was holy. For kings were, as it were, the anointed of the Lord, inasmuch as they were leaders and rulers of God's faithful and holy people in the place of God. Nevertheless, some were anointed extraordinarily by a Prophet, and in such cases they appear to have used oil not from the tabernacle but some other common oil, which however seems to have been blessed by the Prophet — for example, if they were far from the temple where this oil was kept, as Elijah was, being in Samaria and on Mount Carmel, when he sent Elisha to anoint Hazael at Damascus and Jehu at Ramoth Gilead. Indeed, the kings of Israel generally, being schismatics and enemies of Judah, appear to have been anointed not with the oil of the tabernacle, which was at Jerusalem, but with another oil. Thus Absalom, in 2 Kings chapter 19, verse 10, was anointed, but not with holy oil, since he acted in rebellion, the High Priest being absent and fleeing before him with David. Joshua likewise was consecrated as leader of the people not by anointing but by the laying on of hands by Moses, Numbers chapter 27. Moreover, David, says Abulensis, was not anointed by Samuel with the holy oil at his first anointing, because that anointing was private; and had Saul learned of it, he would have severely punished them all. Nor was he anointed with it at the second anointing, when he was anointed in Hebron by the tribe of Judah; because the tabernacle, in which the holy oil was kept, was then at Gibeon, where Ishbosheth the enemy of David reigned. But at the third anointing he was anointed with it, when he was anointed and received as king by all Israel. Finally, one oil was used to anoint kings, and another to anoint High Priests and priests; for kings were anointed with simple oil, but priests with a compound oil made from aromatic spices, namely myrrh, cinnamon, cassia, and calamus, mixed with olive oil, as is clear from Exodus chapter 30, verses 23, 24, and 32, where this oil is called holy, and where it is forbidden under pain of death that any layman be anointed with it. Therefore a king could not be anointed with it, but with a lay and common oil, which was nevertheless called holy because it was taken from the holy tabernacle and consecrated by a certain rite for the anointing of the faithful king who was to rule over God's people, and was administered by the consecrated High Priest. The consecration of priests was therefore far holier than that of kings, as is evident from its rite, which is described throughout the whole of Exodus chapter 29 and Leviticus chapter 8. This is the opinion of Oleaster, Cajetan, Stella, and Lipomanus on Exodus 30; and it is favoured by St. Augustine, Question 135 on Exodus, and by Lorinus on Psalm 88, verse 21. The contrary opinion is held, however, by the Rabbis, whom Genebrardus cites and follows on Psalm 88, verse 21, as do Lyra, Dionysius here, and Isidore, book 3 of his *On Ecclesiastical Offices*, chapter 25, who hold that David and Solomon and their descendants were anointed with the same oil as that used for the anointing of High Priests. For they say that, on the counsel of Samuel and the prophets of that age, a dispensation was granted from the law which forbade this in Exodus chapter 30, verses 31 and 32, in favour of the laws of the Davidic family, in view of the grace of Christ the Lord who was to be born from it — of whose spiritual and divine anointing that outward anointing was a type, and of whose vicarship and ministry both they at that time and afterwards all kings were to be made aware. Isidore adds that they were therefore given the title of Christs, because they were anointed with the same chrism as the priests, so that it was therefore sacrilege to touch them, as in Psalm 104, verse 15. The same view is held by Pineda, book 2 on Solomon, chapter 6, and by Barradius, volume 2, book 3, chapter 41. But all these rest upon the tradition of the Hebrews, which is often false and deceptive, particularly in this place, where it fabricates...
1Kgs	1:39	From this it is clear that Solomon, having been publicly anointed and accepted as king by all the people, at once began actually to reign, and that David, now worn out by old age, transferred the kingdom and its administration to him. The following verses make this evident. For straightway Solomon, as king, spared Adonijah and sent him home. Hence St. Ambrose, book 3 on Luke, St. Augustine, book 17 of the City of God, chapter 8, St. Jerome, Epistle 132, Severus Sulpicius, and others assert that Solomon began to reign while his father was yet living; and Josephus states this explicitly, book 7, chapter 10, at the end: "When Solomon had been conducted into the palace," he says, "and placed upon his father's throne, from that day forward they were obedient to him." Rupert comments symbolically: "While his father was yet living," he says, "King Solomon is established; because assuredly God the Father, who appointed Christ as King and heir of all things, never has died, nor ever shall die." Moreover, David transferred the kingdom to Solomon in such a way that he himself did not lay down his royal authority and right, nor the burden and care of the kingdom, but retained it until death, yet in such a manner that he permitted Solomon to reign alongside him and committed many affairs of the kingdom to him. This is clear from chapter 2, where the dying David gives many commandments to Solomon. Verse 45. And Zadok the priest (the high priest, that is, the Pontiff) and Nathan the Prophet anointed him king in Gihon. Gihon was a hill, and on it a spring near Mount Calvary, where Christ crucified reigned from the wood of the Cross, as the Church sings from the Septuagint. Hence on the cross Pilate gave him this title: Jesus of Nazareth, King of the Jews. Solomon anointed in Gihon therefore prefigured the kingdom of Christ who was to be born from him: for Solomon, that is, the peaceful king, was an express type of Christ, who is our Peace, who made both one (Ephesians 2), uniting Jews and Gentiles alike in himself and reconciling them to God. Furthermore, the name of Solomon was appropriated by the Emperors of the Turks — the Selims and Solimans, so called from Solomon — by the Germans named Frederick (for Frederick in German signifies the same as "rich in peace"), and by the Greeks named Irene and Irenaeus. Finally, Solomon was anointed twice: first, here before the tribe of Judah, hastily and in tumult, in order to exclude Adonijah from the kingdom; second, publicly before all Israel, so that they might accept him as king — for which purpose David had convened them shortly before his death, at which time also Zadok was anointed as pontiff, as is expressly stated in 1 Chronicles 29:22. Solomon began to reign in the year of the world 2930, 269 years before the founding of Rome, and 1020 years before the birth of Christ, according to the chronological table I prefixed to the Pentateuch. Verse 47. And the servants of the king went in and blessed our lord King David, saying: May God make the name of Solomon more glorious than your name, and magnify his throne above your throne. They knew that this would not be cause for envy to David, but would be pleasing and welcome to him. For parents desire that their children should grow in wealth and glory and surpass what they themselves have left behind; for as a son's glory increases, so too grows the glory of his father. Moreover, the event corresponded to this wish of the people: for Solomon surpassed David in the extent of his kingdom, in wealth, in splendors, in magnificence, in wisdom, and in glory — though not in virtue and holiness, at least not in old age. Thus Claudian sang to the Emperor Honorius in his fourth consulship: "Behold, the vow is fulfilled; already his son equals him in merit, and — what is still more to be desired — surpasses him." And Sidonius Apollinaris, book 8, Epistle 7, to Audacius, writes: "I ask of God that your sons may attain to you, or — what is still more fitting to desire — may transcend you." See Seneca, book 3 On Benefits, chapters 36 and 37.
1Kgs	1:52	The meaning is: If Adonijah shall henceforth conduct himself uprightly, faithfully, and obediently toward me, acknowledging me as king and plotting no rebellion against me, I will pardon him for having usurped the kingdom and will bring no harm upon him. But if he shall again seek the kingdom by schemes and treachery, I will punish him according to his deserts. And because Adonijah did this very thing, he was therefore slain by Solomon, as we shall hear in the following chapter.
