2Chr	29:23	Solomon sat upon the throne of the Lord as king in place of his father David, and all were pleased and all Israel obeyed him. This signifies that Solomon's throne is called the throne of the Lord because he ruled as God's vicar and by divine appointment.
2Chr	29:24	All the princes, mighty men, and all the sons of King David gave their hand in submission and were subject to King Solomon, signifying universal acceptance of his reign.
2Chr	29:25	The Lord magnified Solomon above all Israel and gave him a glory of kingship such as no king of Israel before him had possessed, showing divine favor as the source of his greatness.
2Chr	29:27	David reigned over all Israel for forty years: seven years in Hebron and thirty-three years in Jerusalem.
2Chr	29:28	David died in a good old age, full of days, riches, and glory, and Solomon his son reigned in his place — a most blessed end to a most blessed reign.
2Chr	29:29	The acts of King David, first and last, are written in the Book of Samuel the Seer, in the Book of Nathan the Prophet, and in the volume of Gad the Seer — three distinct prophetic records attesting to the fullness of David's history.
2Chr	29:30	All the events of his kingdom, his might, and the times that passed under him, whether in Israel or in all the kingdoms of the lands, are comprehensively recorded in these prophetic writings.
2Chr	1:5	"The bronze altar" refers to the altar of burnt offerings, on which victims were burned, and which was therefore made of bronze; for the other altar of incense, upon which incense was offered to God, was of gold.
2Chr	1:6	"He inquired" — that is, by going to Gibeon, where the bronze altar was, so that he might offer a thousand victims upon it.
2Chr	2:1	Solomon decreed to build a house for the name of the Lord, and a palace for himself. The chapter synopsis notes that Solomon designated 70,000 porters and 80,000 stonecutters, and made a pact with Hiram concerning a master architect and the sending of timber.
2Chr	2:2	Solomon numbered seventy thousand men as burden-bearers on their shoulders, and eighty thousand to hew stones in the mountains, with three thousand six hundred overseers set over them.
2Chr	2:3	Solomon sent to Hiram king of Tyre, recalling the agreement Hiram had made with David his father, by which cedar timber was sent so that David might build himself a house in which he also dwelt. This precedent forms the basis of Solomon's request.
2Chr	2:4	Solomon declares the purposes of the Temple he intends to build: to burn incense before the Lord, to offer fragrant spices, to set forth the perpetual showbread, and to offer holocausts morning and evening, on sabbaths, new moons, and the solemn feasts of the Lord God of Israel — all things commanded to Israel in perpetuity.
2Chr	2:5	"The house which I desire to build is great, for our God is great above all gods." Solomon acknowledges the magnificence befitting God's house, grounding his ambitious building project in the surpassing greatness of the God to be worshipped there.
2Chr	2:6	Solomon humbly confesses that no house can truly contain God: "If heaven and the heaven of heavens cannot contain Him, who am I that I should build Him a house?" The Temple is built not as God's dwelling per se, but only that incense might be burned before Him — an expression of profound theological humility. # GEM
2Chr	2:7	Solomon requests from Hiram a skilled craftsman expert in gold, silver, bronze, iron, purple, crimson, and violet, and skilled in engraving — to work alongside the artisans whom David had already prepared in Judah and Jerusalem.
2Chr	2:8	Solomon also requests cedar, cypress, and pine timber from Lebanon, knowing that Hiram's servants are skilled in felling timber there, with Solomon's own servants working alongside them.
2Chr	2:9	The timber needed is great in quantity, for the house Solomon desires to build is exceedingly great and magnificent ("magna nimis et inclyta").
2Chr	2:10	As payment for the woodcutters, Solomon offers twenty thousand cors of wheat, twenty thousand cors of barley, twenty thousand measures of wine, and twenty thousand measures of oil — provisions given as wages to Hiram's servants.
2Chr	2:11	Hiram king of Tyre replied by letter to Solomon: "Because the Lord loves His people, He has made you king over them." Hiram recognizes divine providence in Solomon's elevation to kingship.
2Chr	2:12	Hiram adds a blessing: "Blessed be the Lord God of Israel, who made heaven and earth, who gave to King David a wise, learned, and prudent son to build a house for the Lord and a palace for himself." Hiram, a Gentile king, here praises the God of Israel — a notable confession from one outside the covenant people.
2Chr	2:13	Hiram declares he is sending Solomon a skilled and most learned man named Hiram, whom he calls "my father" — a title of honor and dignity indicating his pre-eminence among craftsmen.
2Chr	2:14	This Hiram is described as the son of a woman of the daughters of Dan, whose father was a Tyrian. He is skilled in gold, silver, bronze, iron, marble, wood, purple, violet, fine linen, and crimson; he knows how to engrave every kind of engraving and to devise prudently whatever is necessary in any work — to collaborate with Solomon's artisans and those of David his father.
2Chr	2:15	Hiram requests that Solomon send the wheat, barley, oil, and wine he had promised, as payment for the laborers.
2Chr	2:16	Hiram promises that his servants will cut whatever timber is needed from Lebanon and float it in rafts by sea to Joppa, from where Solomon's men would transport it to Jerusalem.
2Chr	2:17	Solomon numbered all the resident aliens (proselytes) in the land of Israel, after the census David his father had taken, and found one hundred fifty-three thousand six hundred.
2Chr	2:18	From these Solomon made seventy thousand to carry burdens on their shoulders, eighty thousand to hew stones in the mountains, and three thousand six hundred overseers of the people's work — corresponding to the numbers given at the beginning of the chapter, thus forming a literary inclusio.
2Chr	6:17	Lapide notes the enumeration of seventy thousand burden-bearers, citing this as evidence of the immense labor force Solomon conscripted for the construction of the Temple.
2Chr	3:1	ON MOUNT MORIAH: on which Abraham once offered his son Isaac to God (Gen. 22:14). Hence on that same mount Christ, the antitype, offered himself as a holocaust to God for the salvation of the world. For Mount Calvary is a part or appendage of Mount Moriah.
2Chr	3:3	THE LENGTH IN CUBITS ACCORDING TO THE FIRST MEASURE: because there was a second measure by which these 60 cubits were divided and apportioned into two sections, namely so that the Holy Place would have 40 cubits and the Holy of Holies the remaining 20. See what is said in 3 Kings ch. 6 v. 1 toward the end.
2Chr	3:5	THE LARGER HOUSE (so he calls the Holy Place, which was larger than the Holy of Holies) HE COVERED WITH FIR PLANKS: made of fir, but with cedar ceiling-work intermixed, as is said in 3 Kings 6:9.
