book	chapter	verse	latin_incipit	english_translation
Ez	1	0		Lapide devotes more commentary to Ezekiel 1 than to any other chapter in the prophets, calling it the obscurissimum et profundissimum of all Scripture. The chapter describes the theophany granted to Ezekiel in Babylon near the Chebar canal in the thirtieth year, which Lapide identifies as the thirtieth year of Ezekiel's priestly age, when priests traditionally entered full ministry. The entire vision is of God Himself enthroned in majesty above the cherubim, and Lapide insists it surpasses even Isaiah's vision (ch. 6) in sublimity.
Ez	1	1		The 'thirtieth year' Lapide identifies as Ezekiel's own age (following Jerome and Gregory), noting that God opens the heavens to a prophet at the maturity of priesthood. 'Aperti sunt caeli' — Lapide notes the heavens opened to John at baptism (Mt. 3:16) and to Stephen at martyrdom (Acts 7:55), making this a type of all divine visions granted to souls prepared by suffering and exile.
Ez	1	4		The whirlwind from the north (turbo ab Aquilone) Lapide explains as representing divine indignation sweeping from Babylon, but allegorically as the Holy Spirit who alone can move the human heart. He cites Theodoret, Theodotion, and Jerome's translations, noting the great cloud and enveloping fire symbolize the obscurity and ardor of divine revelation.
Ez	1	5		The four living creatures (quatuor animalia) Lapide identifies with the four Evangelists following Jerome, Gregory the Great (Hom. in Ezech.), and Augustine. Each face — man, lion, ox, eagle — represents Matthew, Mark, Luke, and John respectively in their characteristic modes of beginning their Gospels. He also follows the Thomistic reading that the four animals represent the four cardinal virtues.
Ez	1	6		Each creature has four faces: Lapide elaborates at great length on the symbolism. The human face signifies Christ's Incarnation; the lion His Resurrection and royal power; the ox His priestly Passion and sacrifice; the eagle His Ascension and divine nature. He cites Gregory's Moralia and his own Homilies on Ezekiel as the principal authority.
Ez	1	15		The four wheels (rotae) beside the living creatures: Lapide identifies these as the four Gospels, or according to the moral sense, the four seasons of human life — infancy, youth, maturity, and old age — in all of which the soul should follow God. The wheels within wheels ('rota in medio rotae') he explains as Christ's two natures, divine within human, or the Old Testament within the New.
Ez	1	16		The appearance of the wheels 'as the color of beryl' (quasi visio maris) and the wheel-within-wheel construction: Lapide follows Origen, Jerome, and Gregory in seeing the wheels as the movement of divine Providence through history, always returning to its origin in God. The four-directional movement symbolizes the universality of the Gospel.
Ez	1	18		The wheels full of eyes (tota corpus oculis plena): Lapide sees these as representing the providential omniscience of God who sees all created things. Morally, they are the eyes of the just man who examines all his actions before God. He cites Ambrose's De Virginibus and compares to Apocalypse 4:6.
Ez	1	22		The firmament above the living creatures 'like terrible crystal' (quasi aspectus crystalli horribilis): Lapide identifies this as the sky or heaven itself, and allegorically as Holy Scripture — firm, clear, and awesome. Above the firmament God Himself is enthroned, a pre-figuration of the heavenly liturgy of Apocalypse 4–5.
Ez	1	26		The sapphire throne and the appearance of a man upon it (similitudo quasi aspectus hominis): Lapide here makes his most celebrated argument — this is the pre-Incarnate Son of God appearing in human form to the prophet, the same divine Word who would become incarnate in the Nativity. He cites Theodoret, Cyril, Jerome, and Gregory, and asserts this text is the clearest Old Testament vision of the Second Person.
Ez	1	27		The electrum figure (quasi species electri), luminous above and like fire below: Lapide says the electrum (a mixture of gold and silver, or amber) symbolizes Christ's two natures — divine (incandescent, eternal) and human (earthly, visible). The rainbow encircling the divine figure (v. 28) he reads as the new covenant of grace encircling the Church.
Ez	1	28		The rainbow (arcus) surrounding the divine glory: Lapide follows Rupert of Deutz in seeing this as the covenant of mercy, the same bow God set in the clouds after the Flood (Gen. 9), here glorified. The moral sense: the soul that beholds God's majesty is dazzled and falls prostrate — 'cecidit in faciem meam' — the beginning of all true wisdom and contemplation.
Ez	2	0		Chapter 2 records God's commission of Ezekiel as prophet: Lapide notes the repeated address 'fili hominis' (son of man) appears 93 times in Ezekiel, nowhere else in the OT prophets, and is the standard address used by Christ to Himself in the Gospels (Dan. 7:13). Lapide reads this as God deliberately preparing the title for His Son by habituating the prophetic vocabulary to it.
Ez	2	3		God sends Ezekiel to a rebellious nation (ad gentes rebellantes): Lapide observes that the prophet is commissioned not to a receptive audience but to hard hearts, just as the Apostles were sent into a hostile world. He cites Chrysostom: the prophet's duty is to speak truth even when rejected, since God will judge both the prophet who refuses to warn and the people who refuse to hear.
Ez	2	8		Ezekiel commanded to eat what is given him — the book/scroll: Lapide reads this proleptically toward 3:1-3. He notes that eating the scroll represents the full internalization of the divine word, which must first be received with sweetness before its bitter message can be proclaimed. He connects this to John eating the book in Rev. 10:9-10.
Ez	3	0		Chapter 3 contains the scroll-eating and Ezekiel's appointment as watchman (speculatorem) over Israel. Lapide dwells at length on the dual sweetness and bitterness of the prophetic word: sweet to the prophet in its divine origin, bitter in its content of judgment and in the obstinacy of those who refuse it.
Ez	3	1		'Comede volumen istud' — Lapide explains that eating the scroll signifies perfectly knowing, loving, and digesting Scripture, so that it becomes part of the prophet's very substance. He compares the mystic's union with divine wisdom to nutritional assimilation: what is eaten becomes one with the one who eats.
Ez	3	3		The scroll was sweet as honey in Ezekiel's mouth: Lapide compares to Psalm 118:103 ('How sweet are thy words to my palate!') and notes that Scripture tastes sweet to those disposed by humility and love, but bitter and obscure to the proud. He cites Bernard's De Consideratione on sweetness as the fruit of lectio divina.
Ez	3	17		'Speculatorem dedi te domui Israel' — Lapide develops his most thorough treatment of the bishop's/pastor's duty of fraternal correction. The watchman who sees the enemy and does not warn is guilty of the death that follows. He cites Gregory's Regula Pastoralis extensively, applying the watchman figure to all who have cure of souls.
Ez	3	18		If the wicked man dies in his sin because the watchman did not warn him, the watchman will be held responsible for his blood: Lapide applies this with pastoral urgency to confessors, preachers, and bishops who remain silent about mortal sin for fear of human respect. He cites Chrysostom's De Sacerdotio and Thomas Aquinas on the obligation of fraternal correction.
Ez	4	0		Chapter 4 presents the symbolic siege of Jerusalem enacted by Ezekiel lying on his side — 390 days on his left for Israel's sin, 40 days on his right for Judah's. Lapide gives an extended chronological analysis of these numbers, correlating them with the years from the division of the kingdom to the captivity, drawing on Jerome, Theodoret, and his own calculations.
Ez	4	1		The clay tablet representing Jerusalem on which Ezekiel draws the siege (later tuum):  Lapide sees the clay as the human heart, hardened by sin, upon which God inscribes His judgments. The prophet acts out the divine decree in his own body — a form of living prophecy that Lapide calls prophetia facti (prophecy by deed) as distinct from prophetia verbi.
Ez	4	4		The 390 years on the left side for Israel: Lapide follows Jerome and Origen in complex chronological reckoning, finally settling on these as the years of Israel's schismatic idolatry from Jeroboam to the Assyrian captivity. The 40 days for Judah he connects to the 40 years of desert wandering as a type, and to the 40 days of Jonah's preaching to Nineveh.
Ez	5	0		Chapter 5: Ezekiel is commanded to shave his head and divide the hair in three parts — one third burned in the city, one third struck with the sword around it, one third scattered to the wind — symbolizing the three fates of Jerusalem's inhabitants: death by plague and famine, death by the sword, and exile. Lapide notes the razor (novacula) as the instrument of divine judgment working through the Babylonians.
Ez	5	5		Jerusalem placed in the midst of the nations (in medio gentium posui eam): Lapide interprets this geographically (Palestine is the center of the ancient world) and providentially (Jerusalem was meant to be a spiritual center radiating the Law to all peoples). Having rejected her vocation, she receives the judgment reserved for apostates.
Ez	6	0		Ezekiel prophesies against the mountains of Israel where idolatry was practiced on high places. Lapide uses this chapter to expound the theology of idolatry, following Augustine's De Civitate Dei and Clement of Alexandria's Protrepticus: all idolatry is ultimately diabolism, since demons occupy the vacant altars of false gods.
Ez	6	2		'Fili hominis, pone faciem tuam ad montes Israel' — Lapide notes that mountains, which appear to be nearer heaven, were especially used for worship and especially prone to false worship. He applies this morally: pride elevates itself toward God but substitutes self-worship for true divine worship.
Ez	7	0		Chapter 7: 'Finis venit, finis venit super quatuor plagas terrae' — the announcement of the End. Lapide reads this as a type of the final judgment at the end of time, which will likewise come suddenly and irresistibly. He cites Gregory's Moralia on the four last things (death, judgment, heaven, hell) as the ultimate referent of this prophetic 'end.'
Ez	7	2		'Finis venit super quatuor plagas terrae' — the end comes upon the four corners of the earth: Lapide follows Augustine in reading 'four' as the number of universality (four cardinal directions), indicating no one will escape the final divine reckoning.
Ez	8	0		In a vision Ezekiel is transported to Jerusalem and shown the four abominations in the Temple: the image of jealousy at the north gate, the seventy elders worshipping crawling things in a hidden chamber, women weeping for Tammuz, and men with their backs to the Temple worshipping the sun. Lapide reads these four abominations as four classes of heresy and vice still found in the Church.
Ez	8	3		The 'image of jealousy' (simulacrum aemulationis) at the Temple gate: Lapide identifies this with Astarte/Asherah, following Jerome's commentary, and explains that God is called 'jealous' (zelotes) because He cannot endure worship given to another — just as a husband cannot endure an adulterous wife. The application to idolaters within the Church is explicit.
Ez	8	10		The seventy elders worshipping animals in the dark ('in tenebris'): Lapide reads the darkness as the darkness of sin and heresy, where vices are practiced that cannot bear the light of reason or faith. He notes that sin is always essentially a denial of God's omniscience — 'Non videt Dominus, dereliquit Dominus terram' (v. 12).
Ez	8	14		Women weeping for Tammuz (Adonis): Lapide gives a learned digression on the cult of Adonis/Tammuz, following Jerome's commentary on this verse, explaining its Phoenician origins. He interprets the weeping women allegorically as souls who mourn carnal pleasures lost through penance, a disordered grief that prevents full conversion.
Ez	8	16		Twenty-five men worshipping the sun with their backs to the Temple: Lapide reads this as a type of all who pursue natural knowledge (astronomy, philosophy) while turning their backs on revealed truth. He applies this to the Averroists of his own time and others who exalt reason above faith.
Ez	9	0		God commands six men with weapons of destruction to pass through Jerusalem, preceded by a man clothed in linen who marks with the letter Tau (tav) the foreheads of those who mourn over the city's abominations — they alone are spared. Lapide sees the Tau as a type of the Cross, and the marking as baptism and the sign of faith.
Ez	9	4		The mark of Tau on the foreheads of the just: Lapide develops an extensive typology — Tau is the last letter of the Hebrew alphabet, shaped like a cross (T or +), and its marking on the forehead pre-figures baptism, Confirmation, and the seal of the Holy Spirit (Eph. 1:13). He cites Origen, Jerome, and Tertullian's De Baptismo.
Ez	9	6		'A sanctuario meo incipite' — judgment begins at the sanctuary. Lapide applies 1 Pet. 4:17 ('tempus ut incipiat iudicium a domo Dei') and warns that those with greater spiritual gifts and knowledge will be judged more severely. He draws a pointed application to clergy and religious.
Ez	10	0		Chapter 10 reprises the chariot vision of chapter 1, adding the detail that the wheels are now identified with the cherubim ('et haec erat visio quam videram juxta fluvium Chobar' — v. 15). Lapide notes this repetition is pedagogical: God repeats the vision to imprint it more deeply, as Pharaoh's two dreams had one meaning (Gen. 41:32). The departure of the divine glory from the Temple begins here.
Ez	10	2		God commands the man in linen to take coals of fire from between the cherubim and scatter them over the city: Lapide reads the coals as the divine judgments, which proceed from the very presence of God (between the cherubim, i.e., from the Holy of Holies). He connects to the Pentecost tongues of fire (Acts 2) as the redemptive counterpart.
Ez	10	14		The four faces of the cherubim here differ slightly from chapter 1 (the ox-face replaced by the cherub-face): Lapide harmonizes by explaining that the cherub-face is the ox-face seen in its proper angelic dignity, and uses Theodoret's commentary to reconcile the apparent discrepancy.
Ez	10	18		The glory of the Lord departs from the Temple threshold: Lapide calls this one of the most solemn moments in the entire Old Testament — the Shekinah withdrawing from Israel, anticipating the destruction of Jerusalem. He typologically connects it to Christ's departure from the Temple (Mt. 23:38: 'Ecce relinquetur vobis domus vestra deserta') and the transfer of the divine presence to the Church.
Ez	11	0		Chapter 11 contains Ezekiel's intercession for Israel (v. 13) and the great Messianic promise of the new heart (vv. 19-20). Lapide structures the chapter around the contrast between the false security of those remaining in Jerusalem ('haec est olla, nos caro') and the true hope of the exiles in Babylon who will receive a new heart.
Ez	11	13		Pelatiah the prince dies as Ezekiel prophesies: Lapide reads this as a dramatic confirmation of the prophetic word's power and a type of the sudden deaths that divine judgment sometimes visits on the proud in the very act of their sin. He cites similar instances from Ananias and Sapphira (Acts 5).
Ez	11	19		'Dabo eis cor unum, et spiritum novum ponam in visceribus eorum' — I will give them one heart and a new spirit: Lapide argues this is fulfilled primarily in the Church through baptism and the indwelling Holy Spirit. He follows Augustine's De Spiritu et Littera: the new heart is the infused theological virtues replacing the hardened will enslaved to sin.
Ez	11	20		'Ut in preceptis meis ambulant' — that they may walk in my precepts: Lapide emphasizes that the gift of the new heart is ordered to moral obedience, not merely to interior consolation. Grace is given for the performance of God's will, a point he uses against antinomian interpretations.
Ez	12	0		Ezekiel enacts the exile by digging through the wall of his house and carrying out his belongings at night — a symbolic prophecy of Zedekiah's flight and capture (2 Kings 25:4-7). Lapide notes this is another prophetia facti and remarks on the extraordinary demand God makes on the prophet's own body and life to make the divine word visible.
Ez	12	10		The sign applies to Zedekiah ('princeps hoc onere portans'): Lapide provides careful historical commentary on the fulfillment in 2 Kings 25, noting that Zedekiah was blinded before being taken to Babylon — thus he 'did not see the land' (v. 13) even while going there, fulfilling the literal letter of the prophecy that seemed contradictory.
Ez	13	0		Chapter 13 condemns the false prophets who cry 'Peace' when there is no peace, daubing the wall with plaster (lutum sine paleis) rather than building with true mortar. Lapide uses this chapter as a platform for extended denunciation of all who flatter the powerful, deny original sin, or promise salvation without conversion.
Ez	13	10		The false prophets build a wall and daub it with untempered plaster (lutum sine paleis): Lapide's allegory — the wall is the human soul; the plaster of false prophets is vain promises of prosperity and divine favor without true repentance. The rain (tribulation), hailstones (divine judgments), and stormy wind (death) will overthrow it.
Ez	13	17		Against the prophetesses who sew pillows under every elbow: Lapide interprets the sewing of pillows (pulvillos sub omni cubito manus) as providing soft comforts that weaken the soul's resistance to temptation. He applies this to confessors who give too easy penances and to spiritual directors who avoid difficult truths.
Ez	14	0		The elders of Israel who come to consult Ezekiel while secretly worshipping idols in their hearts receive God's rebuke. Lapide develops the concept of interior idolatry (idola in corde) extensively: any inordinate love — of money, pleasure, reputation, self — is a form of idolatry that renders prayer futile and consultation of God an impudence.
Ez	14	14		Even if Noah, Daniel, and Job were in the land, they would deliver only themselves: Lapide uses this verse to refute any doctrine of vicarious merit that would exempt sinners from personal conversion. He acknowledges the intercession of saints but insists it cannot substitute for each soul's own repentance.
Ez	15	0		Jerusalem compared to a vine (vitis): if the vine's wood is useless even when whole, how much more when burned? Lapide reads this as a refutation of Jewish confidence in election without corresponding virtue. The vine's only use is its fruit; Israel's only value is its fidelity to the covenant.
Ez	16	0		The longest chapter in Ezekiel: an extended allegory of Jerusalem as an abandoned infant, adopted and adorned by God, who becomes a harlot worse than the nations around her. Lapide notes its shocking literary power and its dual reference — literal to Israel, allegorical to the apostate soul. He cites Origen's Homilies on Ezekiel for the allegorical reading of the individual soul's fall from baptismal grace.
Ez	16	8		God spreads His garment over Jerusalem (expandere amictum meum super te): Lapide reads this as the covenant of Sinai, and allegorically as baptism in which the soul is clothed with Christ (Gal. 3:27). The subsequent unfaithfulness is apostasy or mortal sin.
Ez	16	46		Samaria thy elder sister and Sodom thy younger sister: Lapide follows the patristic tradition (Origen, Jerome) of reading the three sisters as three degrees of sin — Israel the worst, having sinned against the greatest light and grace. He cites Augustine's Quaestiones in Heptateuchum on the rehabilitation of Sodom as a type of future restoration.
