book	chapter	verse	latin_incipit	english_translation
Jon	1	0	Synopsis Capitis	Chapter 1 narrates Jonah's flight from God, the storm, the casting of lots, and his being swallowed by the great fish. À Lapide treats the historicity of the narrative at length against Origen's purely allegorical reading, insisting with Jerome that the literal sense is primary and miraculous. The flight of Jonah figures the prophet's human weakness; the divine pursuit shows that God's will cannot ultimately be frustrated.
Jon	1	1	Et factum est verbum Domini ad Ionam	The divine word comes to Jonah as an irresistible command: 'Arise and go to Nineveh.' À Lapide notes the universalism of Jonah's mission—a Hebrew prophet sent to an Assyrian city—as the foreshadowing of the apostolic mission to the Gentiles. The Assyrians are among Israel's greatest enemies; their inclusion in God's mercy is the book's central theological scandal.
Jon	1	3	Surrexit Ionas ut fugeret in Tharsis	Jonah's flight to Tarshish is psychologically acute: he knows God will relent if Nineveh repents (as he admits in 4:2) and he resents this divine mercy. À Lapide reads Jonah's flight as a figure of the Jewish nation's refusal to bring the Gospel to the Gentiles. He also applies it morally to those who, knowing the truth, resist sharing it out of human narrowness or fear.
Jon	1	4	Dominus autem misit ventum magnum in mare	'But the Lord sent a great wind into the sea.' À Lapide expounds divine providence operating through natural causes without violating them: God stirs the wind while remaining Lord of nature. The sleeping Jonah in the hold while the sailors pray figures the Jews asleep to their spiritual mission while the Gentiles cry out to heaven.
Jon	1	12	Tollite me et mittite in mare	Jonah's willingness to be cast into the sea is interpreted as a type of Christ's voluntary self-offering. À Lapide cites Chrysostom and Theophylact: as Jonah delivered the sailors by being cast into the sea, so Christ delivered humanity by accepting death. The sailors' reluctance to cast him in figures the hesitation of divine justice before executing the sentence on the innocent.
Jon	1	17	Praeparavit autem Dominus piscem grandem	'And the Lord prepared a great fish to swallow up Jonah.' À Lapide gives a careful discussion of the species (not a whale but a large shark or sea-monster, piscis grandis), citing natural historians. More importantly he develops the Christological type at length: as Jonah was three days in the fish, so Christ was three days in the heart of the earth (Matt. 12:40). This is the only sign Christ gives to the evil generation—and à Lapide uses it to establish the Resurrection as the central proof of Christianity.
Jon	2	1	Et oravit Ionas ad Dominum Deum suum	Jonah prays 'to the Lord his God'—à Lapide notes that even in his flight and punishment Jonah maintains personal relationship with God. The prayer is composed almost entirely of citations from the Psalms, which shows that the Psalter is the prayer-book of the prophets. He identifies seven distinct psalm texts woven into Jonah's prayer, demonstrating the canonical unity of the Hebrew Scriptures.
Jon	2	3	Proiecisti me in profundum in corde maris	'Thou hast cast me into the deep, into the heart of the sea.' À Lapide reads this as Jonah's acceptance of divine justice: he does not protest that the punishment is unjust but recognizes God's hand in his suffering. Christologically, the 'heart of the sea' figures the 'heart of the earth' (Matt. 12:40)—the tomb, the power of death. The billows and waves passing over him are the waves of the Passion.
Jon	2	7	Cum angustiaretur in me anima mea	'When my soul was in distress within me I remembered the Lord.' À Lapide develops the theology of prayer in extremity: the soul compressed by trial turns to God when all other help has failed. He cites Augustine's Confessions on how tribulation is God's pedagogy drawing the soul back. The entry of prayer into the holy Temple (v.8) is understood as prayer reaching the heavenly sanctuary.
Jon	2	10	Et praecepit Dominus pisci	'And the Lord spoke to the fish and it vomited out Jonah upon the dry land.' À Lapide treats the obedience of the fish as a demonstration that all creation obeys God—only the rational creature rebels. The vomiting on dry land on the third day is the literal counterpart to Christ's Resurrection. He responds to rationalist objections about the feasibility of surviving in a fish, citing later cases (which he takes from travellers' accounts) of men found alive in large marine animals.
Jon	3	4	Adhuc quadraginta dies et Ninive subvertetur	Jonah's five-word sermon: 'Yet forty days and Nineveh shall be destroyed.' À Lapide marvels at the economy of the prophetic word: the briefest possible message produces the greatest repentance in history. He notes that forty days figures probation and penance throughout Scripture—the Flood, Moses on Sinai, Elijah's journey, Christ's fast. The Ninevites understand this: they respond with the full penitential apparatus.
Jon	3	10	Et vidit Deus opera eorum quia conversi sunt	'And God saw their works, that they were turned from their evil way; and God had mercy with regard to the evil which he had said he would do to them.' À Lapide resolves the apparent divine inconsistency: God's threats are conditional on impenitence; when the condition changes, the sentence changes. This is not divine weakness but divine fidelity to his own nature of mercy. He cites Thomas Aquinas: God's immutability is consistent with responsive mercy because mercy is what His nature always decreed for the penitent.
Jon	4	2	Scio quia tu Deus clemens et misericors es	'I know that thou art a gracious and merciful God, slow to anger and of great kindness.' Jonah's complaint to God is a perfect recitation of the divine attributes (Exod. 34:6-7). À Lapide notes the irony: Jonah knows God's mercy theologically but rejects it practically when it extends beyond Israel. He applies this to any group that professes universal divine love while resenting its application to enemies.
Jon	4	6	Praeparavit Dominus Deus hederam	'And the Lord God prepared a gourd.' À Lapide discusses the plant: Jerome disputed whether it was a gourd or ivy. The gourd shadows Jonah—divine mercy even to a complaining prophet. Its sudden destruction by the worm and the scorching east wind models the transience of earthly comfort. God uses the loss to draw out Jonah's natural compassion and then argues from the lesser to the greater: if you pity a plant, how much more should God pity 120,000 innocent souls?
Jon	4	11	Et ego non parcam Ninive civitati magnae	'And shall I not spare Nineveh, that great city, in which there are more than a hundred and twenty thousand persons that know not how to distinguish between their right hand and their left?' À Lapide reads the unanswered final question as a rhetorical invitation to the reader to assent to divine mercy. The 120,000 who cannot distinguish right from left are variously identified as infants, or as morally innocent Gentiles. The cattle (et iumenta multa) figure those who live in ignorance—even they are objects of divine solicitude. À Lapide closes with a meditation on God's universal salvific will.
