book	chapter	verse	latin_incipit	english_translation
Mal	1	0	Synopsis Capitis	Chapter 1 opens with God's declaration of love for Jacob over Esau and then delivers a devastating critique of the priests who offer blind, lame, and sick animals on the altar. The climax is the universalist oracle: from the rising to the setting of the sun, a clean oblation is offered in every place. À Lapide calls this the Council of Trent's greatest proof-text and gives it one of the most extended treatments in his entire commentary.
Mal	1	1	Onus verbi Domini ad Israel in manu Malachiae	À Lapide discusses whether Malachi ('my messenger') is a proper name or a title, citing the rabbinic tradition that identified Malachi with Ezra. He concludes it is a proper name but that its meaning ('messenger of God') is providentially significant: Malachi is the last prophet before the great silence, and his message prepares for John the Baptist ('my messenger,' 3:1). His position as the last canonical prophet makes his book the hinge between the two Testaments.
Mal	1	2	Dilexi vos dicit Dominus	'I have loved you, saith the Lord.' À Lapide develops the divine love as the foundation of covenant: not earned by merit but freely given. The question 'wherein hast thou loved us?' figures the spiritual blindness of those who cannot recognize grace because they take it for granted. He cites Augustine's Confessions: 'Thou hast made us for Thyself and our heart is restless until it reposes in Thee'—the divine love as the origin and goal of human existence.
Mal	1	6	Filius honrat patrem et servus dominum suum	'A son honoureth his father and a servant his master: if then I be a father, where is my honour? And if I be a master, where is my fear? saith the Lord of hosts to you, O priests, that despise my name.' À Lapide uses this verse to structure a theology of priestly dignity and obligation. The argument from natural duty (sons honour fathers, servants masters) to supernatural duty (priests honour God) is a rhetorical escalation showing the priests' failure is below the most basic human standard.
Mal	1	7	Offerentes super altare meum panem pollutum	The priests offer polluted bread (panem pollutum) on the altar, saying the table of the Lord is contemptible. À Lapide reads this as a direct attack on irreverence in the celebration of the Eucharist. He cites Trent's Decree on the Mass and expounds the priest's obligation to prepare carefully for the sacrifice. The contrast between the priests' contemptuous offerings and the clean oblation of 1:11 is the chapter's structural core.
Mal	1	11	Ab ortu enim solis usque ad occasum	'For from the rising of the sun even to the going down, my name is great among the Gentiles, and in every place there is sacrifice, and there is offered to my name a clean oblation; for my name is great among the Gentiles, saith the Lord of hosts.' À Lapide's commentary on Malachi 1:11 is one of his most celebrated theological discussions. He systematically demolishes five alternative interpretations (prayer, praise, martyrdom, internal sacrifice, the sacrifice of Christ on the Cross) as insufficient, then establishes that the prophecy refers uniquely and precisely to the Eucharistic sacrifice of the Mass offered universally in the Catholic Church. He quotes Trent Session XXII's explicit citation of this verse and surveys the Fathers—Origen, Justin, Irenaeus, Cyril, Chrysostom—all confirming the Eucharistic interpretation. The universality ('every place,' 'from rising to setting') excludes all sacrifices limited to one place or time.
Mal	2	5	Pactum meum fuit cum eo vitae et pacis	'My covenant was with him of life and peace; and I gave him fear, and he feared me, and he was afraid before my name.' The covenant with Levi—life, peace, truth, walking in equity—is the ideal of the priestly ministry. À Lapide contrasts this with the corrupt priests of Malachi's day and by extension of any era. He develops the 'covenant of life' as the grace of priestly ordination, conferring a share in Christ's own priesthood.
Mal	2	14	Uxor pacti tui	'The wife of thy covenant.' À Lapide uses this phrase to establish the covenantal nature of marriage against those who treat it as a merely civil contract. Marriage is a covenant witnessed by God; divorce is treachery (v.14-16) because it violates this divine witness. He cites Genesis 2:24, Matthew 19:6, and Ephesians 5:32 to build the argument for marriage's sacramental indissolubility.
Mal	2	16	Cum odio habueris dimitte dicit Dominus	'When thou hatest her, put her away, saith the Lord.' À Lapide defends the Vulgate rendering against those who read this as permission for divorce, arguing the verse condemns divorce as covering one's garment with iniquity. He cites Jerome and modern Catholic exegetes: the verse is an ironic rhetorical device exposing the heartlessness of divorce, not permitting it. This exegesis supports the Council of Trent's condemnation of absolute divorce.
Mal	3	1	Ecce ego mitto angelum meum et praeparabit viam ante faciem meam	'Behold I send my angel and he shall prepare the way before my face; and presently the Lord, whom you seek, and the angel of the testament, whom you desire, shall come to his temple.' Christ applies this directly to John the Baptist in Matthew 11:10 and Mark 1:2. À Lapide notes the double identification: Malachi 3:1 is the original text; Exodus 23:20 ('Behold I send my angel before thee') is the parallel. The 'angel of the testament' (angelus testamenti) is identified as Christ himself—divine messenger of the New Covenant.
Mal	3	2	Quis poterit cogitare diem adventus eius	'Who can stand to see him? And who shall stand to think of the day of his coming? For he is like a refining fire and like the fuller's herb.' À Lapide reads the refiner's fire as a figure of Christ's purifying presence—first for the priesthood (Levites), then for all the faithful. He connects this to the refining fire of purgatory: the same divine love that purifies the saints before the beatific vision. The fuller's herb (herba fullonum) cleanses as lye cleanses cloth.
Mal	3	6	Ego enim Dominus et non mutor	'For I am the Lord and I change not; and you the sons of Jacob are not consumed.' À Lapide develops the divine immutability as the ground of covenant faithfulness: because God does not change, His promises to Israel remain in force despite Israel's unfaithfulness. He cites Thomas Aquinas's exposition of divine immutability in Summa Ia q.9 and applies it to the Church's confidence in Christ's promise 'I will be with you always' (Matt. 28:20).
Mal	3	10	Inferte omnem decimam in horreum	'Bring all the tithes into the storehouse that there may be meat in my house; and prove me in this, saith the Lord, if I will not open you the floodgates of heaven and pour you out a blessing even to abundance.' À Lapide reads the tithe legislation as a figure of the obligation to support the Church's ministry and to give to the poor, and the divine promise of blessing as a figure of the hundredfold promised to those who give generously (Mark 10:30). He cites Chrysostom's homilies on almsgiving.
Mal	3	16	Tunc loquuti sunt timentes Dominum	'Then they that feared the Lord spoke every one with his neighbour; and the Lord gave ear and heard it; and a book of remembrance was written before him for them that fear the Lord and think on his name.' À Lapide identifies the 'book of remembrance' (liber memorialis) with the Book of Life of Revelation 3:5 and 20:12. The community of those who fear God—the anawim tradition—is a remnant that persists through the corruption of the majority.
Mal	4	1	Quia ecce dies veniet succensa quasi clibanus	'For behold the day shall come kindled as a furnace; and all the proud and all that do wickedly shall be stubble; and the day that cometh shall set them on fire.' À Lapide reads the furnace (clibanus) as the fire of divine judgment and specifically of hell. The pride and wickedness of the reprobate makes them into dry stubble that the divine fire easily consumes. He notes that this is the definitive judgment separating the righteous from the wicked—no intermediate state for the hardened sinner.
Mal	4	2	Vobis autem timentibus nomen meum orietur sol iustitiae	'But unto you that fear my name the Sun of Justice shall arise and health in his wings; and you shall go forth and shall leap like calves of the herd.' À Lapide's commentary on 'Sol Iustitiae' is one of the most celebrated in his entire oeuvre. He identifies the Sun of Justice with Christ, following Origen, Jerome, Augustine, and the liturgical tradition (the Advent O-Antiphons: O Oriens). The wings of healing are the arms of the Cross, the wings of Providence, and the gifts of the Holy Spirit. The leaping calves figure the joy of the resurrection. He notes that Luke 1:78 ('Dayspring from on high') is Zechariah's New Testament echo of this verse.
