book	chapter	verse	latin_incipit	english_translation
Zep	1	0	Synopsis Capitis	Chapter 1 announces total divine judgment on Judah and the nations through the terrible 'Day of the Lord'—dies irae, dies illa, the source of the great medieval sequence. À Lapide treats the accumulating vocabulary of desolation (consume, sweep away, cut off) as a rhetorical figure of eschatological totality: no created thing escapes divine scrutiny. The commercial district of Jerusalem (the Mortar) and its merchants are singled out as examples of secularism.
Zep	1	1	Verbum Domini quod factum est ad Sophoniam	À Lapide traces Zephaniah's genealogy (four generations to Hezekiah) and concludes he is of royal blood, making him a courtly prophet like Isaiah. The noble origin does not exempt him from prophesying judgment against the court—on the contrary, his proximity to power makes his courage more remarkable. À Lapide draws a lesson for confessors of princes.
Zep	1	7	Sileat omnis caro a facie Domini	'Hold thy peace at the presence of the Lord God.' This formula—identical to Hab. 2:20 and Zech. 2:13—establishes a canonical liturgical moment of prostration before the divine majesty. À Lapide develops a theology of silence before God: not ignorance or despair but the soul's recognition of divine transcendence. The Day of the Lord is 'near' (v.7): à Lapide notes that prophetic nearness encompasses the whole sweep of salvation history from the Babylonian exile to the Last Day.
Zep	1	14	Prope est dies Domini magnus	'The great day of the Lord is near; it is near and exceeding swift.' This verse is the direct source of the Dies Irae, the great sequence of the Requiem Mass (Thomas of Celano, c.1250). À Lapide notes the liturgical use and reads the entire verse as a meditation on the final judgment: the mighty man crying there bitterly (v.14) is the powerful sinner whose pride avails nothing before the throne of God.
Zep	1	15	Dies irae dies illa	'That day is a day of wrath, a day of tribulation and distress, a day of calamity and misery, a day of darkness and obscurity, a day of clouds and whirlwinds.' À Lapide's commentary on this verse is the most quoted passage in his Zephaniah commentary, because the liturgical use of the Dies Irae gives it extraordinary prominence. He expounds each pair of synonyms (ira/tribulatio, calamitas/miseria, tenebrae/caligo, nubes/turbo) as successive aspects of the judgment: divine wrath, creaturely suffering, moral darkness, providential upheaval.
Zep	1	18	Sed nec argentum eorum nec aurum	'Neither their silver nor their gold shall be able to deliver them in the day of the wrath of the Lord.' À Lapide connects this to Luke 12:20 ('this night thy soul shall be required of thee') and develops a meditation on the impotence of wealth at death. The devouring fire of divine jealousy that makes 'all the earth' desolate is identified with the fire of purgatory for those who die with venial sin, and with hell for the impenitent.
Zep	2	3	Quaerite Dominum omnes mansueti terrae	'Seek ye the Lord, all ye meek of the earth, you that have wrought his judgment; seek the just, seek the meek, that you may be hidden in the day of the Lord's indignation.' À Lapide reads the 'meek of the earth' (mansueti terrae) as identical with the beatitude of Matt. 5:5 ('Blessed are the meek for they shall inherit the earth'). The hidden life of the just in the day of wrath figures the eschatological protection of the elect.
Zep	3	9	Quia tunc reddam populis labium electum	'For then I will restore to the peoples a chosen lip, that all may call upon the name of the Lord and may serve him with one shoulder.' À Lapide reads 'chosen lip' (labium electum) as the pure language of the Gospel restoring the confusion of Babel. Pentecost is the primary fulfilment: the Spirit gives the apostles the gift of tongues so that all nations hear in their own language. The universal invocation of the divine Name prefigures the unity of the Church in the Eucharistic liturgy.
Zep	3	12	Et relinquam in medio tui populum pauperem	'And I will leave in the midst of thee a poor and needy people, and they shall hope in the name of the Lord.' À Lapide identifies the 'poor' (pauperes) as the anawim—those who depend entirely on God—and connects them to Mary, Joseph, Simeon, Anna, and the disciples of Jesus who are poor in spirit (Matt. 5:3). This spiritual poverty is the disposition of the Church, whose strength is not in worldly resources but in divine promise.
Zep	3	14	Lauda filia Sion iubila Israel	'Give praise, O daughter of Sion; shout, O Israel; be glad and rejoice with all thy heart, O daughter of Jerusalem.' À Lapide calls this 'the Messianic Song of Sion' and identifies it as a Marian text in the fullest sense: the 'daughter of Sion' is Israel personified, but its highest personal fulfilment is the Blessed Virgin Mary, who bears within herself the King of Israel (v.15). He cites the angelic salutation (Luke 1:28) as the New Testament echo of Zephaniah 3:14-15.
Zep	3	15	Dominus in medio tui rex Israel	'The Lord in the midst of thee is a king, Israel; thou shalt fear evil no more.' À Lapide identifies the King in the midst (rex in medio) with Christ in the Eucharist—the Real Presence as the fulfilment of Zephaniah's promise of divine indwelling. He notes that the Ark of the Covenant was God's presence in the midst of Israel; the Eucharist is the New Ark, the presence of God in the new Sion.
Zep	3	17	Dominus Deus tuus in medio tui fortis	'The Lord thy God in the midst of thee is mighty; he will save, he will rejoice over thee with gladness, he will be silent in his love, he will be joyful over thee in praise.' À Lapide dwells on the divine joy: God rejoices over His redeemed people with exultation (exsultabit super te in laude). He cites Gregory the Great: divine joy is not passion but the infinite superabundance of divine goodness delighting in its own communication. The mother-image (v.17) is applied to divine maternity and, tropologically, to the Holy Spirit.
